targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,12.24,16.640384610939737,84.0,1.0,6.133603238866397
7.1,12.32,16.610165562088778,84.0,1.0,6.586956521739131
7.2,12.96,16.420669901072856,84.0,1.0,6.9495412844036695
7.3,14.28,16.559033788237766,84.0,1.0,7.9319371727748695
7.4,14.28,16.559033788237766,84.0,1.0,8.46368715083799
7.5,15.44,16.12719442432564,84.0,1.0,9.351851851851851
7.6,16.12,16.398341379542018,84.0,1.0,10.167785234899329
7.7,18.52,20.12584408167767,100.0,1.0,11.653846153846153
7.8,18.76,20.14205550583157,100.0,1.0,12.21774193548387
7.9,18.92,20.063738435296646,100.0,1.0,12.948717948717949
8.0,19.4,20.41568024827975,100.0,1.0,13.772727272727273
8.1,19.68,20.471873387650678,100.0,1.0,14.852941176470589
8.2,22.2,22.889298809705817,100.0,1.0,16.833333333333332
8.3,22.52,23.370271714295495,100.0,1.0,17.823529411764707
8.4,22.6,23.375200533899168,100.0,1.0,18.9375
8.5,24.96,26.572888439159186,120.0,1.0,21.956521739130434
8.6,24.96,26.572888439159186,120.0,1.0,23.671875
8.7,24.96,26.572888439159186,120.0,1.0,23.671875
8.8,24.96,26.572888439159186,120.0,1.0,26.57894736842105
8.9,27.4,26.24804754643667,120.0,1.0,29.705882352941178
9.0,27.52,26.190257730690625,120.0,1.0,32.234042553191486
9.1,27.76,26.025034101802824,120.0,1.0,34.43181818181818
9.2,29.0,26.007691170113507,120.0,1.0,40.945945945945944
9.3,29.04,26.066806478738435,120.0,1.0,43.285714285714285
9.4,31.56,25.73103962143776,120.0,1.0,47.34375
9.5,38.04,32.156467467680585,120.0,1.0,50.5
9.6,38.4,32.01249755954695,120.0,1.0,54.107142857142854
9.7,41.12,31.633298911115798,120.0,1.0,58.26923076923077
9.8,41.2,31.656910777901246,120.0,1.0,60.6
9.9,42.52,32.16845659959458,122.0,1.0,65.8695652173913
10.0,42.72,32.11170503103191,122.0,1.0,72.14285714285714
10.1,45.32,33.29951350995987,135.0,1.0,79.73684210526316
10.2,45.32,33.29951350995987,135.0,1.0,79.73684210526316
10.3,45.32,33.29951350995987,135.0,1.0,79.73684210526316
10.4,45.32,33.29951350995987,135.0,1.0,79.73684210526316
10.5,45.32,33.29951350995987,135.0,1.0,89.11764705882354
10.6,46.48,32.2231221330274,135.0,1.0,94.6875
10.7,47.0,31.737674773051662,136.0,13.0,108.21428571428571
10.8,47.0,31.737674773051662,136.0,13.0,108.21428571428571
10.9,47.08,31.823161376582306,137.0,13.0,126.25
11.0,66.52,36.423201396911836,157.0,13.0,151.5
11.100000000000001,67.56,36.40008791198175,157.0,13.0,189.375
11.2,67.56,36.40008791198175,157.0,13.0,189.375
11.3,67.96,35.933805810128156,157.0,16.0,378.75
11.4,90.28,48.426042580413274,239.0,27.0,757.5
11.5,90.28,48.426042580413274,239.0,27.0,757.5
11.600000000000001,90.28,48.426042580413274,239.0,27.0,757.5
11.7,90.28,48.426042580413274,239.0,27.0,757.5
11.769551078621726,90.28,48.426042580413274,239.0,27.0,757.5
