run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
496.0,96.0,480.0,1247.0,340.0,1199.0,589.0,503.0,1100.0,1124.0,808.0,552.0,1066.0,1098.0,277.0,753.0,482.0,302.0,915.0,239.0,1199.0,618.0,369.0,222.0,553.0
1154.0,866.0,869.0,959.0,1153.0,1195.0,1196.0,1210.0,597.0,1161.0,869.0,1162.0,974.0,1155.0,866.0,866.0,1211.0,869.0,951.0,1147.0,869.0,1164.0,1151.0,1147.0,949.0
875.0,995.0,1033.0,990.0,992.0,1025.0,1012.0,1012.0,1013.0,1009.0,875.0,1000.0,993.0,997.0,1009.0,992.0,988.0,993.0,992.0,1006.0,1018.0,991.0,875.0,996.0,1004.0
802.0,1309.0,823.0,19.0,1295.0,1268.0,20.0,802.0,1307.0,1288.0,1260.0,840.0,1297.0,188.0,821.0,1271.0,1286.0,617.0,801.0,568.0,1309.0,523.0,1216.0,313.0,1295.0
1189.0,1267.0,732.0,731.0,1300.0,726.0,1267.0,1285.0,1285.0,1187.0,738.0,746.0,305.0,735.0,738.0,144.0,1190.0,964.0,576.0,1258.0,730.0,870.0,1291.0,1269.0,1273.0
832.0,271.0,641.0,296.0,650.0,142.0,765.0,1243.0,833.0,50.0,461.0,138.0,764.0,487.0,282.0,319.0,1036.0,566.0,310.0,327.0,763.0,389.0,1056.0,793.0,14.0
1313.0,1321.0,1325.0,1314.0,1313.0,1312.0,1333.0,1311.0,1323.0,1327.0,1323.0,1325.0,1323.0,1334.0,1323.0,1311.0,1074.0,1074.0,1070.0,1070.0,1329.0,1070.0,1074.0,1311.0,1321.0
1205.0,1075.0,1174.0,1174.0,1170.0,1167.0,1178.0,1177.0,1176.0,1171.0,1204.0,1176.0,1204.0,1166.0,1171.0,1174.0,1172.0,1170.0,1204.0,1165.0,1170.0,1204.0,1205.0,1169.0,1166.0
903.0,883.0,1029.0,1089.0,1278.0,906.0,900.0,890.0,888.0,894.0,873.0,895.0,586.0,893.0,1278.0,888.0,899.0,887.0,586.0,586.0,901.0,876.0,880.0,1278.0,885.0
1135.0,48.0,299.0,332.0,1212.0,693.0,1276.0,856.0,691.0,663.0,858.0,679.0,336.0,748.0,601.0,678.0,339.0,675.0,1115.0,1220.0,1219.0,856.0,676.0,335.0,333.0
1311.0,1320.0,1321.0,1321.0,1331.0,1321.0,1327.0,1321.0,1321.0,1321.0,1321.0,392.0,1321.0,1326.0,392.0,1321.0,392.0,963.0,1205.0,1321.0,1321.0,1163.0,272.0,1321.0,1320.0
1315.0,612.0,1320.0,1331.0,1321.0,1320.0,1328.0,1320.0,392.0,1328.0,1331.0,1311.0,1311.0,,1321.0,1331.0,1288.0,1180.0,1165.0,1320.0,1331.0,1205.0,1217.0,1326.0,1334.0
1312.0,1327.0,1331.0,1330.0,1326.0,1331.0,1330.0,1327.0,1311.0,1333.0,1312.0,1313.0,1331.0,,1326.0,1330.0,1261.0,1181.0,1167.0,1334.0,1330.0,1174.0,1289.0,,1329.0
40.0,1328.0,1327.0,1327.0,,1334.0,1329.0,1328.0,1331.0,1331.0,1330.0,1315.0,1330.0,,,1327.0,1294.0,968.0,1166.0,1331.0,1327.0,1179.0,899.0,,1327.0
126.0,1333.0,1328.0,1328.0,,1327.0,1326.0,1333.0,1334.0,1326.0,1327.0,1312.0,1327.0,,,1328.0,1254.0,1191.0,1163.0,1326.0,1328.0,1166.0,516.0,,1328.0
1316.0,1331.0,1333.0,1333.0,,1328.0,,1331.0,1330.0,,1328.0,1321.0,1328.0,,,1333.0,1302.0,1182.0,1179.0,,1333.0,1165.0,903.0,,1333.0
1318.0,1330.0,1330.0,1334.0,,1333.0,,1330.0,1327.0,,1333.0,1320.0,1333.0,,,1334.0,1265.0,1183.0,1178.0,,1334.0,1167.0,901.0,,1331.0
1323.0,1329.0,1329.0,1329.0,,1329.0,,1329.0,1333.0,,1329.0,1327.0,1334.0,,,1329.0,1305.0,969.0,1171.0,,1326.0,590.0,902.0,,1330.0
1330.0,1334.0,1334.0,1326.0,,1330.0,,1334.0,1328.0,,1334.0,1328.0,1329.0,,,1326.0,1309.0,1167.0,1071.0,,,591.0,905.0,,1326.0
1327.0,1311.0,1326.0,,,1326.0,,1314.0,1329.0,,1326.0,1333.0,1326.0,,,,1268.0,1166.0,1074.0,,,1324.0,904.0,,
1328.0,1326.0,,,,,,1326.0,1326.0,,,1330.0,,,,,1331.0,1165.0,1170.0,,,1321.0,906.0,,
1333.0,,,,,,,,,,,1331.0,,,,,1330.0,1163.0,1197.0,,,1320.0,900.0,,
1331.0,,,,,,,,,,,1334.0,,,,,1327.0,1179.0,1195.0,,,1327.0,117.0,,
1329.0,,,,,,,,,,,1329.0,,,,,1328.0,1174.0,1193.0,,,1328.0,523.0,,
1334.0,,,,,,,,,,,1326.0,,,,,1333.0,1178.0,1196.0,,,1333.0,1269.0,,
1326.0,,,,,,,,,,,,,,,,1329.0,1172.0,974.0,,,1331.0,711.0,,
,,,,,,,,,,,,,,,,1326.0,1171.0,1198.0,,,1329.0,831.0,,
,,,,,,,,,,,,,,,,,1321.0,957.0,,,1334.0,1310.0,,
,,,,,,,,,,,,,,,,,1320.0,953.0,,,1330.0,869.0,,
,,,,,,,,,,,,,,,,,1327.0,971.0,,,1326.0,881.0,,
,,,,,,,,,,,,,,,,,1328.0,972.0,,,,898.0,,
,,,,,,,,,,,,,,,,,1333.0,975.0,,,,40.0,,
,,,,,,,,,,,,,,,,,1331.0,958.0,,,,126.0,,
,,,,,,,,,,,,,,,,,392.0,959.0,,,,802.0,,
,,,,,,,,,,,,,,,,,1330.0,1192.0,,,,20.0,,
,,,,,,,,,,,,,,,,,1329.0,1174.0,,,,910.0,,
,,,,,,,,,,,,,,,,,1334.0,1069.0,,,,1042.0,,
,,,,,,,,,,,,,,,,,1326.0,1169.0,,,,1274.0,,
,,,,,,,,,,,,,,,,,,1172.0,,,,1277.0,,
,,,,,,,,,,,,,,,,,,1076.0,,,,1261.0,,
,,,,,,,,,,,,,,,,,,954.0,,,,1254.0,,
,,,,,,,,,,,,,,,,,,1190.0,,,,1294.0,,
,,,,,,,,,,,,,,,,,,952.0,,,,1286.0,,
,,,,,,,,,,,,,,,,,,1185.0,,,,1309.0,,
,,,,,,,,,,,,,,,,,,961.0,,,,1268.0,,
,,,,,,,,,,,,,,,,,,962.0,,,,1302.0,,
,,,,,,,,,,,,,,,,,,965.0,,,,1265.0,,
,,,,,,,,,,,,,,,,,,966.0,,,,1305.0,,
,,,,,,,,,,,,,,,,,,1186.0,,,,1287.0,,
,,,,,,,,,,,,,,,,,,955.0,,,,979.0,,
,,,,,,,,,,,,,,,,,,1168.0,,,,1297.0,,
,,,,,,,,,,,,,,,,,,1188.0,,,,1288.0,,
,,,,,,,,,,,,,,,,,,1194.0,,,,1256.0,,
,,,,,,,,,,,,,,,,,,1206.0,,,,1290.0,,
,,,,,,,,,,,,,,,,,,956.0,,,,1278.0,,
,,,,,,,,,,,,,,,,,,1068.0,,,,1263.0,,
,,,,,,,,,,,,,,,,,,949.0,,,,1295.0,,
,,,,,,,,,,,,,,,,,,946.0,,,,1307.0,,
,,,,,,,,,,,,,,,,,,1191.0,,,,830.0,,
,,,,,,,,,,,,,,,,,,1332.0,,,,486.0,,
,,,,,,,,,,,,,,,,,,1173.0,,,,230.0,,
,,,,,,,,,,,,,,,,,,1177.0,,,,712.0,,
,,,,,,,,,,,,,,,,,,1175.0,,,,829.0,,
,,,,,,,,,,,,,,,,,,1210.0,,,,306.0,,
,,,,,,,,,,,,,,,,,,1211.0,,,,586.0,,
,,,,,,,,,,,,,,,,,,1212.0,,,,399.0,,
,,,,,,,,,,,,,,,,,,1207.0,,,,1272.0,,
,,,,,,,,,,,,,,,,,,1272.0,,,,1279.0,,
,,,,,,,,,,,,,,,,,,1279.0,,,,1296.0,,
,,,,,,,,,,,,,,,,,,1296.0,,,,1285.0,,
,,,,,,,,,,,,,,,,,,1285.0,,,,805.0,,
,,,,,,,,,,,,,,,,,,272.0,,,,590.0,,
,,,,,,,,,,,,,,,,,,1216.0,,,,1071.0,,
,,,,,,,,,,,,,,,,,,1217.0,,,,1070.0,,
,,,,,,,,,,,,,,,,,,1289.0,,,,1069.0,,
,,,,,,,,,,,,,,,,,,1269.0,,,,1076.0,,
,,,,,,,,,,,,,,,,,,516.0,,,,1068.0,,
,,,,,,,,,,,,,,,,,,40.0,,,,1281.0,,
,,,,,,,,,,,,,,,,,,126.0,,,,894.0,,
,,,,,,,,,,,,,,,,,,901.0,,,,1204.0,,
,,,,,,,,,,,,,,,,,,902.0,,,,1206.0,,
,,,,,,,,,,,,,,,,,,903.0,,,,567.0,,
,,,,,,,,,,,,,,,,,,904.0,,,,896.0,,
,,,,,,,,,,,,,,,,,,906.0,,,,1024.0,,
,,,,,,,,,,,,,,,,,,905.0,,,,1311.0,,
,,,,,,,,,,,,,,,,,,900.0,,,,1313.0,,
,,,,,,,,,,,,,,,,,,802.0,,,,1315.0,,
,,,,,,,,,,,,,,,,,,117.0,,,,1312.0,,
,,,,,,,,,,,,,,,,,,523.0,,,,1316.0,,
,,,,,,,,,,,,,,,,,,590.0,,,,1318.0,,
,,,,,,,,,,,,,,,,,,1310.0,,,,1323.0,,
,,,,,,,,,,,,,,,,,,898.0,,,,1331.0,,
,,,,,,,,,,,,,,,,,,306.0,,,,1330.0,,
,,,,,,,,,,,,,,,,,,831.0,,,,1329.0,,
,,,,,,,,,,,,,,,,,,829.0,,,,1327.0,,
,,,,,,,,,,,,,,,,,,1256.0,,,,1328.0,,
,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,
,,,,,,,,,,,,,,,,,,910.0,,,,1334.0,,
,,,,,,,,,,,,,,,,,,1042.0,,,,1326.0,,
,,,,,,,,,,,,,,,,,,1283.0,,,,,,
,,,,,,,,,,,,,,,,,,979.0,,,,,,
,,,,,,,,,,,,,,,,,,395.0,,,,,,
,,,,,,,,,,,,,,,,,,1274.0,,,,,,
,,,,,,,,,,,,,,,,,,1277.0,,,,,,
,,,,,,,,,,,,,,,,,,711.0,,,,,,
,,,,,,,,,,,,,,,,,,805.0,,,,,,
,,,,,,,,,,,,,,,,,,1151.0,,,,,,
,,,,,,,,,,,,,,,,,,869.0,,,,,,
,,,,,,,,,,,,,,,,,,1184.0,,,,,,
,,,,,,,,,,,,,,,,,,947.0,,,,,,
,,,,,,,,,,,,,,,,,,948.0,,,,,,
,,,,,,,,,,,,,,,,,,960.0,,,,,,
,,,,,,,,,,,,,,,,,,973.0,,,,,,
,,,,,,,,,,,,,,,,,,1187.0,,,,,,
,,,,,,,,,,,,,,,,,,591.0,,,,,,
,,,,,,,,,,,,,,,,,,963.0,,,,,,
,,,,,,,,,,,,,,,,,,964.0,,,,,,
,,,,,,,,,,,,,,,,,,1180.0,,,,,,
,,,,,,,,,,,,,,,,,,1181.0,,,,,,
,,,,,,,,,,,,,,,,,,968.0,,,,,,
,,,,,,,,,,,,,,,,,,1182.0,,,,,,
,,,,,,,,,,,,,,,,,,1183.0,,,,,,
,,,,,,,,,,,,,,,,,,969.0,,,,,,
,,,,,,,,,,,,,,,,,,967.0,,,,,,
,,,,,,,,,,,,,,,,,,1117.0,,,,,,
,,,,,,,,,,,,,,,,,,899.0,,,,,,
,,,,,,,,,,,,,,,,,,881.0,,,,,,
,,,,,,,,,,,,,,,,,,712.0,,,,,,
,,,,,,,,,,,,,,,,,,950.0,,,,,,
,,,,,,,,,,,,,,,,,,219.0,,,,,,
,,,,,,,,,,,,,,,,,,867.0,,,,,,
,,,,,,,,,,,,,,,,,,830.0,,,,,,
,,,,,,,,,,,,,,,,,,486.0,,,,,,
,,,,,,,,,,,,,,,,,,1294.0,,,,,,
,,,,,,,,,,,,,,,,,,1261.0,,,,,,
,,,,,,,,,,,,,,,,,,1254.0,,,,,,
,,,,,,,,,,,,,,,,,,1286.0,,,,,,
,,,,,,,,,,,,,,,,,,1302.0,,,,,,
,,,,,,,,,,,,,,,,,,1265.0,,,,,,
,,,,,,,,,,,,,,,,,,1305.0,,,,,,
,,,,,,,,,,,,,,,,,,1309.0,,,,,,
,,,,,,,,,,,,,,,,,,1268.0,,,,,,
,,,,,,,,,,,,,,,,,,1297.0,,,,,,
,,,,,,,,,,,,,,,,,,1307.0,,,,,,
,,,,,,,,,,,,,,,,,,1287.0,,,,,,
,,,,,,,,,,,,,,,,,,449.0,,,,,,
,,,,,,,,,,,,,,,,,,1189.0,,,,,,
,,,,,,,,,,,,,,,,,,1288.0,,,,,,
,,,,,,,,,,,,,,,,,,567.0,,,,,,
,,,,,,,,,,,,,,,,,,894.0,,,,,,
,,,,,,,,,,,,,,,,,,895.0,,,,,,
,,,,,,,,,,,,,,,,,,897.0,,,,,,
,,,,,,,,,,,,,,,,,,1027.0,,,,,,
,,,,,,,,,,,,,,,,,,893.0,,,,,,
,,,,,,,,,,,,,,,,,,1110.0,,,,,,
,,,,,,,,,,,,,,,,,,1024.0,,,,,,
,,,,,,,,,,,,,,,,,,896.0,,,,,,
,,,,,,,,,,,,,,,,,,892.0,,,,,,
,,,,,,,,,,,,,,,,,,1011.0,,,,,,
,,,,,,,,,,,,,,,,,,1093.0,,,,,,
,,,,,,,,,,,,,,,,,,1281.0,,,,,,
,,,,,,,,,,,,,,,,,,1325.0,,,,,,
,,,,,,,,,,,,,,,,,,1311.0,,,,,,
,,,,,,,,,,,,,,,,,,1313.0,,,,,,
,,,,,,,,,,,,,,,,,,1315.0,,,,,,
,,,,,,,,,,,,,,,,,,1312.0,,,,,,
,,,,,,,,,,,,,,,,,,1316.0,,,,,,
,,,,,,,,,,,,,,,,,,1318.0,,,,,,
,,,,,,,,,,,,,,,,,,1323.0,,,,,,
,,,,,,,,,,,,,,,,,,1330.0,,,,,,
,,,,,,,,,,,,,,,,,,1331.0,,,,,,
,,,,,,,,,,,,,,,,,,1327.0,,,,,,
,,,,,,,,,,,,,,,,,,1328.0,,,,,,
,,,,,,,,,,,,,,,,,,1333.0,,,,,,
,,,,,,,,,,,,,,,,,,1329.0,,,,,,
,,,,,,,,,,,,,,,,,,1334.0,,,,,,
,,,,,,,,,,,,,,,,,,1326.0,,,,,,
