targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.52,0.6400000000000001,3.0,1.0,1.7793522267206479
7.1,1.52,0.6400000000000001,3.0,1.0,1.8782051282051282
7.2,1.6,0.8,4.0,1.0,2.002277904328018
7.3,1.76,1.1757550765359255,6.0,1.0,2.133495145631068
7.4,1.8,1.2328828005937953,6.0,1.0,2.2890625
7.5,1.84,1.22245654319489,6.0,1.0,2.46218487394958
7.6,2.08,1.6951696080333674,8.0,1.0,2.6636363636363636
7.7,2.68,2.3103246525109844,9.0,1.0,2.95959595959596
7.8,2.92,2.726462910072315,12.0,1.0,3.292134831460674
7.9,3.64,3.2357997465850703,12.0,1.0,3.5443548387096775
8.0,4.32,3.343291791034698,12.0,1.0,3.9066666666666667
8.1,4.4,3.3105890714493693,12.0,1.0,5.051724137931035
8.2,5.04,4.064283454681772,15.0,1.0,5.634615384615385
8.3,5.4,4.418144406874904,17.0,1.0,6.511111111111111
8.4,6.04,4.870154001671816,17.0,1.0,7.918918918918919
8.5,7.16,8.407996194099995,41.0,1.0,8.702970297029703
8.6,11.64,11.647763733867544,41.0,1.0,11.26923076923077
8.7,18.28,21.977297377066183,93.0,1.0,14.898305084745763
8.8,21.68,27.152487915474705,102.0,1.0,17.58
8.9,25.0,26.13350340080717,102.0,1.0,21.975
9.0,25.44,27.113214490355066,102.0,1.0,25.114285714285714
9.1,35.84,43.77093099306891,194.0,1.0,35.16
9.2,40.56,43.13799253558283,194.0,1.0,43.95
9.3,42.8,45.3219593574682,211.0,1.0,48.833333333333336
9.4,60.52,46.80608507448577,211.0,7.0,97.66666666666667
9.5,60.52,46.80608507448577,211.0,7.0,97.66666666666667
9.6,61.8,46.49559118884283,211.0,14.0,175.8
9.7,114.8,43.56420549028755,211.0,44.0,439.5
9.8,114.8,43.56420549028755,211.0,44.0,439.5
9.9,114.8,43.56420549028755,211.0,44.0,439.5
10.0,114.8,43.56420549028755,211.0,44.0,439.5
10.1,114.8,43.56420549028755,211.0,44.0,439.5
10.2,114.8,43.56420549028755,211.0,44.0,439.5
10.3,114.8,43.56420549028755,211.0,44.0,439.5
10.4,114.8,43.56420549028755,211.0,44.0,439.5
10.5,114.8,43.56420549028755,211.0,44.0,439.5
10.6,114.8,43.56420549028755,211.0,44.0,439.5
10.7,114.8,43.56420549028755,211.0,44.0,439.5
10.8,114.8,43.56420549028755,211.0,44.0,439.5
10.9,114.8,43.56420549028755,211.0,44.0,439.5
11.0,114.8,43.56420549028755,211.0,44.0,439.5
11.0,114.8,43.56420549028755,211.0,44.0,439.5
