targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.4,0.8485281374238571,4.0,1.0,1.7793522267206479
7.1,1.56,0.9414881836751855,4.0,1.0,1.8782051282051282
7.2,1.8,1.1661903789690602,5.0,1.0,2.002277904328018
7.3,1.8,1.1661903789690602,5.0,1.0,2.133495145631068
7.4,1.8,1.1661903789690602,5.0,1.0,2.2890625
7.5,1.84,1.1551623262554922,5.0,1.0,2.46218487394958
7.6,1.96,1.28,5.0,1.0,2.6636363636363636
7.7,1.96,1.28,5.0,1.0,2.95959595959596
7.8,2.56,1.8564482217395668,8.0,1.0,3.292134831460674
7.9,2.56,1.8564482217395668,8.0,1.0,3.5443548387096775
8.0,3.04,2.734666341621953,13.0,1.0,3.9066666666666667
8.1,3.88,2.997599039231231,13.0,1.0,5.051724137931035
8.2,5.6,4.2708313008125245,16.0,1.0,5.634615384615385
8.3,6.92,5.87823102642283,26.0,1.0,6.511111111111111
8.4,7.16,5.971130546219871,26.0,1.0,7.918918918918919
8.5,7.28,6.193674192270691,26.0,1.0,8.702970297029703
8.6,8.64,7.260192834904594,27.0,1.0,11.26923076923077
8.7,11.52,8.944808550215036,34.0,1.0,14.898305084745763
8.8,13.68,14.18652882138545,61.0,1.0,17.58
8.9,16.04,17.29388331173771,68.0,1.0,21.975
9.0,16.04,17.29388331173771,68.0,1.0,25.114285714285714
9.1,19.6,20.16730026552885,80.0,3.0,35.16
9.2,20.04,21.552688927370525,91.0,3.0,43.95
9.3,22.72,20.87586165886333,91.0,3.0,48.833333333333336
9.4,40.08,25.26645206593122,92.0,3.0,97.66666666666667
9.5,40.08,25.26645206593122,92.0,3.0,97.66666666666667
9.6,40.32,25.397196695698526,95.0,3.0,175.8
9.7,51.16,31.773800528108058,150.0,3.0,439.5
9.8,51.16,31.773800528108058,150.0,3.0,439.5
9.9,51.16,31.773800528108058,150.0,3.0,439.5
10.0,51.16,31.773800528108058,150.0,3.0,439.5
10.1,51.16,31.773800528108058,150.0,3.0,439.5
10.2,51.16,31.773800528108058,150.0,3.0,439.5
10.3,51.16,31.773800528108058,150.0,3.0,439.5
10.4,51.16,31.773800528108058,150.0,3.0,439.5
10.5,51.16,31.773800528108058,150.0,3.0,439.5
10.6,51.16,31.773800528108058,150.0,3.0,439.5
10.7,51.16,31.773800528108058,150.0,3.0,439.5
10.8,51.16,31.773800528108058,150.0,3.0,439.5
10.9,51.16,31.773800528108058,150.0,3.0,439.5
11.0,51.16,31.773800528108058,150.0,3.0,439.5
11.0,51.16,31.773800528108058,150.0,3.0,439.5
