targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.0,0.0,1.0,1.0,1.787321063394683
7.1,1.0,0.0,1.0,1.0,1.8876889848812095
7.2,1.0,0.0,1.0,1.0,2.013824884792627
7.3,1.0,0.0,1.0,1.0,2.1474201474201475
7.4,1.0,0.0,1.0,1.0,2.3060686015831133
7.5,1.0,0.0,1.0,1.0,2.4829545454545454
7.6,1.0,0.0,1.0,1.0,2.6809815950920246
7.7,1.0,0.0,1.0,1.0,2.9829351535836177
7.8,1.0,0.0,1.0,1.0,3.32319391634981
7.9,1.0,0.0,1.0,1.0,3.581967213114754
8.0,1.0,0.0,1.0,1.0,3.9547511312217196
8.1,1.0,0.0,1.0,1.0,5.141176470588236
8.2,1.0,0.0,1.0,1.0,5.75
8.3,1.0,0.0,1.0,1.0,6.67175572519084
8.4,1.0,0.0,1.0,1.0,8.16822429906542
8.5,1.0,0.0,1.0,1.0,8.918367346938776
8.6,1.0,0.0,1.0,1.0,11.653333333333334
8.7,1.0,0.0,1.0,1.0,15.607142857142858
8.8,1.0,0.0,1.0,1.0,18.595744680851062
8.9,1.0,0.0,1.0,1.0,23.62162162162162
9.0,1.0,0.0,1.0,1.0,27.3125
9.1,1.0,0.0,1.0,1.0,39.72727272727273
9.2,1.0,0.0,1.0,1.0,51.411764705882355
9.3,1.0,0.0,1.0,1.0,58.266666666666666
9.4,48.0,0.0,48.0,48.0,124.85714285714286
9.5,48.0,0.0,48.0,48.0,124.85714285714286
9.6,48.0,0.0,48.0,48.0,218.5
9.7,48.0,0.0,48.0,48.0,437.0
9.8,48.0,0.0,48.0,48.0,437.0
9.9,48.0,0.0,48.0,48.0,437.0
10.0,48.0,0.0,48.0,48.0,437.0
10.1,48.0,0.0,48.0,48.0,437.0
10.2,48.0,0.0,48.0,48.0,437.0
10.3,48.0,0.0,48.0,48.0,437.0
10.4,48.0,0.0,48.0,48.0,437.0
10.5,48.0,0.0,48.0,48.0,437.0
10.6,48.0,0.0,48.0,48.0,437.0
10.7,48.0,0.0,48.0,48.0,437.0
10.8,48.0,0.0,48.0,48.0,437.0
10.9,48.0,0.0,48.0,48.0,437.0
11.0,48.0,0.0,48.0,48.0,437.0
11.0,48.0,0.0,48.0,48.0,437.0
