run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
2713.0,2609.0,2049.0,3482.0,2544.0,1493.0,2063.0,2608.0,1640.0,3803.0,2466.0,3816.0,3807.0,488.0,3724.0,2812.0,1806.0,351.0,1793.0,3626.0,73.0,172.0,2229.0,2953.0,3514.0
3211.0,982.0,1361.0,139.0,1395.0,3834.0,2255.0,2170.0,789.0,2851.0,3029.0,3273.0,1316.0,1800.0,457.0,3854.0,982.0,2024.0,21.0,1530.0,1731.0,803.0,3725.0,3461.0,1030.0
1373.0,1155.0,221.0,2883.0,682.0,1019.0,1893.0,3832.0,1139.0,3716.0,2780.0,1483.0,489.0,982.0,1900.0,3679.0,3531.0,3626.0,3106.0,2238.0,2849.0,1272.0,635.0,1802.0,2182.0
489.0,611.0,22.0,3559.0,1493.0,457.0,2170.0,945.0,2463.0,1642.0,668.0,3094.0,21.0,1938.0,21.0,1769.0,1042.0,2992.0,2848.0,1731.0,3076.0,2078.0,434.0,692.0,2161.0
2049.0,1874.0,1906.0,1963.0,2613.0,3552.0,1513.0,117.0,0.0,1021.0,3332.0,1457.0,3626.0,3829.0,809.0,2078.0,1262.0,1908.0,672.0,2931.0,3096.0,600.0,2182.0,2761.0,306.0
3013.0,2853.0,1963.0,3057.0,1156.0,601.0,315.0,3398.0,1395.0,2952.0,2762.0,1963.0,2777.0,2580.0,557.0,2145.0,788.0,996.0,1666.0,3516.0,565.0,400.0,3709.0,1932.0,2952.0
3094.0,1343.0,2466.0,2849.0,92.0,441.0,341.0,3816.0,3275.0,2849.0,3807.0,557.0,2543.0,157.0,3690.0,2849.0,1370.0,2463.0,1216.0,1425.0,105.0,1447.0,3013.0,2460.0,2544.0
1370.0,853.0,341.0,3241.0,3552.0,803.0,1021.0,898.0,64.0,3804.0,3241.0,2540.0,3120.0,63.0,2911.0,1995.0,3414.0,1316.0,1156.0,3831.0,3398.0,982.0,1610.0,2015.0,2813.0
3169.0,2613.0,1483.0,2843.0,2016.0,715.0,2964.0,3841.0,27.0,1023.0,3253.0,1493.0,1893.0,2466.0,172.0,2609.0,679.0,3668.0,3461.0,1963.0,2607.0,1908.0,2463.0,600.0,3679.0
635.0,1216.0,2369.0,2148.0,1321.0,3576.0,3531.0,3226.0,2823.0,768.0,3622.0,3834.0,1155.0,1932.0,673.0,2608.0,3563.0,673.0,1846.0,751.0,3716.0,2369.0,565.0,2607.0,1169.0
697.0,258.0,434.0,882.0,258.0,697.0,2369.0,3013.0,1842.0,1426.0,2832.0,697.0,1280.0,1850.0,258.0,1426.0,3779.0,882.0,258.0,2549.0,215.0,2695.0,898.0,1273.0,1426.0
898.0,936.0,3541.0,1426.0,,,316.0,3551.0,598.0,671.0,1802.0,2848.0,3553.0,670.0,3106.0,,2369.0,1535.0,2063.0,2111.0,1850.0,201.0,3551.0,2016.0,801.0
3551.0,1041.0,1041.0,2835.0,,,3066.0,1535.0,1791.0,670.0,882.0,1235.0,1426.0,292.0,1732.0,,3240.0,1426.0,936.0,1426.0,2609.0,1321.0,1535.0,343.0,3414.0
1535.0,2965.0,2695.0,50.0,,,1210.0,2810.0,2162.0,672.0,1535.0,1494.0,315.0,3063.0,2863.0,,2885.0,315.0,3531.0,315.0,1447.0,3541.0,1850.0,1776.0,1316.0
2111.0,454.0,697.0,1280.0,,,682.0,2111.0,1615.0,2580.0,1280.0,576.0,304.0,304.0,1136.0,,3066.0,0.0,2369.0,292.0,445.0,434.0,1426.0,2955.0,3553.0
341.0,787.0,788.0,1802.0,,,3626.0,1426.0,344.0,64.0,1426.0,3666.0,2503.0,3594.0,2823.0,,2220.0,697.0,2885.0,2837.0,488.0,995.0,2810.0,344.0,1425.0
1426.0,201.0,3531.0,2551.0,,,2549.0,64.0,1273.0,445.0,2111.0,2847.0,2549.0,2032.0,119.0,,882.0,3553.0,434.0,1547.0,2851.0,1705.0,2549.0,1641.0,3413.0
2810.0,2248.0,3066.0,768.0,,,3106.0,2549.0,2953.0,853.0,339.0,2544.0,2837.0,2581.0,2078.0,,1210.0,2549.0,3541.0,1535.0,64.0,3531.0,1842.0,2050.0,1535.0
2812.0,350.0,995.0,2580.0,,,3520.0,3552.0,343.0,1600.0,1020.0,2063.0,1535.0,2579.0,1332.0,,1426.0,3413.0,3066.0,3551.0,1071.0,1210.0,3541.0,63.0,2811.0
