targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,2.652173913043478,2.0346711229213197,9.0,1.0,2.422222222222222
7.1,2.652173913043478,2.0346711229213197,9.0,1.0,2.5
7.2,2.652173913043478,2.0346711229213197,9.0,1.0,2.5546875
7.3,2.652173913043478,2.0346711229213197,9.0,1.0,2.6286173633440515
7.4,2.652173913043478,2.0346711229213197,9.0,1.0,2.715946843853821
7.5,2.652173913043478,2.0346711229213197,9.0,1.0,2.7948717948717947
7.6,2.652173913043478,2.0346711229213197,9.0,1.0,2.873462214411248
7.7,2.782608695652174,2.020686963238653,9.0,1.0,2.9673321234119783
7.8,3.0434782608695654,2.156451611762999,9.0,1.0,3.1202290076335877
7.9,3.0434782608695654,2.156451611762999,9.0,1.0,3.283132530120482
8.0,3.1739130434782608,2.4610385561886794,10.0,1.0,3.456659619450317
8.1,3.739130434782609,3.2197406228823677,14.0,1.0,3.856132075471698
8.2,3.869565217391304,3.5177110619423977,14.0,1.0,4.170918367346939
8.3,3.9565217391304346,3.6173285947741722,14.0,1.0,4.5041322314049586
8.4,3.9565217391304346,3.6173285947741722,14.0,1.0,5.061919504643963
8.5,4.391304347826087,3.830531015915958,14.0,1.0,5.360655737704918
8.6,5.3478260869565215,5.591987246145917,24.0,1.0,5.989010989010989
8.7,5.695652173913044,5.9449268296129425,27.0,1.0,7.569444444444445
8.8,5.956521739130435,5.99621808975976,27.0,1.0,8.696808510638299
8.9,7.173913043478261,7.328634571875632,27.0,1.0,10.414012738853502
9.0,8.478260869565217,7.677576413434188,27.0,1.0,11.678571428571429
9.1,15.391304347826088,15.409593653291001,62.0,1.0,16.515151515151516
9.2,22.08695652173913,26.18149536281097,103.0,1.0,21.513157894736842
9.3,28.391304347826086,27.208916585871947,103.0,2.0,29.727272727272727
9.4,38.65217391304348,39.05582258617527,137.0,2.0,38.02325581395349
9.5,46.34782608695652,49.338765688066495,190.0,2.0,41.92307692307692
9.6,67.0,69.53510217712065,236.0,2.0,51.09375
9.7,103.1304347826087,94.73133834707686,281.0,5.0,77.85714285714286
9.8,104.0,94.55939012530467,281.0,5.0,109.0
9.9,118.69565217391305,100.01453580555557,341.0,18.0,272.5
10.0,120.26086956521739,100.40795802139621,351.0,20.0,327.0
10.096910013008056,128.95652173913044,100.88024681074761,351.0,20.0,817.5
