targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.0,0.0,3.0,3.0,2.426448736998514
7.1,3.0,0.0,3.0,3.0,2.504601226993865
7.2,3.0,0.0,3.0,3.0,2.5595611285266457
7.3,3.0,0.0,3.0,3.0,2.6338709677419354
7.4,3.0,0.0,3.0,3.0,2.7216666666666667
7.5,3.0,0.0,3.0,3.0,2.8010291595197256
7.6,3.0,0.0,3.0,3.0,2.880070546737213
7.7,3.0,0.0,3.0,3.0,2.9744990892531877
7.8,3.0,0.0,3.0,3.0,3.128352490421456
7.9,3.0,0.0,3.0,3.0,3.2923387096774195
8.0,3.0,0.0,3.0,3.0,3.4597457627118646
8.1,3.0,0.0,3.0,3.0,3.8605200945626477
8.2,3.0,0.0,3.0,3.0,4.176470588235294
8.3,3.0,0.0,3.0,3.0,4.511049723756906
8.4,3.0,0.0,3.0,3.0,5.071428571428571
8.5,3.0,0.0,3.0,3.0,5.371710526315789
8.6,3.0,0.0,3.0,3.0,6.0036764705882355
8.7,3.0,0.0,3.0,3.0,7.595348837209302
8.8,3.0,0.0,3.0,3.0,8.732620320855615
8.9,3.0,0.0,3.0,3.0,10.467948717948717
9.0,3.0,0.0,3.0,3.0,11.748201438848922
9.1,3.0,0.0,3.0,3.0,16.663265306122447
9.2,3.0,0.0,3.0,3.0,21.486842105263158
9.3,3.0,0.0,3.0,3.0,29.69090909090909
9.4,3.0,0.0,3.0,3.0,37.97674418604651
9.5,3.0,0.0,3.0,3.0,41.87179487179487
9.6,19.0,0.0,19.0,19.0,51.03125
9.7,19.0,0.0,19.0,19.0,77.76190476190476
9.8,19.0,0.0,19.0,19.0,108.86666666666666
9.9,19.0,0.0,19.0,19.0,272.1666666666667
10.0,19.0,0.0,19.0,19.0,326.6
10.096910013008056,32.0,0.0,32.0,32.0,816.5
