targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.64,3.7081531791445723,14.0,1.0,4.563139931740614
7.1,4.8,3.7416573867739413,14.0,1.0,4.809352517985611
7.2,4.92,3.9488732570190197,15.0,1.0,4.9888059701492535
7.3,4.92,3.9488732570190197,15.0,1.0,5.202334630350195
7.4,4.92,3.9488732570190197,15.0,1.0,5.412955465587045
7.5,5.68,6.2207395058787025,30.0,1.0,5.68936170212766
7.6,5.92,6.368170851979398,30.0,1.0,6.049773755656108
7.7,6.0,6.456004956627589,30.0,1.0,6.553921568627451
7.8,6.28,6.514721789915515,30.0,1.0,7.074074074074074
7.9,6.32,6.661651446901135,31.0,1.0,7.683908045977011
8.0,6.8,6.693280212272605,31.0,1.0,8.152439024390244
8.1,8.24,8.18427761014984,31.0,1.0,9.34965034965035
8.2,8.32,8.331722510981747,32.0,1.0,10.4453125
8.3,8.68,9.250816180208101,39.0,1.0,11.235294117647058
8.4,10.96,13.420819647100545,59.0,1.0,12.154545454545454
8.5,11.04,13.447616889248442,59.0,1.0,13.927083333333334
8.6,11.28,13.797159127878464,59.0,1.0,15.367816091954023
8.7,11.36,13.806896827310618,59.0,1.0,16.304878048780488
8.8,11.72,13.904013808968976,59.0,1.0,17.592105263157894
8.9,12.04,14.140664765137458,59.0,1.0,18.830985915492956
9.0,12.28,14.261893282450265,59.0,1.0,20.257575757575758
9.1,13.2,14.89966442575134,59.0,1.0,23.051724137931036
9.2,13.48,14.846198166534082,59.0,1.0,24.30909090909091
9.3,13.76,14.919195688776256,59.0,1.0,26.74
9.4,18.84,17.89900555896891,59.0,1.0,31.093023255813954
9.5,21.48,20.419833495893155,70.0,1.0,33.425
9.6,41.08,39.95589568511761,145.0,1.0,39.3235294117647
9.7,41.84,39.50258725703926,145.0,1.0,47.75
9.8,45.36,38.17944996984634,145.0,1.0,60.77272727272727
9.9,47.72,37.2381739616754,145.0,1.0,66.85
10.0,47.72,37.2381739616754,145.0,1.0,66.85
10.1,49.92,36.49100711134182,145.0,1.0,83.5625
10.2,49.92,36.49100711134182,145.0,1.0,89.13333333333334
10.3,50.0,36.44722211636986,145.0,1.0,102.84615384615384
10.4,50.0,36.44722211636986,145.0,1.0,102.84615384615384
10.5,50.08,36.546868538904945,145.0,1.0,121.54545454545455
10.6,68.76,48.471253336384855,186.0,1.0,267.4
10.7,68.76,48.471253336384855,186.0,1.0,267.4
10.8,75.08,48.681758390592265,186.0,1.0,445.6666666666667
10.9,81.52,51.61171959933132,214.0,16.0,668.5
11.0,81.52,51.61171959933132,214.0,16.0,668.5
11.100000000000001,81.52,51.61171959933132,214.0,16.0,668.5
11.2,81.52,51.61171959933132,214.0,16.0,668.5
11.3,81.52,51.61171959933132,214.0,16.0,668.5
11.4,81.52,51.61171959933132,214.0,16.0,668.5
11.4000078224159,81.52,51.61171959933132,214.0,16.0,668.5
