targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.6,0.8944271909999157,4.0,1.0,1.787321063394683
7.1,1.68,0.9682974749528164,4.0,1.0,1.8876889848812095
7.2,2.4,1.8110770276274832,7.0,1.0,2.013824884792627
7.3,2.48,1.7915356541246952,7.0,1.0,2.1474201474201475
7.4,2.68,2.0143485299222674,9.0,1.0,2.3060686015831133
7.5,2.88,2.0458738964071075,9.0,1.0,2.4829545454545454
7.6,3.08,2.0960916010518242,9.0,1.0,2.6809815950920246
7.7,3.32,2.0730653631759903,9.0,1.0,2.9829351535836177
7.8,3.52,2.0614557962760203,9.0,1.0,3.32319391634981
7.9,3.56,2.0411761315476915,9.0,1.0,3.581967213114754
8.0,4.52,5.004957542277455,27.0,1.0,3.9547511312217196
8.1,5.08,5.1062314871145436,27.0,1.0,5.141176470588236
8.2,5.68,5.236181815025143,27.0,1.0,5.75
8.3,6.04,5.149601926362853,27.0,1.0,6.67175572519084
8.4,7.92,7.081920643441298,31.0,1.0,8.16822429906542
8.5,7.92,7.081920643441298,31.0,1.0,8.918367346938776
8.6,9.76,7.089598013992049,31.0,1.0,11.653333333333334
8.7,20.84,36.51046973129762,148.0,1.0,15.607142857142858
8.8,21.24,36.73285178147758,149.0,1.0,18.595744680851062
8.9,23.76,36.131183207860765,149.0,2.0,23.62162162162162
9.0,23.76,36.131183207860765,149.0,2.0,27.3125
9.1,28.4,37.58084618525772,149.0,2.0,39.72727272727273
9.2,29.64,39.620075719261315,149.0,2.0,51.411764705882355
9.3,31.6,39.22448215082004,149.0,2.0,58.266666666666666
9.4,51.88,36.238454713191075,179.0,21.0,124.85714285714286
9.5,51.88,36.238454713191075,179.0,21.0,124.85714285714286
9.6,56.28,46.55020515529443,247.0,21.0,218.5
9.7,75.32,77.07903476302748,339.0,21.0,437.0
9.8,75.32,77.07903476302748,339.0,21.0,437.0
9.9,75.32,77.07903476302748,339.0,21.0,437.0
10.0,75.32,77.07903476302748,339.0,21.0,437.0
10.1,75.32,77.07903476302748,339.0,21.0,437.0
10.2,75.32,77.07903476302748,339.0,21.0,437.0
10.3,75.32,77.07903476302748,339.0,21.0,437.0
10.4,75.32,77.07903476302748,339.0,21.0,437.0
10.5,75.32,77.07903476302748,339.0,21.0,437.0
10.6,75.32,77.07903476302748,339.0,21.0,437.0
10.7,75.32,77.07903476302748,339.0,21.0,437.0
10.8,75.32,77.07903476302748,339.0,21.0,437.0
10.9,75.32,77.07903476302748,339.0,21.0,437.0
11.0,75.32,77.07903476302748,339.0,21.0,437.0
11.0,75.32,77.07903476302748,339.0,21.0,437.0
