targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.84,1.7130090484291083,9.0,1.0,2.1475501113585747
7.1,1.84,1.7130090484291083,9.0,1.0,2.226905311778291
7.2,1.88,1.773583942191629,9.0,1.0,2.289020771513353
7.3,2.12,1.7959955456514918,9.0,1.0,2.4046134663341645
7.4,2.12,1.7959955456514918,9.0,1.0,2.512703583061889
7.5,2.16,1.781684596105607,9.0,1.0,2.5833891493636973
7.6,2.16,1.781684596105607,9.0,1.0,2.685933147632312
7.7,2.2,1.766352173265569,9.0,1.0,2.836029411764706
7.8,2.24,1.8391302292116234,9.0,1.0,2.9578220858895707
7.9,2.24,1.8391302292116234,9.0,1.0,3.090544871794872
8.0,2.24,1.8391302292116234,9.0,1.0,3.1981757877280264
8.1,2.24,1.8391302292116234,9.0,1.0,3.40423654015887
8.2,2.24,1.8391302292116234,9.0,1.0,3.5581180811808117
8.3,2.24,1.8391302292116234,9.0,1.0,3.748299319727891
8.4,2.36,1.977473135089324,9.0,1.0,4.0814814814814815
8.5,2.64,2.2428553230201893,9.0,1.0,4.252480705622933
8.6,4.28,3.985172518223018,16.0,1.0,4.7094017094017095
8.7,5.48,4.491057781859414,16.0,1.0,5.432394366197183
8.8,5.88,4.727113284024406,16.0,1.0,5.879573170731708
8.9,6.24,5.420553477275175,19.0,1.0,6.2920065252854815
9.0,6.24,5.420553477275175,19.0,1.0,6.63855421686747
9.1,8.44,9.695689764013697,44.0,1.0,7.9855072463768115
9.2,11.12,14.117563529164654,63.0,1.0,8.826086956521738
9.3,11.44,13.980214590627716,63.0,1.0,10.123359580052494
9.4,12.28,16.286239590525497,77.0,1.0,11.652567975830816
9.5,12.4,16.37314875031678,77.0,1.0,13.119047619047619
9.6,13.64,16.094421393762495,77.0,1.0,15.18503937007874
9.7,20.36,29.65788933825197,126.0,2.0,18.723300970873787
9.8,21.48,29.447064369814527,126.0,2.0,21.07650273224044
9.9,21.88,29.27158348979433,126.0,2.0,23.095808383233532
10.0,23.96,33.42511630495846,154.0,2.0,26.06081081081081
10.1,26.16,35.126833048255286,154.0,2.0,33.833333333333336
10.2,31.04,35.29360281977458,154.0,6.0,39.357142857142854
10.3,31.32,35.13484879717002,154.0,6.0,45.37647058823529
10.4,39.2,40.325674203911326,178.0,6.0,63.22950819672131
10.5,40.88,39.90119797700315,178.0,6.0,72.77358490566037
10.6,48.28,41.970961389989625,178.0,6.0,85.71111111111111
10.7,110.52,91.75494319108918,360.0,6.0,137.75
10.8,111.24,91.58876787030165,361.0,6.0,148.34615384615384
10.9,129.8,113.79595774894642,429.0,6.0,183.66666666666666
11.0,130.84,112.89133890604717,429.0,6.0,214.27777777777777
11.100000000000001,136.2,114.60296680278395,431.0,6.0,385.7
11.2,138.96,113.88186159349522,431.0,6.0,482.125
11.3,138.96,113.88186159349522,431.0,6.0,551.0
11.39794001,281.2,238.36560154518943,856.0,6.0,964.25
