targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.52,3.442324795832026,11.0,1.0,4.563139931740614
7.1,4.68,3.4839058540666676,11.0,1.0,4.809352517985611
7.2,5.48,5.47079518900132,25.0,1.0,4.9888059701492535
7.3,5.48,5.47079518900132,25.0,1.0,5.202334630350195
7.4,5.48,5.47079518900132,25.0,1.0,5.412955465587045
7.5,5.68,5.753051364276178,25.0,1.0,5.68936170212766
7.6,6.0,6.11228271597445,26.0,1.0,6.049773755656108
7.7,6.04,6.1545430374642764,26.0,1.0,6.553921568627451
7.8,6.32,6.214306075500304,26.0,1.0,7.074074074074074
7.9,6.36,6.2474314722132,26.0,1.0,7.683908045977011
8.0,6.92,6.3681708519793965,26.0,1.0,8.152439024390244
8.1,7.68,6.715474666767793,26.0,1.0,9.34965034965035
8.2,8.04,7.169267745035054,27.0,1.0,10.4453125
8.3,8.12,7.268122178389686,27.0,1.0,11.235294117647058
8.4,11.16,13.110850468219063,58.0,1.0,12.154545454545454
8.5,11.28,13.207634156047781,58.0,1.0,13.927083333333334
8.6,11.32,13.289755452979561,58.0,1.0,15.367816091954023
8.7,11.32,13.289755452979561,58.0,1.0,16.304878048780488
8.8,11.6,13.296616110875727,58.0,1.0,17.592105263157894
8.9,11.88,13.509463349815196,58.0,1.0,18.830985915492956
9.0,12.0,13.629380029920656,58.0,1.0,20.257575757575758
9.1,13.84,15.709054713763015,58.0,1.0,23.051724137931036
9.2,14.04,15.64219933385328,58.0,1.0,24.30909090909091
9.3,14.6,16.01998751560063,58.0,1.0,26.74
9.4,19.24,18.66607618113673,58.0,1.0,31.093023255813954
9.5,20.0,18.82338970536391,58.0,1.0,33.425
9.6,41.56,36.31757701168953,104.0,1.0,39.3235294117647
9.7,45.24,40.27831178190069,113.0,1.0,47.75
9.8,49.32,40.19225796095562,113.0,1.0,60.77272727272727
9.9,51.16,39.019666836096896,113.0,1.0,66.85
10.0,51.16,39.019666836096896,113.0,1.0,66.85
10.1,52.72,37.97738274289054,113.0,1.0,83.5625
10.2,53.8,39.762293696415455,131.0,1.0,89.13333333333334
10.3,53.84,39.7196978840474,131.0,1.0,102.84615384615384
10.4,53.84,39.7196978840474,131.0,1.0,102.84615384615384
10.5,53.96,39.782890794913335,131.0,1.0,121.54545454545455
10.6,108.36,89.7235219995292,271.0,1.0,267.4
10.7,108.36,89.7235219995292,271.0,1.0,267.4
10.8,112.44,88.19754191586067,278.0,1.0,445.6666666666667
10.9,115.44,88.37016691169028,278.0,16.0,668.5
11.0,115.44,88.37016691169028,278.0,16.0,668.5
11.100000000000001,115.44,88.37016691169028,278.0,16.0,668.5
11.2,115.44,88.37016691169028,278.0,16.0,668.5
11.3,115.44,88.37016691169028,278.0,16.0,668.5
11.4,115.44,88.37016691169028,278.0,16.0,668.5
11.4000078224159,115.44,88.37016691169028,278.0,16.0,668.5
