targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.32,2.4774180107523236,9.0,1.0,9.403409090909092
7.1,3.84,2.962161373051779,12.0,1.0,10.216049382716049
7.2,3.88,2.93011945148999,12.0,1.0,11.335616438356164
7.3,3.88,2.93011945148999,12.0,1.0,12.443609022556391
7.4,3.88,2.93011945148999,12.0,1.0,13.24
7.5,4.28,3.2437015892341265,12.0,1.0,14.776785714285714
7.6,4.44,3.465025252433234,12.0,1.0,16.717171717171716
7.7,4.72,3.5946627101857547,12.0,1.0,17.795698924731184
7.8,5.0,3.7202150475476548,12.0,1.0,21.776315789473685
7.9,5.0,3.7202150475476548,12.0,1.0,23.642857142857142
8.0,5.0,3.7202150475476548,12.0,1.0,24.70149253731343
8.1,6.68,4.531842892245934,14.0,1.0,29.553571428571427
8.2,6.72,4.5652601240236015,14.0,1.0,31.826923076923077
8.3,7.0,4.46318272088428,14.0,1.0,33.775510204081634
8.4,7.2,4.758150901348127,16.0,1.0,37.61363636363637
8.5,7.72,4.862262847687277,16.0,1.0,40.36585365853659
8.6,9.36,7.509354166637768,29.0,1.0,48.6764705882353
8.7,11.64,9.661801074333916,40.0,1.0,66.2
8.8,14.6,11.503043075638725,42.0,1.0,78.80952380952381
8.9,16.84,11.533186896950903,42.0,1.0,91.94444444444444
9.0,22.36,17.60654423786792,78.0,3.0,127.3076923076923
9.1,22.36,17.60654423786792,78.0,3.0,127.3076923076923
9.2,22.64,17.52913004116291,78.0,3.0,150.45454545454547
9.3,31.88,20.519883040602355,78.0,4.0,165.5
9.4,31.88,20.519883040602355,78.0,4.0,165.5
9.5,73.48,40.32876888773075,141.0,22.0,236.42857142857142
9.6,73.48,40.32876888773075,141.0,22.0,236.42857142857142
9.7,73.48,40.32876888773075,141.0,22.0,236.42857142857142
9.8,73.48,40.32876888773075,141.0,22.0,236.42857142857142
9.9,73.48,40.32876888773075,141.0,22.0,275.8333333333333
10.0,75.56,40.00007999992,145.0,26.0,331.0
10.1,76.2,40.00799920015996,146.0,27.0,551.6666666666666
10.2,76.2,40.00799920015996,146.0,27.0,551.6666666666666
10.3,76.2,40.00799920015996,146.0,27.0,551.6666666666666
10.4,76.2,40.00799920015996,146.0,27.0,551.6666666666666
10.5,76.2,40.00799920015996,146.0,27.0,551.6666666666666
10.6,100.08,37.12133618284773,156.0,37.0,827.5
10.7,100.08,37.12133618284773,156.0,37.0,827.5
10.8,100.08,37.12133618284773,156.0,37.0,827.5
10.9,100.08,37.12133618284773,156.0,37.0,827.5
11.0,100.08,37.12133618284773,156.0,37.0,827.5
11.100000000000001,100.08,37.12133618284773,156.0,37.0,827.5
11.2,100.08,37.12133618284773,156.0,37.0,827.5
11.221848749616356,100.08,37.12133618284773,156.0,37.0,827.5
