targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.28,0.5306599664568639,3.0,1.0,3.610526315789474
7.1,1.56,0.8522910301065005,4.0,1.0,4.341772151898734
7.2,1.8,0.9797958971132713,4.0,1.0,5.044117647058823
7.3,2.88,2.8045677028732965,15.0,1.0,7.297872340425532
7.4,3.48,3.336105513918887,18.0,1.0,9.8
7.5,3.56,3.4185376990754395,18.0,1.0,12.25
7.6,7.84,9.82112009905184,38.0,1.0,16.333333333333332
7.7,22.76,29.091964526308637,98.0,1.0,21.4375
7.8,22.76,29.091964526308637,98.0,1.0,22.866666666666667
7.9,30.68,38.774960992888175,108.0,1.0,26.384615384615383
8.0,30.68,38.774960992888175,108.0,1.0,31.181818181818183
8.1,30.68,38.774960992888175,108.0,1.0,38.111111111111114
8.2,30.68,38.774960992888175,108.0,1.0,38.111111111111114
8.3,32.48,37.7106032834268,108.0,1.0,49.0
8.4,32.48,37.7106032834268,108.0,1.0,49.0
8.5,32.48,37.7106032834268,108.0,1.0,49.0
8.6,32.48,37.7106032834268,108.0,1.0,49.0
8.7,32.48,37.7106032834268,108.0,1.0,49.0
8.8,32.48,37.7106032834268,108.0,1.0,49.0
8.9,32.48,37.7106032834268,108.0,1.0,49.0
9.0,32.48,37.7106032834268,108.0,1.0,49.0
9.1,32.48,37.7106032834268,108.0,1.0,49.0
9.2,32.48,37.7106032834268,108.0,1.0,49.0
9.3,32.48,37.7106032834268,108.0,1.0,49.0
9.4,32.48,37.7106032834268,108.0,1.0,49.0
9.5,32.48,37.7106032834268,108.0,1.0,57.166666666666664
9.6,32.48,37.7106032834268,108.0,1.0,68.6
9.7,35.08,35.88862772522795,108.0,11.0,85.75
9.8,35.08,35.88862772522795,108.0,11.0,85.75
9.9,35.08,35.88862772522795,108.0,11.0,114.33333333333333
10.0,35.08,35.88862772522795,108.0,11.0,114.33333333333333
10.070581074285707,35.08,35.88862772522795,108.0,11.0,171.5
