run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
744.0,339.0,267.0,232.0,585.0,726.0,350.0,361.0,782.0,872.0,223.0,796.0,456.0,944.0,415.0,894.0,844.0,284.0,515.0,720.0,477.0,383.0,414.0,270.0,609.0
728.0,248.0,1013.0,360.0,813.0,525.0,581.0,294.0,784.0,846.0,177.0,871.0,929.0,286.0,943.0,194.0,30.0,685.0,599.0,790.0,320.0,764.0,246.0,463.0,753.0
927.0,663.0,728.0,180.0,837.0,445.0,997.0,134.0,300.0,39.0,339.0,629.0,506.0,204.0,932.0,719.0,975.0,1019.0,308.0,445.0,522.0,126.0,134.0,660.0,922.0
914.0,310.0,645.0,1010.0,787.0,587.0,992.0,962.0,893.0,563.0,567.0,104.0,920.0,291.0,917.0,489.0,653.0,392.0,38.0,921.0,528.0,499.0,689.0,206.0,513.0
496.0,85.0,812.0,301.0,112.0,731.0,592.0,164.0,409.0,784.0,582.0,658.0,425.0,882.0,1023.0,525.0,319.0,428.0,455.0,1027.0,925.0,765.0,913.0,213.0,636.0
27.0,1004.0,944.0,833.0,244.0,894.0,725.0,228.0,768.0,271.0,835.0,954.0,578.0,304.0,411.0,206.0,327.0,362.0,858.0,451.0,633.0,958.0,734.0,454.0,732.0
31.0,1038.0,946.0,27.0,358.0,437.0,915.0,970.0,898.0,330.0,285.0,183.0,274.0,296.0,524.0,526.0,904.0,190.0,622.0,262.0,514.0,438.0,119.0,399.0,264.0
553.0,592.0,763.0,416.0,1045.0,839.0,860.0,669.0,871.0,139.0,592.0,667.0,789.0,819.0,442.0,142.0,1027.0,880.0,23.0,821.0,428.0,648.0,363.0,158.0,307.0
683.0,329.0,1036.0,328.0,472.0,480.0,864.0,54.0,9.0,368.0,664.0,255.0,1019.0,541.0,80.0,926.0,315.0,769.0,262.0,539.0,337.0,346.0,880.0,866.0,536.0
495.0,1036.0,143.0,509.0,835.0,219.0,938.0,471.0,825.0,795.0,64.0,655.0,965.0,633.0,210.0,126.0,817.0,961.0,212.0,883.0,62.0,44.0,821.0,837.0,422.0
554.0,792.0,799.0,887.0,683.0,833.0,1003.0,129.0,694.0,772.0,433.0,554.0,458.0,1004.0,469.0,1017.0,555.0,446.0,32.0,833.0,517.0,942.0,928.0,312.0,324.0
434.0,250.0,636.0,104.0,105.0,135.0,800.0,682.0,675.0,35.0,287.0,289.0,26.0,501.0,621.0,403.0,449.0,883.0,183.0,341.0,754.0,127.0,43.0,1004.0,292.0
556.0,573.0,324.0,754.0,754.0,775.0,906.0,783.0,1.0,433.0,35.0,290.0,1005.0,928.0,135.0,982.0,344.0,102.0,248.0,621.0,981.0,320.0,465.0,402.0,293.0
220.0,530.0,994.0,220.0,801.0,797.0,982.0,927.0,353.0,582.0,1002.0,993.0,804.0,810.0,797.0,981.0,445.0,312.0,605.0,1000.0,801.0,106.0,460.0,446.0,909.0
400.0,1037.0,1002.0,130.0,517.0,581.0,556.0,928.0,497.0,287.0,34.0,460.0,885.0,909.0,401.0,801.0,341.0,638.0,233.0,584.0,982.0,886.0,883.0,883.0,501.0
682.0,681.0,461.0,465.0,378.0,401.0,403.0,400.0,592.0,994.0,236.0,465.0,950.0,293.0,1000.0,556.0,887.0,831.0,300.0,462.0,556.0,983.0,993.0,102.0,453.0
129.0,33.0,449.0,434.0,514.0,236.0,981.0,434.0,242.0,1002.0,798.0,102.0,399.0,402.0,462.0,514.0,104.0,289.0,694.0,42.0,403.0,441.0,102.0,460.0,810.0
783.0,338.0,221.0,982.0,434.0,287.0,514.0,1004.0,32.0,835.0,1000.0,43.0,934.0,292.0,994.0,1003.0,833.0,460.0,170.0,401.0,906.0,472.0,580.0,993.0,291.0
928.0,217.0,344.0,981.0,908.0,341.0,754.0,982.0,649.0,1000.0,135.0,883.0,468.0,453.0,584.0,754.0,220.0,43.0,165.0,449.0,1003.0,473.0,130.0,43.0,436.0
1003.0,373.0,291.0,927.0,130.0,798.0,927.0,556.0,47.0,236.0,462.0,985.0,466.0,803.0,42.0,906.0,994.0,465.0,646.0,104.0,800.0,577.0,446.0,465.0,440.0
981.0,1041.0,909.0,803.0,803.0,1002.0,400.0,514.0,170.0,798.0,621.0,119.0,984.0,219.0,928.0,800.0,754.0,993.0,676.0,887.0,927.0,516.0,638.0,580.0,105.0
1004.0,1006.0,501.0,400.0,219.0,462.0,434.0,981.0,646.0,462.0,581.0,130.0,452.0,223.0,445.0,517.0,1002.0,580.0,592.0,554.0,400.0,933.0,215.0,215.0,799.0
982.0,822.0,453.0,553.0,223.0,887.0,682.0,403.0,165.0,584.0,130.0,682.0,940.0,119.0,803.0,375.0,400.0,999.0,702.0,637.0,682.0,459.0,974.0,974.0,465.0
403.0,402.0,293.0,513.0,832.0,104.0,928.0,130.0,524.0,42.0,832.0,400.0,467.0,832.0,219.0,927.0,927.0,985.0,666.0,553.0,129.0,371.0,223.0,130.0,883.0
513.0,682.0,810.0,554.0,376.0,621.0,783.0,1003.0,587.0,135.0,119.0,927.0,294.0,130.0,833.0,400.0,682.0,974.0,242.0,832.0,783.0,978.0,637.0,832.0,223.0
906.0,783.0,292.0,994.0,119.0,1000.0,129.0,906.0,676.0,401.0,803.0,783.0,1049.0,376.0,904.0,682.0,982.0,215.0,649.0,992.0,928.0,979.0,1004.0,223.0,222.0
1002.0,400.0,436.0,119.0,1004.0,584.0,1004.0,220.0,696.0,621.0,434.0,129.0,218.0,514.0,130.0,434.0,129.0,130.0,28.0,223.0,434.0,452.0,999.0,999.0,1002.0
800.0,927.0,105.0,445.0,928.0,42.0,803.0,800.0,185.0,581.0,783.0,434.0,811.0,401.0,832.0,783.0,783.0,928.0,204.0,400.0,554.0,457.0,312.0,376.0,43.0
119.0,928.0,220.0,832.0,637.0,554.0,223.0,119.0,564.0,832.0,906.0,887.0,132.0,462.0,783.0,928.0,981.0,119.0,47.0,927.0,220.0,934.0,458.0,803.0,460.0
130.0,223.0,104.0,682.0,129.0,553.0,219.0,832.0,186.0,119.0,129.0,1004.0,380.0,797.0,223.0,1004.0,434.0,223.0,203.0,682.0,553.0,451.0,26.0,219.0,993.0
832.0,130.0,887.0,129.0,783.0,513.0,832.0,803.0,523.0,223.0,219.0,803.0,913.0,906.0,456.0,129.0,1003.0,775.0,93.0,129.0,992.0,368.0,804.0,119.0,102.0
376.0,236.0,927.0,783.0,992.0,1003.0,236.0,219.0,184.0,803.0,1004.0,223.0,931.0,379.0,288.0,130.0,554.0,621.0,90.0,928.0,1004.0,207.0,1005.0,783.0,446.0
803.0,129.0,554.0,401.0,682.0,906.0,797.0,223.0,521.0,130.0,401.0,1002.0,966.0,434.0,154.0,220.0,928.0,1000.0,741.0,783.0,803.0,288.0,1019.0,129.0,289.0
104.0,798.0,982.0,223.0,400.0,216.0,130.0,1002.0,48.0,1004.0,982.0,981.0,981.0,982.0,,554.0,553.0,287.0,481.0,981.0,832.0,218.0,950.0,682.0,312.0
887.0,584.0,981.0,1003.0,927.0,832.0,119.0,376.0,522.0,928.0,556.0,982.0,500.0,403.0,,104.0,556.0,1002.0,29.0,982.0,104.0,466.0,399.0,400.0,580.0
223.0,35.0,556.0,906.0,236.0,514.0,798.0,554.0,198.0,219.0,403.0,832.0,579.0,981.0,,803.0,992.0,401.0,171.0,556.0,887.0,468.0,513.0,434.0,215.0
215.0,434.0,553.0,43.0,797.0,927.0,554.0,553.0,160.0,312.0,42.0,553.0,557.0,556.0,,553.0,832.0,832.0,196.0,754.0,223.0,467.0,832.0,928.0,831.0
