targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.2,0.4898979485566356,3.0,1.0,1.3639896373056994
7.1,1.2,0.4898979485566356,3.0,1.0,1.4307065217391304
7.2,1.2,0.4898979485566356,3.0,1.0,1.4957386363636365
7.3,1.24,0.5122499389946279,3.0,1.0,1.5834586466165415
7.4,1.28,0.530659966456864,3.0,1.0,1.714983713355049
7.5,1.32,0.5455272678794343,3.0,1.0,1.7938671209540034
7.6,1.36,0.5571355310873648,3.0,1.0,1.8803571428571428
7.7,1.4,0.5656854249492381,3.0,1.0,2.0172413793103448
7.8,1.4,0.5656854249492381,3.0,1.0,2.1272727272727274
7.9,1.4,0.5656854249492381,3.0,1.0,2.2452025586353943
8.0,1.56,0.7525955088890709,4.0,1.0,2.3609865470852016
8.1,1.72,0.9173875952943771,4.0,1.0,2.713917525773196
8.2,1.72,0.9173875952943771,4.0,1.0,2.9008264462809916
8.3,1.76,0.9068627239003709,4.0,1.0,3.24
8.4,1.84,0.9243376006633076,4.0,1.0,4.11328125
8.5,1.84,0.9243376006633076,4.0,1.0,4.245967741935484
8.6,2.4,2.209072203437452,12.0,1.0,5.086956521739131
8.7,2.48,2.4019991673603887,13.0,1.0,6.622641509433962
8.8,3.12,2.9842251925751175,15.0,1.0,8.2265625
8.9,3.92,4.127178212774438,18.0,1.0,11.571428571428571
9.0,6.44,4.996638870280701,18.0,1.0,16.983870967741936
9.1,9.44,6.945962856220872,26.0,1.0,36.310344827586206
9.2,14.4,6.864400920692205,35.0,3.0,70.2
9.3,24.8,11.956588142108101,55.0,7.0,131.625
9.4,125.76,34.09900878324765,185.0,13.0,263.25
9.5,127.24,35.418955377029405,185.0,13.0,351.0
9.6,127.24,35.418955377029405,185.0,13.0,526.5
9.7,127.24,35.418955377029405,185.0,13.0,526.5
9.8,127.24,35.418955377029405,185.0,13.0,526.5
9.9,127.24,35.418955377029405,185.0,13.0,526.5
10.0,127.24,35.418955377029405,185.0,13.0,526.5
10.0,127.24,35.418955377029405,185.0,13.0,526.5
