targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,36.88,30.98040671133935,111.0,1.0,79.1
7.1,36.88,30.98040671133935,111.0,1.0,79.1
7.2,36.92,31.07657638801289,112.0,1.0,87.88888888888889
7.3,36.92,31.07657638801289,112.0,1.0,87.88888888888889
7.4,36.92,31.07657638801289,112.0,1.0,87.88888888888889
7.5,36.96,31.17368120706953,113.0,1.0,98.875
7.6,36.96,31.17368120706953,113.0,1.0,98.875
7.7,36.96,31.17368120706953,113.0,1.0,98.875
7.8,37.0,31.198717922376233,113.0,1.0,113.0
7.9,37.0,31.198717922376233,113.0,1.0,113.0
8.0,39.08,30.8219661929605,116.0,11.0,197.75
8.1,39.08,30.8219661929605,116.0,11.0,197.75
8.2,39.08,30.8219661929605,116.0,11.0,197.75
8.3,39.08,30.8219661929605,116.0,11.0,197.75
8.4,61.6,35.234074416677956,130.0,12.0,263.6666666666667
8.5,61.6,35.234074416677956,130.0,12.0,263.6666666666667
8.6,65.28,37.33043798296505,130.0,17.0,395.5
8.7,65.28,37.33043798296505,130.0,17.0,395.5
8.8,65.28,37.33043798296505,130.0,17.0,395.5
8.9,65.28,37.33043798296505,130.0,17.0,395.5
9.0,65.28,37.33043798296505,130.0,17.0,395.5
9.1,65.28,37.33043798296505,130.0,17.0,395.5
9.2,65.28,37.33043798296505,130.0,17.0,395.5
9.3,65.28,37.33043798296505,130.0,17.0,395.5
9.327902142064282,65.28,37.33043798296505,130.0,17.0,395.5
