targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.28,0.5306599664568641,3.0,1.0,1.787321063394683
7.1,1.28,0.5306599664568641,3.0,1.0,1.8876889848812095
7.2,1.4,0.7483314773547883,4.0,1.0,2.013824884792627
7.3,1.4,0.7483314773547883,4.0,1.0,2.1474201474201475
7.4,1.4,0.7483314773547883,4.0,1.0,2.3060686015831133
7.5,1.4,0.7483314773547883,4.0,1.0,2.4829545454545454
7.6,1.48,0.8541662601625047,4.0,1.0,2.6809815950920246
7.7,2.12,2.0262280227062304,10.0,1.0,2.9829351535836177
7.8,2.4,2.209072203437452,10.0,1.0,3.32319391634981
7.9,3.32,3.331306050185122,14.0,1.0,3.581967213114754
8.0,4.12,3.9224482150820035,14.0,1.0,3.9547511312217196
8.1,4.2,3.898717737923586,14.0,1.0,5.141176470588236
8.2,4.8,4.242640687119285,15.0,1.0,5.75
8.3,5.68,4.880327857839061,17.0,1.0,6.67175572519084
8.4,6.36,5.113746180639003,17.0,1.0,8.16822429906542
8.5,7.52,7.5637027969110475,31.0,1.0,8.918367346938776
8.6,9.2,8.87693640846886,31.0,1.0,11.653333333333334
8.7,13.52,14.210193524368343,49.0,1.0,15.607142857142858
8.8,14.32,13.924711846210677,49.0,1.0,18.595744680851062
8.9,19.08,14.082386161442953,49.0,1.0,23.62162162162162
9.0,19.28,14.301104852423116,49.0,1.0,27.3125
9.1,23.84,16.227581458738698,73.0,1.0,39.72727272727273
9.2,32.6,23.523605165875406,100.0,1.0,51.411764705882355
9.3,36.44,23.30335598148902,100.0,9.0,58.266666666666666
9.4,52.0,24.883729623993265,100.0,9.0,124.85714285714286
9.5,52.0,24.883729623993265,100.0,9.0,124.85714285714286
9.6,53.72,24.828241983676573,104.0,9.0,218.5
9.7,110.8,33.760331751924475,171.0,16.0,437.0
9.8,110.8,33.760331751924475,171.0,16.0,437.0
9.9,110.8,33.760331751924475,171.0,16.0,437.0
10.0,110.8,33.760331751924475,171.0,16.0,437.0
10.1,110.8,33.760331751924475,171.0,16.0,437.0
10.2,110.8,33.760331751924475,171.0,16.0,437.0
10.3,110.8,33.760331751924475,171.0,16.0,437.0
10.4,110.8,33.760331751924475,171.0,16.0,437.0
10.5,110.8,33.760331751924475,171.0,16.0,437.0
10.6,110.8,33.760331751924475,171.0,16.0,437.0
10.7,110.8,33.760331751924475,171.0,16.0,437.0
10.8,110.8,33.760331751924475,171.0,16.0,437.0
10.9,110.8,33.760331751924475,171.0,16.0,437.0
11.0,110.8,33.760331751924475,171.0,16.0,437.0
11.0,110.8,33.760331751924475,171.0,16.0,437.0
