targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.4,2.842534080710379,13.0,1.0,3.610526315789474
7.1,4.16,3.3428131865241886,13.0,1.0,4.341772151898734
7.2,4.6,3.730951621235526,16.0,1.0,5.044117647058823
7.3,5.88,4.860617244754003,16.0,1.0,7.297872340425532
7.4,6.68,6.031384583990644,21.0,1.0,9.8
7.5,8.56,6.818093575186543,21.0,1.0,12.25
7.6,14.08,13.711075814829412,43.0,1.0,16.333333333333332
7.7,32.44,29.871832886517026,102.0,1.0,21.4375
7.8,32.44,29.871832886517026,102.0,1.0,22.866666666666667
7.9,35.36,31.152373906333366,110.0,1.0,26.384615384615383
8.0,38.12,29.63824556211113,110.0,1.0,31.181818181818183
8.1,42.2,28.508244421570403,110.0,1.0,38.111111111111114
8.2,42.2,28.508244421570403,110.0,1.0,38.111111111111114
8.3,48.12,28.369448355581397,110.0,1.0,49.0
8.4,48.12,28.369448355581397,110.0,1.0,49.0
8.5,48.12,28.369448355581397,110.0,1.0,49.0
8.6,48.12,28.369448355581397,110.0,1.0,49.0
8.7,48.12,28.369448355581397,110.0,1.0,49.0
8.8,48.12,28.369448355581397,110.0,1.0,49.0
8.9,48.12,28.369448355581397,110.0,1.0,49.0
9.0,48.12,28.369448355581397,110.0,1.0,49.0
9.1,48.12,28.369448355581397,110.0,1.0,49.0
9.2,48.12,28.369448355581397,110.0,1.0,49.0
9.3,48.12,28.369448355581397,110.0,1.0,49.0
9.4,48.12,28.369448355581397,110.0,1.0,49.0
9.5,48.12,28.369448355581397,110.0,1.0,57.166666666666664
9.6,48.2,28.302650052601084,110.0,2.0,68.6
9.7,48.76,28.360930873298216,111.0,2.0,85.75
9.8,48.76,28.360930873298216,111.0,2.0,85.75
9.9,54.0,25.332982453710418,111.0,12.0,114.33333333333333
10.0,54.0,25.332982453710418,111.0,12.0,114.33333333333333
10.070581074285707,54.0,25.332982453710418,111.0,12.0,171.5
