targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.12,2.3206895526976457,8.0,1.0,3.610526315789474
7.1,5.68,3.0947697814215513,12.0,1.0,4.341772151898734
7.2,5.68,3.0947697814215513,12.0,1.0,5.044117647058823
7.3,6.64,3.508617961534143,13.0,1.0,7.297872340425532
7.4,7.64,4.815641182646398,19.0,1.0,9.8
7.5,8.52,4.850731903537857,19.0,1.0,12.25
7.6,9.92,6.0127863757163365,24.0,1.0,16.333333333333332
7.7,17.24,14.87892469232908,50.0,1.0,21.4375
7.8,17.24,14.87892469232908,50.0,1.0,22.866666666666667
7.9,22.24,19.296175786927314,59.0,1.0,26.384615384615383
8.0,22.68,19.008882134412847,59.0,1.0,31.181818181818183
8.1,22.88,18.906760695581887,59.0,2.0,38.111111111111114
8.2,22.88,18.906760695581887,59.0,2.0,38.111111111111114
8.3,28.6,20.2405533521196,61.0,2.0,49.0
8.4,28.6,20.2405533521196,61.0,2.0,49.0
8.5,28.6,20.2405533521196,61.0,2.0,49.0
8.6,28.6,20.2405533521196,61.0,2.0,49.0
8.7,28.6,20.2405533521196,61.0,2.0,49.0
8.8,28.6,20.2405533521196,61.0,2.0,49.0
8.9,28.6,20.2405533521196,61.0,2.0,49.0
9.0,28.6,20.2405533521196,61.0,2.0,49.0
9.1,28.6,20.2405533521196,61.0,2.0,49.0
9.2,28.6,20.2405533521196,61.0,2.0,49.0
9.3,28.6,20.2405533521196,61.0,2.0,49.0
9.4,28.6,20.2405533521196,61.0,2.0,49.0
9.5,28.6,20.2405533521196,61.0,2.0,57.166666666666664
9.6,28.6,20.2405533521196,61.0,2.0,68.6
9.7,30.88,18.1070593968209,62.0,9.0,85.75
9.8,30.88,18.1070593968209,62.0,9.0,85.75
9.9,32.72,18.12737156898374,62.0,11.0,114.33333333333333
10.0,32.72,18.12737156898374,62.0,11.0,114.33333333333333
10.070581074285707,32.72,18.12737156898374,62.0,11.0,171.5
