targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,2.44,2.099142682144308,11.0,1.0,2.426448736998514
7.1,2.44,2.099142682144308,11.0,1.0,2.504601226993865
7.2,2.44,2.099142682144308,11.0,1.0,2.5595611285266457
7.3,2.72,2.569357896440276,11.0,1.0,2.6338709677419354
7.4,2.84,2.556247249387273,11.0,1.0,2.7216666666666667
7.5,3.0,2.6229754097208002,11.0,1.0,2.8010291595197256
7.6,3.36,2.8125433329995118,11.0,1.0,2.880070546737213
7.7,3.36,2.8125433329995118,11.0,1.0,2.9744990892531877
7.8,3.44,2.801142624001855,11.0,1.0,3.128352490421456
7.9,3.64,2.9917219122104255,11.0,1.0,3.2923387096774195
8.0,3.64,2.9917219122104255,11.0,1.0,3.4597457627118646
8.1,3.92,3.018873962258113,11.0,1.0,3.8605200945626477
8.2,4.2,3.40587727318528,13.0,1.0,4.176470588235294
8.3,5.44,5.636168911592341,26.0,1.0,4.511049723756906
8.4,5.44,5.636168911592341,26.0,1.0,5.071428571428571
8.5,5.84,5.604855038268162,26.0,1.0,5.371710526315789
8.6,6.48,5.72796648034885,26.0,1.0,6.0036764705882355
8.7,6.76,5.846571644989909,26.0,1.0,7.595348837209302
8.8,7.32,5.690131808666649,26.0,1.0,8.732620320855615
8.9,8.8,6.523802572120037,26.0,1.0,10.467948717948717
9.0,9.88,7.839999999999999,32.0,1.0,11.748201438848922
9.1,13.04,10.219510751498822,36.0,1.0,16.663265306122447
9.2,22.52,26.044761469439493,97.0,1.0,21.486842105263158
9.3,27.32,26.07177784501855,105.0,1.0,29.69090909090909
9.4,45.36,45.226434747833046,197.0,1.0,37.97674418604651
9.5,60.72,48.0245936994786,197.0,1.0,41.87179487179487
9.6,73.52,66.01340469934875,274.0,1.0,51.03125
9.7,145.16,123.11545150792405,469.0,1.0,77.76190476190476
9.8,146.68,122.08020969837823,469.0,1.0,108.86666666666666
9.9,154.32,125.1606072212819,484.0,15.0,272.1666666666667
10.0,155.4,125.64839831848236,492.0,16.0,326.6
10.096910013008056,176.96,131.2132554279483,492.0,16.0,816.5
