run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
461.0,572.0,1486.0,485.0,158.0,591.0,24.0,474.0,1245.0,1478.0,810.0,70.0,1137.0,1322.0,148.0,683.0,1235.0,1156.0,726.0,1414.0,1106.0,1419.0,329.0,810.0,821.0
1126.0,983.0,1396.0,16.0,661.0,1103.0,892.0,185.0,978.0,346.0,722.0,647.0,314.0,1355.0,659.0,920.0,90.0,839.0,417.0,759.0,698.0,890.0,1438.0,87.0,143.0
34.0,782.0,1497.0,578.0,880.0,1310.0,1394.0,43.0,1294.0,160.0,1235.0,616.0,922.0,1178.0,199.0,103.0,58.0,878.0,316.0,1350.0,669.0,230.0,750.0,1328.0,936.0
491.0,536.0,387.0,140.0,534.0,1415.0,436.0,1044.0,529.0,281.0,97.0,1038.0,1220.0,1384.0,1019.0,350.0,588.0,734.0,1049.0,1173.0,631.0,41.0,338.0,1483.0,292.0
9.0,1143.0,457.0,854.0,649.0,269.0,754.0,60.0,243.0,557.0,1445.0,363.0,897.0,5.0,3.0,497.0,1267.0,1403.0,926.0,1460.0,1114.0,1193.0,95.0,25.0,1468.0
982.0,309.0,1137.0,1370.0,406.0,805.0,1458.0,915.0,117.0,970.0,143.0,751.0,610.0,656.0,869.0,218.0,1075.0,865.0,129.0,299.0,496.0,542.0,120.0,1137.0,627.0
425.0,1364.0,653.0,1187.0,759.0,663.0,988.0,530.0,337.0,289.0,668.0,430.0,1390.0,501.0,754.0,1085.0,1394.0,216.0,1206.0,851.0,1175.0,944.0,623.0,559.0,727.0
1379.0,248.0,1216.0,194.0,571.0,988.0,1139.0,409.0,1063.0,669.0,348.0,773.0,639.0,435.0,1364.0,504.0,873.0,1199.0,1292.0,1205.0,1255.0,1015.0,250.0,1345.0,1431.0
315.0,181.0,1344.0,1451.0,1200.0,857.0,847.0,707.0,421.0,1432.0,1339.0,1117.0,1229.0,877.0,1126.0,44.0,106.0,358.0,1468.0,466.0,877.0,131.0,1384.0,686.0,937.0
303.0,91.0,14.0,1385.0,401.0,978.0,571.0,363.0,427.0,1397.0,1472.0,828.0,10.0,306.0,1276.0,735.0,890.0,958.0,832.0,1250.0,130.0,1199.0,882.0,736.0,307.0
1155.0,856.0,1109.0,1254.0,1260.0,718.0,1116.0,1005.0,460.0,133.0,127.0,862.0,576.0,906.0,555.0,879.0,820.0,1016.0,930.0,750.0,859.0,1481.0,47.0,1460.0,353.0
696.0,83.0,1219.0,867.0,914.0,1497.0,1227.0,460.0,628.0,679.0,790.0,464.0,679.0,1451.0,1054.0,235.0,131.0,1095.0,693.0,1303.0,1442.0,650.0,1039.0,1373.0,469.0
233.0,1321.0,776.0,643.0,333.0,447.0,822.0,709.0,65.0,295.0,919.0,1110.0,462.0,848.0,347.0,1309.0,44.0,1098.0,959.0,1383.0,1315.0,1314.0,1317.0,1077.0,535.0
1385.0,1380.0,577.0,945.0,665.0,345.0,318.0,261.0,1090.0,1459.0,1071.0,929.0,501.0,255.0,368.0,285.0,1050.0,321.0,690.0,629.0,1200.0,107.0,485.0,1337.0,1446.0
1357.0,442.0,1048.0,1004.0,1218.0,1205.0,1381.0,94.0,961.0,769.0,393.0,1231.0,757.0,984.0,471.0,817.0,526.0,1104.0,390.0,1218.0,460.0,1415.0,331.0,543.0,174.0
1378.0,810.0,869.0,1473.0,385.0,529.0,1269.0,1206.0,974.0,52.0,519.0,1104.0,272.0,19.0,1034.0,107.0,930.0,1062.0,762.0,1378.0,1481.0,1007.0,612.0,187.0,684.0
440.0,1018.0,563.0,1066.0,423.0,680.0,1321.0,1288.0,3.0,476.0,751.0,1455.0,509.0,682.0,1496.0,398.0,408.0,1117.0,73.0,26.0,888.0,34.0,1250.0,1148.0,644.0
