run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1050.0,572.0,688.0,1201.0,336.0,665.0,1135.0,1392.0,789.0,590.0,131.0,1268.0,412.0,1001.0,292.0,194.0,1152.0,1124.0,69.0,1418.0,884.0,932.0,470.0,1063.0,736.0
1441.0,984.0,665.0,16.0,1011.0,1086.0,826.0,185.0,337.0,1155.0,822.0,794.0,331.0,440.0,568.0,1037.0,1292.0,878.0,933.0,763.0,883.0,815.0,114.0,1500.0,143.0
1159.0,1013.0,1429.0,1091.0,1255.0,334.0,1146.0,43.0,640.0,160.0,1055.0,164.0,59.0,1117.0,1258.0,405.0,790.0,341.0,74.0,828.0,833.0,689.0,225.0,535.0,939.0
828.0,536.0,663.0,783.0,139.0,253.0,706.0,1038.0,103.0,663.0,332.0,246.0,1478.0,5.0,119.0,1482.0,1319.0,590.0,1316.0,762.0,1104.0,846.0,57.0,859.0,292.0
279.0,1145.0,651.0,1144.0,1109.0,1484.0,1353.0,60.0,982.0,335.0,153.0,816.0,562.0,596.0,3.0,146.0,568.0,657.0,1026.0,1465.0,1498.0,554.0,40.0,1112.0,1473.0
1433.0,309.0,263.0,1053.0,1285.0,636.0,1133.0,1508.0,261.0,1332.0,799.0,1021.0,75.0,939.0,1160.0,661.0,1479.0,150.0,54.0,299.0,344.0,893.0,398.0,1436.0,953.0
303.0,1369.0,1153.0,402.0,637.0,599.0,245.0,531.0,860.0,478.0,827.0,127.0,27.0,1313.0,199.0,1381.0,832.0,1211.0,2.0,572.0,1100.0,237.0,863.0,790.0,1140.0
9.0,248.0,465.0,637.0,468.0,947.0,1336.0,409.0,966.0,255.0,589.0,961.0,10.0,441.0,1497.0,920.0,427.0,383.0,1004.0,1207.0,173.0,894.0,122.0,1332.0,1404.0
53.0,181.0,845.0,893.0,1344.0,871.0,1155.0,1167.0,122.0,910.0,1449.0,736.0,1390.0,1055.0,451.0,1497.0,1177.0,1110.0,1496.0,466.0,1283.0,816.0,802.0,260.0,1117.0
34.0,91.0,268.0,1374.0,841.0,544.0,1473.0,363.0,1273.0,1081.0,1219.0,968.0,1213.0,603.0,1280.0,788.0,1324.0,167.0,1513.0,1254.0,348.0,1008.0,1465.0,461.0,830.0
7.0,1457.0,1427.0,780.0,923.0,868.0,106.0,1440.0,224.0,311.0,259.0,1358.0,1341.0,1009.0,66.0,1263.0,340.0,813.0,885.0,1440.0,1446.0,657.0,1206.0,399.0,1356.0
299.0,792.0,1215.0,782.0,342.0,340.0,984.0,828.0,812.0,996.0,815.0,986.0,1322.0,264.0,65.0,658.0,599.0,1321.0,1350.0,1038.0,1442.0,152.0,1487.0,1480.0,1424.0
458.0,599.0,1426.0,479.0,774.0,1324.0,49.0,721.0,734.0,302.0,339.0,1240.0,1196.0,1383.0,1196.0,384.0,1435.0,1476.0,1347.0,721.0,359.0,598.0,1490.0,1486.0,1426.0
459.0,868.0,1424.0,348.0,475.0,1435.0,80.0,843.0,790.0,355.0,381.0,54.0,715.0,373.0,1213.0,659.0,868.0,1477.0,371.0,843.0,1447.0,144.0,1233.0,1489.0,1427.0
521.0,1504.0,1473.0,478.0,81.0,1457.0,462.0,1335.0,733.0,303.0,1086.0,203.0,1340.0,130.0,145.0,647.0,1457.0,1365.0,1433.0,1335.0,674.0,72.0,1205.0,397.0,1215.0
916.0,1460.0,1356.0,749.0,977.0,248.0,74.0,1334.0,781.0,871.0,75.0,195.0,145.0,653.0,1341.0,385.0,248.0,1506.0,433.0,1334.0,1460.0,867.0,397.0,1498.0,1228.0
1251.0,884.0,1228.0,811.0,376.0,792.0,712.0,1330.0,480.0,1329.0,1297.0,976.0,712.0,110.0,1322.0,829.0,792.0,1479.0,1304.0,1330.0,1504.0,836.0,1489.0,1506.0,1355.0
320.0,1446.0,1355.0,732.0,685.0,1504.0,1338.0,1037.0,223.0,1231.0,1007.0,684.0,713.0,283.0,715.0,83.0,1504.0,1488.0,219.0,1037.0,1239.0,586.0,1498.0,1233.0,1425.0
1258.0,1442.0,1425.0,798.0,507.0,1460.0,10.0,844.0,534.0,475.0,802.0,202.0,805.0,1286.0,1340.0,98.0,1460.0,1486.0,1214.0,844.0,1082.0,1332.0,1486.0,1479.0,1429.0
690.0,359.0,209.0,315.0,941.0,884.0,145.0,1331.0,1351.0,195.0,379.0,204.0,49.0,915.0,712.0,99.0,884.0,1489.0,220.0,1331.0,388.0,580.0,1500.0,1206.0,209.0
394.0,1447.0,168.0,1071.0,1231.0,1446.0,713.0,900.0,148.0,81.0,407.0,475.0,79.0,341.0,713.0,990.0,1446.0,1205.0,,900.0,865.0,452.0,399.0,1488.0,168.0
25.0,674.0,403.0,812.0,195.0,1442.0,715.0,1336.0,479.0,977.0,1022.0,81.0,462.0,9.0,805.0,1162.0,1442.0,399.0,,1336.0,1043.0,708.0,1480.0,398.0,403.0
597.0,1239.0,379.0,751.0,985.0,359.0,805.0,1439.0,751.0,376.0,400.0,977.0,1338.0,936.0,49.0,84.0,359.0,1500.0,,1439.0,639.0,1241.0,1479.0,1487.0,379.0
991.0,1082.0,407.0,15.0,206.0,1447.0,1196.0,258.0,1451.0,685.0,634.0,376.0,140.0,176.0,79.0,294.0,1447.0,1480.0,,258.0,1069.0,1118.0,1488.0,1490.0,407.0
412.0,388.0,1022.0,1451.0,202.0,674.0,1213.0,1036.0,1154.0,507.0,1113.0,685.0,756.0,313.0,462.0,421.0,674.0,397.0,,1036.0,700.0,158.0,1506.0,1205.0,1022.0
968.0,865.0,1039.0,1154.0,204.0,1239.0,1341.0,803.0,300.0,941.0,455.0,507.0,243.0,312.0,10.0,729.0,1239.0,1498.0,,803.0,866.0,768.0,1484.0,1484.0,1039.0
1137.0,1043.0,936.0,300.0,252.0,1082.0,1322.0,304.0,186.0,985.0,476.0,941.0,1198.0,1401.0,1338.0,1265.0,1082.0,1206.0,,304.0,198.0,1394.0,409.0,560.0,936.0
229.0,639.0,1253.0,857.0,976.0,388.0,1340.0,1434.0,973.0,774.0,663.0,1231.0,1046.0,1051.0,140.0,247.0,388.0,1233.0,,1434.0,396.0,321.0,560.0,409.0,1253.0
758.0,1069.0,895.0,344.0,684.0,865.0,79.0,923.0,1445.0,923.0,506.0,985.0,1339.0,1491.0,756.0,1027.0,865.0,1490.0,,923.0,1427.0,571.0,865.0,1079.0,895.0
1217.0,700.0,850.0,345.0,1329.0,1043.0,140.0,1344.0,723.0,206.0,1238.0,774.0,80.0,1481.0,243.0,386.0,1043.0,398.0,,1344.0,506.0,500.0,674.0,1120.0,850.0
472.0,866.0,560.0,735.0,901.0,639.0,756.0,342.0,1348.0,202.0,129.0,923.0,755.0,1483.0,1198.0,104.0,639.0,1487.0,,342.0,853.0,474.0,359.0,866.0,560.0
1271.0,198.0,674.0,862.0,147.0,1069.0,243.0,774.0,972.0,204.0,328.0,206.0,106.0,1485.0,1046.0,1264.0,1069.0,1484.0,,774.0,1333.0,239.0,866.0,396.0,674.0
555.0,396.0,865.0,1423.0,205.0,700.0,1198.0,475.0,1452.0,252.0,819.0,252.0,1199.0,1365.0,1339.0,1273.0,700.0,560.0,,475.0,454.0,569.0,853.0,884.0,865.0
869.0,1427.0,359.0,186.0,1434.0,866.0,1046.0,81.0,1353.0,342.0,527.0,342.0,74.0,1226.0,80.0,981.0,866.0,1079.0,,81.0,641.0,1477.0,396.0,674.0,359.0
212.0,506.0,866.0,1070.0,871.0,198.0,1339.0,977.0,1368.0,1344.0,236.0,1344.0,1438.0,826.0,755.0,611.0,198.0,1120.0,,977.0,1099.0,1228.0,540.0,865.0,866.0
263.0,853.0,853.0,1392.0,1184.0,396.0,755.0,376.0,993.0,976.0,338.0,1329.0,105.0,1476.0,106.0,618.0,396.0,409.0,,376.0,379.0,582.0,1447.0,359.0,853.0
656.0,1333.0,396.0,1452.0,303.0,1427.0,1199.0,685.0,1453.0,684.0,1512.0,901.0,141.0,526.0,1199.0,411.0,1427.0,866.0,,685.0,407.0,589.0,884.0,853.0,396.0
992.0,454.0,540.0,225.0,255.0,506.0,1438.0,507.0,1428.0,901.0,1505.0,147.0,1382.0,1298.0,74.0,293.0,506.0,396.0,,507.0,1005.0,1344.0,1442.0,540.0,540.0
1157.0,641.0,1447.0,1393.0,304.0,853.0,105.0,941.0,15.0,147.0,12.0,205.0,1392.0,940.0,1438.0,1465.0,853.0,884.0,,941.0,1022.0,175.0,1446.0,1447.0,1447.0
1195.0,1099.0,884.0,973.0,1036.0,1333.0,141.0,1231.0,348.0,205.0,1513.0,1434.0,862.0,853.0,105.0,552.0,1333.0,674.0,,1231.0,590.0,8.0,1460.0,1442.0,884.0
30.0,379.0,1442.0,346.0,943.0,454.0,1382.0,195.0,478.0,1434.0,1376.0,871.0,1423.0,396.0,141.0,1335.0,454.0,865.0,,195.0,339.0,606.0,1504.0,1446.0,1442.0
1124.0,407.0,1446.0,1046.0,803.0,641.0,1392.0,985.0,811.0,1184.0,782.0,1184.0,1421.0,1442.0,1382.0,1367.0,641.0,359.0,,985.0,515.0,1131.0,1239.0,1460.0,1446.0
1216.0,1005.0,1460.0,145.0,942.0,1099.0,862.0,206.0,749.0,304.0,1465.0,303.0,1381.0,865.0,1392.0,276.0,1099.0,853.0,,206.0,1232.0,47.0,1082.0,1504.0,1460.0
1315.0,1022.0,1504.0,1338.0,302.0,379.0,1423.0,202.0,857.0,1036.0,480.0,255.0,15.0,674.0,862.0,1239.0,379.0,540.0,,202.0,825.0,338.0,388.0,1239.0,1504.0
883.0,590.0,1239.0,10.0,258.0,407.0,1421.0,204.0,344.0,943.0,1071.0,304.0,1393.0,359.0,1423.0,1310.0,407.0,1447.0,,204.0,363.0,417.0,1043.0,1082.0,1239.0
1378.0,339.0,1082.0,712.0,900.0,1005.0,1381.0,252.0,345.0,803.0,732.0,1036.0,251.0,866.0,1421.0,540.0,1005.0,1442.0,,252.0,357.0,891.0,639.0,388.0,1082.0
1295.0,515.0,388.0,713.0,1038.0,1022.0,15.0,976.0,732.0,942.0,258.0,943.0,972.0,540.0,1381.0,721.0,1022.0,1446.0,,976.0,509.0,190.0,1069.0,1043.0,388.0
88.0,1232.0,1043.0,715.0,1440.0,590.0,1393.0,684.0,798.0,258.0,900.0,803.0,1432.0,1447.0,15.0,843.0,590.0,1460.0,,684.0,1080.0,1406.0,700.0,639.0,1043.0
469.0,825.0,639.0,805.0,828.0,339.0,251.0,1329.0,780.0,900.0,1439.0,942.0,1072.0,884.0,1393.0,36.0,339.0,1504.0,,1329.0,1237.0,103.0,198.0,1069.0,639.0
1277.0,363.0,1069.0,1196.0,844.0,515.0,972.0,901.0,735.0,1038.0,812.0,302.0,723.0,1446.0,251.0,282.0,515.0,1239.0,,901.0,476.0,461.0,1427.0,700.0,1069.0
1305.0,357.0,700.0,1213.0,1336.0,1232.0,1432.0,147.0,862.0,1440.0,315.0,258.0,1418.0,1460.0,972.0,911.0,1232.0,1082.0,,147.0,366.0,117.0,506.0,198.0,700.0
1313.0,509.0,198.0,1341.0,1439.0,825.0,1072.0,205.0,1423.0,828.0,798.0,900.0,1232.0,1504.0,1432.0,1336.0,825.0,388.0,,205.0,973.0,350.0,1333.0,1427.0,198.0
1227.0,1080.0,506.0,1322.0,721.0,363.0,723.0,871.0,783.0,844.0,783.0,1038.0,254.0,1239.0,1072.0,700.0,363.0,1043.0,,871.0,846.0,123.0,454.0,506.0,506.0
1094.0,1237.0,1333.0,1340.0,1331.0,357.0,1418.0,1184.0,1070.0,1336.0,1089.0,1440.0,984.0,1082.0,723.0,13.0,357.0,639.0,,1184.0,649.0,548.0,641.0,1333.0,1333.0
