run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
2760.0,3196.0,3712.0,2370.0,444.0,3698.0,3682.0,2835.0,1269.0,2835.0,1982.0,1270.0,3339.0,696.0,33.0,456.0,1222.0,548.0,1947.0,3780.0,1392.0,457.0,1715.0,3027.0,2522.0
192.0,1227.0,3416.0,3151.0,361.0,3547.0,3467.0,3033.0,3224.0,3576.0,2615.0,1425.0,2238.0,2654.0,1709.0,3397.0,327.0,2817.0,642.0,263.0,3868.0,2863.0,558.0,1203.0,3638.0
2066.0,891.0,2713.0,1061.0,712.0,3793.0,2745.0,3384.0,1854.0,3431.0,3787.0,852.0,1900.0,233.0,2251.0,1065.0,3765.0,1442.0,1847.0,1630.0,3528.0,3299.0,2668.0,2008.0,2393.0
3340.0,1670.0,476.0,3054.0,2565.0,2814.0,225.0,2024.0,1298.0,3016.0,2958.0,243.0,2690.0,2860.0,132.0,74.0,2612.0,48.0,3619.0,1651.0,200.0,2397.0,3464.0,3210.0,3304.0
598.0,3456.0,3435.0,236.0,325.0,3009.0,410.0,1493.0,1082.0,1576.0,3771.0,984.0,2806.0,431.0,2671.0,3353.0,2396.0,2169.0,1395.0,1007.0,2259.0,3798.0,3062.0,3326.0,2044.0
2140.0,1847.0,1277.0,2180.0,3158.0,3407.0,1919.0,1697.0,2486.0,357.0,3575.0,1198.0,2453.0,2502.0,2886.0,2417.0,1483.0,1301.0,1196.0,2087.0,752.0,1143.0,341.0,1430.0,532.0
1242.0,705.0,363.0,202.0,2271.0,1772.0,1094.0,2605.0,2569.0,1995.0,2978.0,2632.0,2790.0,632.0,2624.0,755.0,1421.0,2417.0,1875.0,2417.0,881.0,316.0,1066.0,2814.0,781.0
1390.0,299.0,981.0,2535.0,1792.0,1316.0,2452.0,3158.0,2788.0,578.0,2928.0,3244.0,3032.0,1445.0,1099.0,805.0,1241.0,1288.0,92.0,1590.0,1169.0,2094.0,1406.0,2409.0,346.0
599.0,3213.0,3314.0,3083.0,162.0,3144.0,1393.0,2862.0,2403.0,1095.0,3503.0,2988.0,3647.0,1556.0,1333.0,311.0,910.0,699.0,674.0,1843.0,1593.0,1819.0,2860.0,2242.0,1727.0
491.0,2607.0,2106.0,3132.0,260.0,47.0,1885.0,2802.0,3421.0,2942.0,3519.0,3463.0,597.0,2679.0,388.0,310.0,1541.0,627.0,144.0,3617.0,33.0,1718.0,3218.0,520.0,3225.0
3382.0,2996.0,477.0,946.0,2287.0,3786.0,3093.0,2139.0,2189.0,790.0,3025.0,2856.0,1023.0,1037.0,355.0,1178.0,3702.0,1233.0,1981.0,2179.0,161.0,562.0,2948.0,3582.0,2260.0
330.0,2998.0,1827.0,2763.0,3267.0,3025.0,2442.0,2296.0,2736.0,3075.0,3284.0,460.0,3199.0,2746.0,354.0,955.0,3126.0,3119.0,2087.0,3196.0,2113.0,476.0,1943.0,3110.0,2555.0
2296.0,353.0,562.0,1008.0,806.0,3787.0,2507.0,2140.0,921.0,1669.0,3285.0,1452.0,3310.0,2451.0,2995.0,3267.0,3751.0,3110.0,3196.0,1395.0,611.0,477.0,3162.0,2928.0,1241.0
3384.0,1402.0,1143.0,529.0,1061.0,918.0,2858.0,3382.0,2697.0,1671.0,1796.0,1341.0,1583.0,626.0,1297.0,2287.0,1692.0,3582.0,2179.0,1981.0,162.0,2870.0,1999.0,446.0,446.0
1568.0,1669.0,2870.0,1233.0,1178.0,3284.0,732.0,330.0,2018.0,1672.0,3793.0,3604.0,1024.0,2813.0,2996.0,361.0,1389.0,3571.0,1925.0,1925.0,163.0,3509.0,1299.0,3592.0,3592.0
333.0,354.0,3509.0,1015.0,1062.0,1796.0,1820.0,1568.0,2864.0,1806.0,3786.0,3277.0,2901.0,3265.0,2998.0,806.0,2165.0,1336.0,1396.0,1396.0,510.0,777.0,2093.0,1233.0,1015.0
328.0,1806.0,777.0,1466.0,209.0,3785.0,101.0,333.0,1403.0,3530.0,918.0,3462.0,2048.0,272.0,353.0,1061.0,3335.0,2763.0,2105.0,2105.0,1288.0,583.0,2679.0,1560.0,1734.0
507.0,1671.0,583.0,1734.0,955.0,2912.0,1006.0,328.0,3587.0,3531.0,3785.0,2854.0,403.0,2717.0,1670.0,1062.0,1877.0,76.0,3197.0,3197.0,439.0,1827.0,3236.0,2738.0,1233.0
3534.0,1672.0,475.0,3763.0,805.0,2702.0,3114.0,507.0,2111.0,1670.0,2912.0,1039.0,2243.0,370.0,1402.0,209.0,1000.0,159.0,1983.0,1983.0,612.0,475.0,2517.0,1179.0,3083.0
2078.0,357.0,3681.0,364.0,1300.0,2915.0,447.0,3534.0,920.0,2996.0,2702.0,,3230.0,3573.0,1669.0,1300.0,1667.0,79.0,1397.0,1397.0,1917.0,3681.0,869.0,699.0,946.0
3383.0,790.0,478.0,1384.0,1117.0,3285.0,1817.0,2078.0,1784.0,816.0,2915.0,,2202.0,269.0,1806.0,1117.0,1712.0,1015.0,1926.0,1926.0,613.0,478.0,1298.0,552.0,2763.0
2139.0,3075.0,17.0,3110.0,3141.0,2327.0,3407.0,3383.0,2696.0,353.0,2327.0,,2658.0,1204.0,1671.0,3141.0,1785.0,1734.0,1982.0,1982.0,3516.0,17.0,1540.0,76.0,1008.0
1567.0,3530.0,2600.0,3119.0,3589.0,403.0,122.0,1567.0,922.0,760.0,403.0,,2903.0,706.0,1672.0,3589.0,2694.0,446.0,1984.0,1984.0,1848.0,2600.0,3003.0,3589.0,529.0
1566.0,3531.0,1829.0,159.0,1179.0,327.0,1740.0,1566.0,3588.0,1319.0,327.0,,247.0,1708.0,357.0,1179.0,538.0,3083.0,2505.0,2505.0,1319.0,1829.0,241.0,2511.0,1466.0
204.0,816.0,585.0,1887.0,446.0,871.0,1854.0,204.0,1937.0,2257.0,871.0,,871.0,801.0,790.0,446.0,2844.0,946.0,384.0,384.0,2257.0,585.0,2400.0,2555.0,3763.0
549.0,760.0,490.0,3571.0,3592.0,2243.0,1862.0,549.0,1936.0,3543.0,2243.0,,3284.0,1630.0,3075.0,3592.0,539.0,1008.0,2944.0,2944.0,2606.0,490.0,1044.0,2816.0,364.0
335.0,1319.0,587.0,1638.0,1015.0,2048.0,3109.0,335.0,2515.0,439.0,2048.0,,3309.0,2492.0,3530.0,1015.0,1937.0,529.0,1398.0,1398.0,3307.0,587.0,2057.0,3571.0,1384.0
2236.0,2257.0,2610.0,798.0,1734.0,2903.0,2554.0,2236.0,1404.0,2998.0,2903.0,,1108.0,230.0,3531.0,1734.0,744.0,1466.0,1477.0,1477.0,2258.0,2610.0,2957.0,2763.0,3110.0
927.0,3543.0,3320.0,2409.0,1233.0,3310.0,3144.0,927.0,1935.0,2974.0,3310.0,,2625.0,428.0,816.0,1233.0,3429.0,3763.0,1903.0,1903.0,2737.0,3320.0,1086.0,1336.0,3119.0
1415.0,439.0,3010.0,446.0,3083.0,1583.0,83.0,1415.0,537.0,1297.0,1583.0,,3232.0,270.0,760.0,3083.0,3406.0,364.0,2247.0,2247.0,3515.0,3010.0,2826.0,3119.0,159.0
928.0,2974.0,586.0,3592.0,946.0,1024.0,1118.0,928.0,538.0,315.0,1024.0,,1444.0,1240.0,1319.0,946.0,1478.0,1384.0,2889.0,2889.0,3583.0,586.0,3367.0,401.0,1887.0
205.0,1297.0,2357.0,1241.0,2763.0,2901.0,530.0,205.0,923.0,1296.0,2901.0,,47.0,2615.0,2257.0,2763.0,923.0,1887.0,2678.0,2678.0,2996.0,2357.0,1945.0,207.0,3571.0
1311.0,315.0,3321.0,699.0,1008.0,3230.0,1115.0,1311.0,536.0,2885.0,3230.0,,3515.0,743.0,3543.0,1008.0,2018.0,1638.0,768.0,768.0,2802.0,3321.0,2494.0,159.0,1638.0
199.0,1296.0,2655.0,76.0,529.0,2202.0,619.0,199.0,539.0,354.0,2202.0,,1916.0,2223.0,439.0,529.0,631.0,798.0,769.0,769.0,37.0,2655.0,2956.0,1733.0,798.0
329.0,2885.0,100.0,79.0,1466.0,2658.0,2550.0,329.0,2694.0,820.0,2658.0,,645.0,417.0,2974.0,1466.0,3768.0,2409.0,2684.0,2684.0,2607.0,100.0,1571.0,3034.0,2409.0
1382.0,820.0,1941.0,544.0,3763.0,247.0,1121.0,1382.0,1785.0,818.0,247.0,,2237.0,3621.0,315.0,3763.0,69.0,3592.0,774.0,774.0,440.0,1941.0,2095.0,3375.0,699.0
2060.0,818.0,3007.0,1407.0,364.0,3309.0,3576.0,2060.0,1301.0,819.0,3309.0,,3307.0,2962.0,1296.0,364.0,2403.0,1241.0,2947.0,2947.0,1823.0,3007.0,2978.0,746.0,76.0
2297.0,819.0,599.0,2750.0,1384.0,1108.0,1879.0,2297.0,2863.0,291.0,1108.0,,2902.0,1161.0,2885.0,1384.0,3296.0,544.0,914.0,914.0,164.0,599.0,1707.0,79.0,79.0
