targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,12.56,13.160790249829224,64.0,1.0,10.855855855855856
7.1,14.44,15.139564062416063,64.0,1.0,12.819148936170214
7.2,16.36,15.795898201748454,64.0,1.0,16.283783783783782
7.3,16.36,15.795898201748454,64.0,1.0,18.257575757575758
7.4,16.36,15.795898201748454,64.0,1.0,18.828125
7.5,20.92,17.676922809131685,64.0,1.0,20.775862068965516
7.6,23.32,22.4280538611802,99.0,1.0,25.638297872340427
7.7,25.04,22.529056793394616,99.0,1.0,26.195652173913043
7.8,31.2,27.527440854536405,101.0,1.0,30.897435897435898
7.9,35.56,26.58733533094281,101.0,1.0,33.47222222222222
8.0,36.84,28.25835097807372,101.0,1.0,35.44117647058823
8.1,36.96,28.1118907226106,101.0,4.0,38.87096774193548
8.2,46.48,36.98120603766189,132.0,4.0,50.208333333333336
8.3,46.48,36.98120603766189,132.0,4.0,50.208333333333336
8.4,51.16,43.96242031553768,174.0,4.0,52.391304347826086
8.5,65.16,56.36855861204897,226.0,4.0,60.25
8.6,91.32,91.35369505389478,384.0,4.0,75.3125
8.7,91.32,91.35369505389478,384.0,4.0,75.3125
8.8,132.4,122.61256053112993,454.0,4.0,120.5
8.9,145.64,126.49581178837505,454.0,4.0,150.625
9.0,145.64,126.49581178837505,454.0,4.0,150.625
9.1,378.12,238.3760592005833,971.0,32.0,301.25
9.2,448.12,275.5890157462739,1028.0,32.0,401.6666666666667
9.3,752.6,307.4773487592216,1185.0,163.0,602.5
9.4,752.6,307.4773487592216,1185.0,163.0,602.5
9.5,752.6,307.4773487592216,1185.0,163.0,602.5
9.6,752.6,307.4773487592216,1185.0,163.0,602.5
9.7,752.6,307.4773487592216,1185.0,163.0,602.5
9.8,752.6,307.4773487592216,1185.0,163.0,602.5
9.9,752.6,307.4773487592216,1185.0,163.0,602.5
10.0,752.6,307.4773487592216,1185.0,163.0,602.5
10.1,752.6,307.4773487592216,1185.0,163.0,602.5
10.2,752.6,307.4773487592216,1185.0,163.0,602.5
10.3,752.6,307.4773487592216,1185.0,163.0,602.5
10.397940008672036,752.6,307.4773487592216,1185.0,163.0,602.5
