run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
76.0,1406.0,1100.0,73.0,375.0,709.0,809.0,369.0,345.0,766.0,1503.0,497.0,1112.0,868.0,793.0,1620.0,1202.0,641.0,467.0,933.0,1287.0,1308.0,314.0,315.0,329.0
1269.0,1284.0,123.0,656.0,1595.0,184.0,1492.0,1450.0,1037.0,671.0,1510.0,1353.0,596.0,1315.0,1269.0,913.0,546.0,1533.0,171.0,1585.0,1458.0,1276.0,558.0,981.0,701.0
1137.0,995.0,204.0,31.0,1118.0,912.0,1488.0,179.0,846.0,404.0,318.0,1608.0,1260.0,117.0,1472.0,995.0,1176.0,492.0,636.0,906.0,459.0,938.0,1044.0,1082.0,718.0
1249.0,264.0,1084.0,1497.0,772.0,576.0,307.0,1479.0,231.0,351.0,1413.0,1414.0,995.0,763.0,743.0,942.0,505.0,585.0,506.0,157.0,501.0,466.0,794.0,451.0,713.0
1116.0,1487.0,1523.0,1483.0,1422.0,877.0,856.0,1391.0,1600.0,515.0,1252.0,1596.0,190.0,1466.0,885.0,1571.0,1341.0,1070.0,330.0,1368.0,1343.0,512.0,1596.0,914.0,903.0
971.0,462.0,755.0,1488.0,1188.0,1544.0,93.0,383.0,1438.0,886.0,1056.0,748.0,365.0,167.0,953.0,257.0,58.0,682.0,194.0,1176.0,691.0,291.0,996.0,357.0,1511.0
884.0,75.0,682.0,1502.0,1291.0,1001.0,1412.0,1306.0,1262.0,512.0,1151.0,2.0,978.0,321.0,246.0,841.0,1095.0,210.0,714.0,302.0,734.0,698.0,868.0,1009.0,1572.0
535.0,366.0,272.0,175.0,1122.0,546.0,1051.0,95.0,238.0,335.0,191.0,324.0,117.0,287.0,112.0,1129.0,369.0,826.0,45.0,852.0,175.0,1054.0,1522.0,268.0,1605.0
847.0,1030.0,365.0,70.0,1124.0,1246.0,626.0,1509.0,1588.0,1629.0,1090.0,56.0,1240.0,1090.0,1103.0,1291.0,1056.0,136.0,371.0,214.0,265.0,426.0,504.0,745.0,954.0
724.0,1044.0,464.0,1009.0,718.0,595.0,1265.0,1131.0,446.0,1150.0,108.0,1633.0,137.0,976.0,393.0,274.0,821.0,1538.0,1430.0,1358.0,520.0,460.0,571.0,584.0,449.0
622.0,984.0,714.0,1411.0,769.0,1501.0,521.0,1317.0,194.0,805.0,165.0,1369.0,699.0,1196.0,1490.0,689.0,1266.0,1057.0,1490.0,1046.0,158.0,1618.0,1336.0,1478.0,454.0
1172.0,1130.0,1348.0,870.0,1040.0,345.0,756.0,315.0,110.0,750.0,758.0,1314.0,1577.0,554.0,1584.0,1242.0,797.0,882.0,763.0,130.0,1266.0,713.0,1024.0,1332.0,848.0
361.0,813.0,1557.0,1029.0,1263.0,798.0,125.0,834.0,878.0,462.0,737.0,997.0,1138.0,534.0,1381.0,1117.0,354.0,385.0,82.0,1455.0,1576.0,1472.0,836.0,338.0,250.0
422.0,1068.0,1251.0,178.0,503.0,869.0,807.0,374.0,60.0,1072.0,1076.0,1225.0,506.0,404.0,694.0,829.0,325.0,660.0,463.0,539.0,733.0,1170.0,1353.0,1441.0,499.0
1213.0,115.0,1228.0,816.0,471.0,941.0,264.0,1007.0,1056.0,126.0,806.0,797.0,351.0,310.0,248.0,128.0,1528.0,693.0,1075.0,410.0,878.0,1345.0,214.0,1182.0,510.0
1261.0,186.0,622.0,125.0,451.0,406.0,1279.0,961.0,887.0,482.0,1458.0,348.0,46.0,2.0,1167.0,565.0,435.0,1087.0,204.0,537.0,440.0,1395.0,1303.0,1219.0,949.0
590.0,1288.0,1077.0,1598.0,391.0,351.0,177.0,1434.0,660.0,978.0,460.0,712.0,1077.0,1632.0,1598.0,419.0,55.0,664.0,1403.0,1134.0,701.0,1037.0,1198.0,589.0,828.0
1176.0,271.0,1489.0,1261.0,638.0,1241.0,335.0,267.0,1589.0,768.0,874.0,302.0,1140.0,1270.0,482.0,1484.0,193.0,426.0,1167.0,296.0,552.0,1481.0,530.0,1217.0,1526.0
610.0,956.0,543.0,180.0,561.0,1007.0,511.0,1308.0,1039.0,1317.0,1243.0,1519.0,288.0,263.0,660.0,1213.0,1279.0,1294.0,850.0,953.0,400.0,1291.0,1287.0,1176.0,565.0
1589.0,1407.0,736.0,1576.0,901.0,61.0,523.0,203.0,477.0,278.0,341.0,1437.0,1164.0,429.0,1094.0,1429.0,740.0,375.0,287.0,613.0,766.0,1001.0,234.0,972.0,749.0
721.0,842.0,425.0,634.0,878.0,536.0,347.0,731.0,1030.0,83.0,329.0,316.0,193.0,1137.0,658.0,1070.0,1222.0,1626.0,904.0,1016.0,5.0,1450.0,1060.0,429.0,793.0
1504.0,668.0,961.0,821.0,366.0,1363.0,436.0,1113.0,247.0,908.0,805.0,803.0,219.0,966.0,1302.0,1391.0,593.0,655.0,458.0,51.0,503.0,323.0,1089.0,1371.0,194.0
762.0,641.0,661.0,744.0,1624.0,569.0,482.0,1260.0,152.0,946.0,1318.0,556.0,887.0,1516.0,707.0,1214.0,1250.0,433.0,819.0,917.0,993.0,1009.0,359.0,386.0,1467.0
1340.0,1136.0,1161.0,959.0,1483.0,211.0,1118.0,665.0,1190.0,647.0,625.0,1398.0,1320.0,1145.0,385.0,1362.0,49.0,750.0,354.0,1300.0,1423.0,785.0,1255.0,704.0,978.0
370.0,1429.0,1031.0,720.0,251.0,1438.0,522.0,1307.0,412.0,1480.0,1560.0,423.0,705.0,1592.0,1369.0,437.0,1318.0,71.0,1464.0,1350.0,675.0,847.0,810.0,472.0,463.0
1570.0,941.0,237.0,649.0,37.0,1046.0,111.0,1022.0,1060.0,902.0,119.0,262.0,1370.0,1070.0,1097.0,1258.0,1113.0,539.0,742.0,1125.0,231.0,1369.0,1469.0,155.0,962.0
781.0,710.0,639.0,745.0,1023.0,467.0,1524.0,129.0,83.0,870.0,1613.0,765.0,662.0,245.0,347.0,969.0,1395.0,1394.0,1386.0,1617.0,1632.0,5.0,833.0,566.0,520.0
1425.0,1526.0,250.0,1586.0,838.0,36.0,394.0,401.0,1608.0,298.0,1220.0,943.0,622.0,1363.0,436.0,510.0,1130.0,1530.0,425.0,1609.0,81.0,1347.0,1487.0,226.0,1001.0
1022.0,1128.0,1158.0,141.0,125.0,523.0,596.0,294.0,324.0,112.0,421.0,908.0,44.0,387.0,681.0,65.0,1343.0,790.0,522.0,326.0,342.0,699.0,694.0,997.0,395.0
75.0,1291.0,1564.0,1146.0,672.0,54.0,586.0,1395.0,1412.0,249.0,751.0,719.0,203.0,102.0,196.0,1078.0,1459.0,1159.0,464.0,1111.0,803.0,966.0,1082.0,934.0,1245.0
1092.0,1103.0,1218.0,796.0,1106.0,1392.0,228.0,1148.0,1496.0,65.0,415.0,881.0,177.0,803.0,869.0,1273.0,98.0,589.0,559.0,366.0,172.0,570.0,1461.0,7.0,651.0
505.0,749.0,1475.0,852.0,1515.0,539.0,502.0,367.0,318.0,962.0,1157.0,1032.0,50.0,790.0,1351.0,1189.0,1502.0,575.0,937.0,1225.0,72.0,1355.0,1319.0,535.0,666.0
1135.0,246.0,521.0,372.0,921.0,943.0,124.0,364.0,913.0,945.0,1513.0,180.0,1538.0,239.0,790.0,1096.0,1610.0,595.0,822.0,284.0,1139.0,875.0,384.0,105.0,522.0
274.0,1533.0,1539.0,201.0,731.0,148.0,428.0,1457.0,1107.0,374.0,560.0,605.0,909.0,702.0,1548.0,347.0,1108.0,368.0,733.0,113.0,1110.0,621.0,99.0,1362.0,1613.0
1373.0,1408.0,173.0,394.0,40.0,863.0,1570.0,19.0,1621.0,1290.0,526.0,1064.0,1368.0,1034.0,106.0,1556.0,889.0,1488.0,885.0,768.0,1450.0,1364.0,715.0,100.0,1195.0
848.0,353.0,492.0,274.0,66.0,1310.0,584.0,1614.0,1303.0,1074.0,803.0,1474.0,1563.0,975.0,769.0,749.0,13.0,1227.0,1061.0,1201.0,1263.0,872.0,553.0,603.0,1296.0
262.0,205.0,7.0,83.0,1324.0,988.0,994.0,167.0,249.0,792.0,1092.0,990.0,,178.0,318.0,1492.0,745.0,961.0,708.0,879.0,1044.0,1117.0,969.0,1254.0,1454.0
523.0,659.0,165.0,443.0,84.0,660.0,992.0,320.0,933.0,331.0,795.0,1451.0,,89.0,333.0,1222.0,1153.0,781.0,23.0,1263.0,1189.0,379.0,1570.0,899.0,1126.0
935.0,729.0,711.0,651.0,930.0,1141.0,92.0,1110.0,1139.0,1297.0,447.0,684.0,,1574.0,60.0,1073.0,509.0,506.0,1605.0,1293.0,567.0,1289.0,761.0,56.0,966.0
604.0,213.0,360.0,1216.0,304.0,805.0,920.0,1151.0,1103.0,474.0,1290.0,1164.0,,1269.0,419.0,975.0,1362.0,1523.0,973.0,857.0,247.0,207.0,1019.0,547.0,1109.0
1198.0,419.0,1085.0,43.0,296.0,1454.0,744.0,1590.0,149.0,1429.0,929.0,802.0,,1489.0,451.0,295.0,1505.0,1091.0,1259.0,1340.0,702.0,1585.0,195.0,263.0,1127.0
388.0,1006.0,584.0,120.0,138.0,241.0,247.0,1282.0,386.0,250.0,1217.0,285.0,,83.0,1497.0,373.0,1200.0,333.0,331.0,1419.0,1304.0,846.0,507.0,956.0,347.0
860.0,1461.0,1172.0,297.0,1160.0,925.0,539.0,1413.0,31.0,246.0,438.0,436.0,,118.0,1085.0,20.0,366.0,314.0,812.0,1485.0,1131.0,1427.0,1428.0,297.0,1346.0
679.0,1450.0,523.0,723.0,1414.0,57.0,952.0,661.0,420.0,151.0,374.0,633.0,,672.0,439.0,625.0,95.0,659.0,1022.0,851.0,1349.0,94.0,1107.0,1249.0,1362.0
1329.0,93.0,1042.0,1534.0,379.0,219.0,1343.0,41.0,78.0,152.0,1139.0,1525.0,,128.0,1525.0,936.0,157.0,316.0,800.0,208.0,1586.0,150.0,759.0,933.0,922.0
152.0,609.0,1024.0,1532.0,885.0,1397.0,494.0,669.0,171.0,12.0,1339.0,914.0,,324.0,574.0,917.0,968.0,491.0,154.0,832.0,1106.0,463.0,284.0,895.0,1599.0
1282.0,469.0,1223.0,781.0,33.0,1549.0,1532.0,112.0,1251.0,319.0,550.0,920.0,,1340.0,1165.0,1243.0,1007.0,1048.0,1033.0,399.0,1065.0,1461.0,278.0,1231.0,1499.0
658.0,1361.0,1009.0,1286.0,1110.0,740.0,1395.0,1392.0,1207.0,991.0,342.0,815.0,,582.0,607.0,497.0,1174.0,1142.0,1343.0,1437.0,1116.0,861.0,1386.0,593.0,205.0
930.0,1287.0,868.0,1132.0,884.0,263.0,304.0,533.0,1625.0,850.0,316.0,1520.0,,1273.0,1104.0,116.0,1037.0,116.0,745.0,1007.0,1627.0,49.0,1020.0,1179.0,1266.0
1128.0,273.0,870.0,1040.0,489.0,262.0,159.0,1499.0,1379.0,713.0,418.0,1302.0,,362.0,518.0,336.0,1313.0,1398.0,897.0,1053.0,1235.0,260.0,357.0,653.0,450.0
299.0,187.0,86.0,1259.0,1166.0,47.0,889.0,453.0,1609.0,142.0,1557.0,1144.0,,1174.0,379.0,1314.0,101.0,1201.0,743.0,81.0,651.0,1578.0,199.0,1263.0,1191.0
350.0,60.0,861.0,1056.0,1526.0,1259.0,1402.0,577.0,1476.0,1308.0,771.0,1359.0,,788.0,1341.0,321.0,1186.0,573.0,440.0,1065.0,1327.0,952.0,226.0,365.0,380.0
