targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,2.52,2.0023985617254123,9.0,1.0,2.422222222222222
7.1,2.52,2.0023985617254123,9.0,1.0,2.5
7.2,2.52,2.0023985617254123,9.0,1.0,2.5546875
7.3,2.52,2.0023985617254123,9.0,1.0,2.6286173633440515
7.4,2.52,2.0023985617254123,9.0,1.0,2.715946843853821
7.5,2.52,2.0023985617254123,9.0,1.0,2.7948717948717947
7.6,2.52,2.0023985617254123,9.0,1.0,2.873462214411248
7.7,2.64,1.9975985582694034,9.0,1.0,2.9673321234119783
7.8,2.88,2.1414014102918677,9.0,1.0,3.1202290076335877
7.9,2.88,2.1414014102918677,9.0,1.0,3.283132530120482
8.0,3.0,2.4331050121192876,10.0,1.0,3.456659619450317
8.1,3.76,4.062314611154582,20.0,1.0,3.856132075471698
8.2,3.84,4.2017139360027835,20.0,1.0,4.170918367346939
8.3,3.92,4.270081966426406,20.0,1.0,4.5041322314049586
8.4,3.96,4.358715407089569,20.0,1.0,5.061919504643963
8.5,4.36,4.52442261509687,20.0,1.0,5.360655737704918
8.6,5.08,4.790991546642511,20.0,1.0,5.989010989010989
8.7,5.32,4.747378223819965,20.0,1.0,7.569444444444445
8.8,5.68,5.088968461289576,20.0,1.0,8.696808510638299
8.9,6.92,6.734508148335704,26.0,1.0,10.414012738853502
9.0,9.0,7.6681158050723255,26.0,1.0,11.678571428571429
9.1,14.48,10.431184017166986,39.0,1.0,16.515151515151516
9.2,18.0,16.414627622946554,54.0,1.0,21.513157894736842
9.3,22.44,15.79893667308025,54.0,2.0,29.727272727272727
9.4,45.68,50.718611968388885,157.0,2.0,38.02325581395349
9.5,52.12,50.31446710440248,157.0,2.0,41.92307692307692
9.6,94.0,75.95946287329842,207.0,2.0,51.09375
9.7,131.84,100.56189337915232,328.0,5.0,77.85714285714286
9.8,132.0,100.44660273000775,328.0,5.0,109.0
9.9,259.04,195.37010620870328,507.0,14.0,272.5
10.0,261.6,192.59117321414294,507.0,22.0,327.0
10.096910013008056,433.12,280.89205328737944,875.0,32.0,817.5
