run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
251.0,191.0,205.0,732.0,290.0,28.0,629.0,582.0,12.0,852.0,529.0,123.0,298.0,476.0,242.0,639.0,544.0,846.0,568.0,38.0,729.0,199.0,547.0,494.0,206.0
727.0,882.0,463.0,589.0,239.0,521.0,153.0,403.0,744.0,132.0,92.0,243.0,369.0,418.0,829.0,766.0,652.0,470.0,177.0,385.0,799.0,44.0,412.0,157.0,393.0
293.0,111.0,15.0,449.0,817.0,409.0,368.0,261.0,281.0,686.0,593.0,834.0,502.0,320.0,697.0,296.0,888.0,274.0,80.0,734.0,385.0,103.0,694.0,147.0,301.0
615.0,262.0,818.0,157.0,76.0,789.0,605.0,365.0,794.0,496.0,782.0,258.0,142.0,63.0,651.0,559.0,510.0,741.0,54.0,360.0,120.0,846.0,428.0,421.0,609.0
144.0,669.0,209.0,745.0,92.0,524.0,498.0,684.0,723.0,694.0,396.0,482.0,675.0,485.0,75.0,94.0,312.0,48.0,628.0,523.0,783.0,728.0,361.0,167.0,131.0
267.0,830.0,101.0,48.0,904.0,424.0,827.0,586.0,724.0,753.0,177.0,409.0,835.0,902.0,112.0,582.0,427.0,236.0,423.0,260.0,554.0,626.0,626.0,546.0,749.0
55.0,522.0,841.0,51.0,732.0,312.0,595.0,814.0,579.0,164.0,415.0,121.0,23.0,682.0,799.0,489.0,597.0,720.0,162.0,588.0,106.0,146.0,436.0,201.0,3.0
604.0,228.0,20.0,676.0,592.0,892.0,240.0,530.0,838.0,667.0,193.0,436.0,881.0,371.0,513.0,348.0,319.0,665.0,194.0,879.0,525.0,128.0,837.0,458.0,115.0
97.0,883.0,440.0,99.0,570.0,121.0,561.0,505.0,515.0,10.0,781.0,95.0,799.0,237.0,659.0,145.0,776.0,874.0,608.0,553.0,597.0,260.0,134.0,412.0,485.0
14.0,207.0,387.0,477.0,155.0,338.0,398.0,543.0,91.0,666.0,714.0,398.0,792.0,206.0,53.0,67.0,905.0,719.0,359.0,633.0,308.0,505.0,115.0,378.0,597.0
357.0,284.0,477.0,642.0,298.0,492.0,221.0,307.0,331.0,802.0,239.0,616.0,476.0,298.0,210.0,788.0,501.0,758.0,438.0,298.0,47.0,8.0,360.0,438.0,773.0
802.0,808.0,642.0,644.0,476.0,225.0,471.0,826.0,893.0,357.0,115.0,48.0,553.0,553.0,244.0,246.0,433.0,477.0,546.0,476.0,210.0,635.0,759.0,54.0,579.0
666.0,285.0,644.0,758.0,553.0,791.0,477.0,389.0,452.0,55.0,902.0,140.0,76.0,76.0,575.0,580.0,590.0,642.0,768.0,76.0,342.0,298.0,139.0,360.0,61.0
774.0,79.0,758.0,221.0,635.0,18.0,642.0,524.0,823.0,774.0,105.0,735.0,635.0,635.0,189.0,420.0,70.0,644.0,360.0,635.0,244.0,476.0,768.0,759.0,634.0
295.0,527.0,554.0,220.0,103.0,638.0,644.0,664.0,216.0,295.0,500.0,615.0,103.0,103.0,245.0,866.0,659.0,221.0,688.0,103.0,294.0,553.0,546.0,139.0,792.0
6.0,901.0,221.0,554.0,472.0,653.0,56.0,327.0,215.0,6.0,190.0,266.0,472.0,472.0,405.0,332.0,453.0,220.0,578.0,472.0,53.0,472.0,438.0,768.0,504.0
472.0,855.0,832.0,7.0,8.0,277.0,758.0,857.0,822.0,472.0,12.0,853.0,8.0,8.0,437.0,511.0,518.0,554.0,759.0,8.0,552.0,404.0,54.0,361.0,724.0
624.0,130.0,220.0,832.0,404.0,572.0,554.0,788.0,585.0,624.0,700.0,526.0,404.0,404.0,47.0,693.0,583.0,7.0,361.0,404.0,575.0,76.0,688.0,688.0,838.0
103.0,293.0,471.0,200.0,551.0,673.0,832.0,324.0,8.0,103.0,123.0,453.0,551.0,551.0,200.0,700.0,31.0,832.0,139.0,551.0,470.0,551.0,578.0,578.0,309.0
635.0,749.0,7.0,400.0,253.0,141.0,220.0,420.0,103.0,635.0,907.0,717.0,253.0,253.0,294.0,778.0,499.0,200.0,528.0,253.0,437.0,253.0,528.0,528.0,345.0
8.0,260.0,200.0,,624.0,412.0,7.0,700.0,635.0,8.0,383.0,907.0,624.0,624.0,470.0,878.0,691.0,400.0,240.0,624.0,577.0,624.0,240.0,240.0,62.0
401.0,829.0,456.0,,401.0,899.0,200.0,866.0,298.0,401.0,392.0,499.0,401.0,401.0,577.0,730.0,487.0,,221.0,401.0,488.0,401.0,221.0,221.0,725.0
253.0,435.0,757.0,,833.0,387.0,456.0,37.0,476.0,253.0,371.0,896.0,833.0,833.0,783.0,509.0,524.0,,471.0,833.0,758.0,833.0,471.0,471.0,685.0
298.0,211.0,240.0,,402.0,232.0,101.0,147.0,553.0,298.0,904.0,79.0,402.0,402.0,342.0,628.0,3.0,,477.0,402.0,189.0,402.0,477.0,477.0,364.0
476.0,655.0,56.0,,56.0,907.0,757.0,829.0,472.0,476.0,616.0,469.0,56.0,56.0,552.0,643.0,736.0,,642.0,56.0,245.0,56.0,642.0,642.0,155.0
553.0,278.0,400.0,,567.0,831.0,400.0,773.0,404.0,553.0,735.0,299.0,567.0,567.0,488.0,209.0,340.0,,644.0,567.0,405.0,567.0,644.0,644.0,845.0
76.0,182.0,,,102.0,712.0,,721.0,76.0,76.0,679.0,461.0,102.0,102.0,758.0,765.0,420.0,,56.0,102.0,220.0,102.0,56.0,56.0,25.0
551.0,602.0,,,774.0,95.0,,417.0,551.0,551.0,829.0,505.0,774.0,774.0,220.0,736.0,290.0,,758.0,774.0,477.0,774.0,758.0,758.0,584.0
552.0,828.0,,,55.0,856.0,,811.0,253.0,552.0,840.0,12.0,55.0,55.0,477.0,33.0,436.0,,554.0,55.0,642.0,55.0,554.0,554.0,172.0
47.0,467.0,,,295.0,177.0,,686.0,624.0,47.0,288.0,732.0,295.0,295.0,642.0,3.0,857.0,,832.0,295.0,644.0,295.0,832.0,832.0,674.0
404.0,816.0,,,623.0,393.0,,260.0,401.0,404.0,274.0,904.0,623.0,623.0,644.0,682.0,866.0,,220.0,623.0,806.0,623.0,220.0,220.0,651.0
241.0,443.0,,,478.0,420.0,,687.0,833.0,241.0,58.0,705.0,478.0,478.0,806.0,440.0,417.0,,7.0,478.0,200.0,478.0,7.0,7.0,82.0
554.0,732.0,,,552.0,429.0,,730.0,402.0,554.0,622.0,337.0,552.0,552.0,221.0,344.0,516.0,,200.0,552.0,221.0,552.0,200.0,200.0,497.0
477.0,273.0,,,241.0,859.0,,732.0,56.0,477.0,837.0,390.0,241.0,241.0,7.0,907.0,560.0,,456.0,241.0,7.0,241.0,456.0,456.0,84.0
577.0,39.0,,,554.0,193.0,,130.0,567.0,577.0,422.0,831.0,554.0,554.0,757.0,629.0,761.0,,101.0,554.0,757.0,554.0,101.0,101.0,801.0
437.0,250.0,,,783.0,29.0,,441.0,102.0,437.0,793.0,866.0,783.0,783.0,400.0,831.0,589.0,,757.0,783.0,400.0,783.0,757.0,757.0,86.0
210.0,224.0,,,477.0,811.0,,701.0,774.0,210.0,103.0,233.0,477.0,477.0,,575.0,781.0,,400.0,477.0,,477.0,400.0,400.0,113.0
575.0,61.0,,,642.0,122.0,,893.0,55.0,575.0,406.0,125.0,642.0,642.0,,189.0,830.0,,,642.0,,642.0,,,186.0
832.0,625.0,,,47.0,532.0,,452.0,295.0,832.0,296.0,748.0,47.0,47.0,,245.0,772.0,,,47.0,,47.0,,,897.0
189.0,134.0,,,471.0,344.0,,823.0,623.0,189.0,176.0,28.0,471.0,471.0,,405.0,37.0,,,471.0,,471.0,,,648.0
245.0,894.0,,,57.0,861.0,,216.0,478.0,245.0,8.0,161.0,57.0,57.0,,437.0,13.0,,,57.0,,57.0,,,151.0
405.0,746.0,,,342.0,647.0,,215.0,552.0,405.0,635.0,846.0,342.0,342.0,,210.0,486.0,,,342.0,,342.0,,,211.0
471.0,64.0,,,437.0,723.0,,822.0,241.0,471.0,298.0,373.0,437.0,437.0,,47.0,601.0,,,437.0,,437.0,,,761.0
244.0,77.0,,,644.0,444.0,,585.0,554.0,244.0,476.0,29.0,644.0,644.0,,244.0,853.0,,,644.0,,644.0,,,461.0
294.0,368.0,,,189.0,299.0,,8.0,783.0,294.0,553.0,589.0,189.0,189.0,,200.0,900.0,,,189.0,,189.0,,,486.0
470.0,396.0,,,245.0,419.0,,103.0,477.0,470.0,472.0,793.0,245.0,245.0,,53.0,739.0,,,245.0,,245.0,,,257.0
642.0,777.0,,,405.0,796.0,,635.0,642.0,642.0,404.0,419.0,405.0,405.0,,294.0,831.0,,,405.0,,405.0,,,339.0
644.0,1.0,,,575.0,3.0,,298.0,47.0,644.0,76.0,178.0,575.0,575.0,,470.0,861.0,,,575.0,,575.0,,,466.0
758.0,45.0,,,210.0,87.0,,476.0,471.0,758.0,551.0,37.0,210.0,210.0,,577.0,21.0,,,210.0,,210.0,,,229.0
53.0,607.0,,,832.0,265.0,,553.0,57.0,53.0,253.0,532.0,832.0,832.0,,783.0,177.0,,,832.0,,832.0,,,349.0
342.0,642.0,,,200.0,281.0,,472.0,342.0,342.0,624.0,113.0,200.0,200.0,,342.0,429.0,,,200.0,,200.0,,,856.0
