run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
461.0,572.0,1486.0,485.0,158.0,591.0,24.0,474.0,1245.0,1478.0,810.0,70.0,1137.0,1322.0,148.0,683.0,1235.0,1156.0,726.0,1414.0,1106.0,1419.0,329.0,810.0,821.0
1126.0,983.0,1396.0,16.0,661.0,1103.0,892.0,185.0,978.0,346.0,722.0,647.0,314.0,1355.0,659.0,920.0,90.0,839.0,417.0,759.0,698.0,890.0,1438.0,87.0,143.0
34.0,782.0,1497.0,578.0,880.0,1310.0,1394.0,43.0,1294.0,160.0,1235.0,616.0,922.0,1178.0,199.0,103.0,58.0,878.0,316.0,1350.0,669.0,230.0,750.0,1328.0,936.0
491.0,536.0,387.0,140.0,534.0,1415.0,436.0,1044.0,529.0,281.0,97.0,1038.0,1220.0,1384.0,1019.0,350.0,588.0,734.0,1049.0,1173.0,631.0,41.0,338.0,1483.0,292.0
9.0,1143.0,457.0,854.0,649.0,269.0,754.0,60.0,243.0,557.0,1445.0,363.0,897.0,5.0,3.0,497.0,1267.0,1403.0,926.0,1460.0,1114.0,1193.0,95.0,25.0,1468.0
982.0,309.0,1137.0,1370.0,406.0,805.0,1458.0,915.0,117.0,970.0,143.0,751.0,610.0,656.0,869.0,218.0,1075.0,865.0,129.0,299.0,496.0,542.0,120.0,1137.0,627.0
425.0,1364.0,653.0,1187.0,759.0,663.0,988.0,530.0,337.0,289.0,668.0,430.0,1390.0,501.0,754.0,1085.0,1394.0,216.0,1206.0,851.0,1175.0,944.0,623.0,559.0,727.0
1379.0,248.0,1216.0,194.0,571.0,988.0,1139.0,409.0,1063.0,669.0,348.0,773.0,639.0,435.0,1364.0,504.0,873.0,1199.0,1292.0,1205.0,1255.0,1015.0,250.0,1345.0,1431.0
315.0,181.0,1344.0,1451.0,1200.0,857.0,847.0,707.0,421.0,1432.0,1339.0,1117.0,1229.0,877.0,1126.0,44.0,106.0,358.0,1468.0,466.0,877.0,131.0,1384.0,686.0,937.0
303.0,91.0,14.0,1385.0,401.0,978.0,571.0,363.0,427.0,1397.0,1472.0,828.0,10.0,306.0,1276.0,735.0,890.0,958.0,832.0,1250.0,130.0,1199.0,882.0,736.0,307.0
1309.0,936.0,197.0,1465.0,726.0,925.0,1280.0,489.0,1000.0,1127.0,949.0,7.0,856.0,1324.0,564.0,1457.0,1089.0,956.0,1031.0,405.0,942.0,1501.0,1312.0,1473.0,1143.0
265.0,1433.0,189.0,22.0,1364.0,310.0,1345.0,492.0,868.0,1483.0,447.0,906.0,855.0,711.0,1228.0,1318.0,335.0,515.0,19.0,265.0,1097.0,128.0,989.0,1376.0,475.0
245.0,1108.0,392.0,662.0,1101.0,1118.0,1110.0,1473.0,1233.0,138.0,1451.0,784.0,1103.0,786.0,402.0,51.0,656.0,1391.0,508.0,1138.0,1150.0,806.0,669.0,1411.0,1263.0
865.0,532.0,1073.0,1020.0,1299.0,888.0,1013.0,281.0,1324.0,254.0,1257.0,657.0,1353.0,1300.0,1034.0,482.0,1123.0,825.0,1219.0,1318.0,1040.0,272.0,219.0,1132.0,876.0
819.0,397.0,1443.0,95.0,518.0,574.0,851.0,206.0,1276.0,1502.0,1368.0,586.0,1491.0,235.0,419.0,1364.0,1169.0,794.0,555.0,1094.0,102.0,79.0,1346.0,440.0,710.0
1366.0,679.0,587.0,331.0,230.0,228.0,279.0,846.0,922.0,622.0,940.0,1405.0,1087.0,552.0,463.0,923.0,892.0,341.0,1059.0,956.0,540.0,994.0,640.0,980.0,665.0
622.0,459.0,1166.0,355.0,269.0,1477.0,615.0,1451.0,1209.0,108.0,698.0,494.0,663.0,536.0,1434.0,796.0,107.0,565.0,1410.0,941.0,860.0,604.0,253.0,102.0,1150.0
