targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,0.0,10.0,10.0,1.787321063394683
7.1,10.0,0.0,10.0,10.0,1.8876889848812095
7.2,10.0,0.0,10.0,10.0,2.013824884792627
7.3,10.0,0.0,10.0,10.0,2.1474201474201475
7.4,10.0,0.0,10.0,10.0,2.3060686015831133
7.5,10.0,0.0,10.0,10.0,2.4829545454545454
7.6,10.0,0.0,10.0,10.0,2.6809815950920246
7.7,10.0,0.0,10.0,10.0,2.9829351535836177
7.8,10.0,0.0,10.0,10.0,3.32319391634981
7.9,10.0,0.0,10.0,10.0,3.581967213114754
8.0,10.4,1.9595917942265417,20.0,10.0,3.9547511312217196
8.1,11.6,3.6660605559646724,20.0,10.0,5.141176470588236
8.2,12.0,4.0,20.0,10.0,5.75
8.3,12.4,4.270831300812524,20.0,10.0,6.67175572519084
8.4,13.2,4.664761515876241,20.0,10.0,8.16822429906542
8.5,14.8,7.547184905645283,30.0,10.0,8.918367346938776
8.6,17.2,8.726969691708572,40.0,10.0,11.653333333333334
8.7,20.4,13.994284547628718,60.0,10.0,15.607142857142858
8.8,21.2,15.051910177781421,60.0,10.0,18.595744680851062
8.9,22.4,15.041276541570534,60.0,10.0,23.62162162162162
9.0,24.8,15.522886329545802,60.0,10.0,27.3125
9.1,28.4,17.590906741836818,70.0,10.0,39.72727272727273
9.2,31.6,18.906083676954363,80.0,10.0,51.411764705882355
9.3,34.0,19.79898987322333,80.0,10.0,58.266666666666666
9.4,48.4,24.278385448789628,100.0,10.0,124.85714285714286
9.5,48.4,24.278385448789628,100.0,10.0,124.85714285714286
9.6,50.4,25.374002443445928,110.0,10.0,218.5
9.7,116.4,58.301286435206556,220.0,10.0,437.0
9.8,116.4,58.301286435206556,220.0,10.0,437.0
9.9,116.4,58.301286435206556,220.0,10.0,437.0
10.0,116.4,58.301286435206556,220.0,10.0,437.0
10.1,116.4,58.301286435206556,220.0,10.0,437.0
10.2,116.4,58.301286435206556,220.0,10.0,437.0
10.3,116.4,58.301286435206556,220.0,10.0,437.0
10.4,116.4,58.301286435206556,220.0,10.0,437.0
10.5,116.4,58.301286435206556,220.0,10.0,437.0
10.6,116.4,58.301286435206556,220.0,10.0,437.0
10.7,116.4,58.301286435206556,220.0,10.0,437.0
10.8,116.4,58.301286435206556,220.0,10.0,437.0
10.9,116.4,58.301286435206556,220.0,10.0,437.0
11.0,116.4,58.301286435206556,220.0,10.0,437.0
11.0,116.4,58.301286435206556,220.0,10.0,437.0
