targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,38.4,50.65017275390084,150.0,10.0,9.403409090909092
7.1,38.8,50.46345212131252,150.0,10.0,10.216049382716049
7.2,40.0,50.19960159204453,150.0,10.0,11.335616438356164
7.3,40.4,49.99839997439919,150.0,10.0,12.443609022556391
7.4,40.4,49.99839997439919,150.0,10.0,13.24
7.5,40.8,49.793172222705394,150.0,10.0,14.776785714285714
7.6,42.0,49.15282290977803,150.0,10.0,16.717171717171716
7.7,42.4,48.93097178679369,150.0,10.0,17.795698924731184
7.8,43.2,48.47432309996705,150.0,10.0,21.776315789473685
7.9,43.6,48.32225160316931,150.0,10.0,23.642857142857142
8.0,44.8,47.92661056240051,150.0,10.0,24.70149253731343
8.1,46.0,47.24404724407086,150.0,10.0,29.553571428571427
8.2,46.0,47.24404724407086,150.0,10.0,31.826923076923077
8.3,46.8,46.96551926679827,150.0,10.0,33.775510204081634
8.4,47.2,46.86320518274437,150.0,10.0,37.61363636363637
8.5,48.0,48.662100242385755,160.0,10.0,40.36585365853659
8.6,49.6,48.03998334720779,160.0,10.0,48.6764705882353
8.7,55.6,45.963463751114325,160.0,10.0,66.2
8.8,59.2,44.17420061529127,160.0,10.0,78.80952380952381
8.9,59.6,43.86160051799297,160.0,10.0,91.94444444444444
9.0,69.6,44.58519933789687,160.0,10.0,127.3076923076923
9.1,69.6,44.58519933789687,160.0,10.0,127.3076923076923
9.2,69.6,44.58519933789687,160.0,10.0,150.45454545454547
9.3,69.6,44.58519933789687,160.0,10.0,165.5
9.4,69.6,44.58519933789687,160.0,10.0,165.5
9.5,160.0,108.40664186294121,310.0,10.0,236.42857142857142
9.6,160.0,108.40664186294121,310.0,10.0,236.42857142857142
9.7,160.0,108.40664186294121,310.0,10.0,236.42857142857142
9.8,160.0,108.40664186294121,310.0,10.0,236.42857142857142
9.9,160.4,107.94368902349039,310.0,10.0,275.8333333333333
10.0,160.4,107.94368902349039,310.0,10.0,331.0
10.1,162.4,106.55627621121154,310.0,20.0,551.6666666666666
10.2,162.4,106.55627621121154,310.0,20.0,551.6666666666666
10.3,162.4,106.55627621121154,310.0,20.0,551.6666666666666
10.4,162.4,106.55627621121154,310.0,20.0,551.6666666666666
10.5,162.4,106.55627621121154,310.0,20.0,551.6666666666666
10.6,285.6,140.2306671167188,430.0,20.0,827.5
10.7,285.6,140.2306671167188,430.0,20.0,827.5
10.8,285.6,140.2306671167188,430.0,20.0,827.5
10.9,285.6,140.2306671167188,430.0,20.0,827.5
11.0,285.6,140.2306671167188,430.0,20.0,827.5
11.100000000000001,285.6,140.2306671167188,430.0,20.0,827.5
11.2,285.6,140.2306671167188,430.0,20.0,827.5
11.221848749616356,285.6,140.2306671167188,430.0,20.0,827.5
