run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1242.0,3683.0,2316.0,2188.0,2378.0,2882.0,3036.0,109.0,2299.0,2526.0,648.0,1867.0,3101.0,1714.0,1496.0,8.0,627.0,2543.0,1403.0,3355.0,447.0,2732.0,798.0,3282.0,1277.0
1581.0,2576.0,2444.0,1151.0,772.0,2992.0,2604.0,2940.0,2099.0,580.0,2921.0,1204.0,1870.0,18.0,137.0,1279.0,2686.0,3835.0,2802.0,1645.0,2428.0,1843.0,425.0,932.0,3078.0
2487.0,1584.0,2303.0,719.0,476.0,3390.0,3488.0,603.0,1274.0,3272.0,2064.0,1364.0,362.0,1827.0,1223.0,3442.0,2304.0,2591.0,2739.0,2696.0,1346.0,351.0,196.0,1423.0,3368.0
3035.0,3772.0,1739.0,2704.0,1421.0,2791.0,313.0,1275.0,124.0,2325.0,3452.0,985.0,1881.0,230.0,2441.0,1065.0,1470.0,2905.0,3207.0,3410.0,3212.0,258.0,912.0,786.0,2220.0
2628.0,2776.0,1732.0,173.0,1229.0,2835.0,2198.0,3163.0,3084.0,104.0,912.0,162.0,2448.0,3092.0,2614.0,1093.0,3416.0,805.0,1421.0,2537.0,2995.0,1362.0,2940.0,152.0,641.0
502.0,3201.0,964.0,3566.0,1725.0,3361.0,1700.0,2954.0,557.0,863.0,2603.0,2658.0,2922.0,3610.0,2812.0,1217.0,1085.0,3702.0,1196.0,1099.0,1676.0,715.0,711.0,2616.0,1133.0
2600.0,3020.0,3485.0,1756.0,491.0,1071.0,102.0,1942.0,790.0,663.0,1156.0,3209.0,2347.0,1022.0,2351.0,2824.0,3334.0,3794.0,3619.0,1560.0,644.0,3208.0,3225.0,1120.0,1621.0
88.0,2744.0,3656.0,1958.0,2343.0,3771.0,739.0,653.0,1853.0,1953.0,2728.0,2798.0,433.0,2385.0,511.0,3091.0,3207.0,1004.0,1159.0,274.0,2683.0,2613.0,3357.0,631.0,131.0
2367.0,994.0,294.0,2553.0,1490.0,3488.0,2566.0,668.0,1377.0,225.0,1003.0,1278.0,791.0,3464.0,2610.0,3590.0,1472.0,1805.0,1694.0,2325.0,1907.0,1070.0,1357.0,183.0,302.0
2992.0,3054.0,1873.0,1992.0,1171.0,1271.0,3638.0,2905.0,3463.0,1074.0,2683.0,1391.0,231.0,3130.0,3817.0,804.0,2401.0,3074.0,949.0,1527.0,989.0,430.0,3785.0,1305.0,3432.0
2314.0,1959.0,673.0,1922.0,1883.0,2551.0,2584.0,3074.0,1551.0,1728.0,3093.0,1683.0,1124.0,1887.0,1317.0,3551.0,475.0,2858.0,230.0,3779.0,3013.0,2314.0,2518.0,2202.0,315.0
697.0,52.0,1136.0,1551.0,1426.0,139.0,2165.0,3016.0,802.0,2883.0,1732.0,1663.0,1276.0,1552.0,341.0,3413.0,770.0,1554.0,2694.0,615.0,1316.0,697.0,2016.0,2077.0,2820.0
1797.0,2561.0,2518.0,3855.0,2355.0,2580.0,1883.0,172.0,2931.0,1807.0,672.0,1847.0,2248.0,3748.0,449.0,697.0,3356.0,3264.0,806.0,697.0,1426.0,845.0,64.0,2165.0,2549.0
2320.0,588.0,1332.0,1671.0,1776.0,3241.0,3263.0,791.0,1922.0,22.0,1332.0,3667.0,2970.0,2014.0,3556.0,2703.0,3355.0,2164.0,3265.0,1096.0,2813.0,48.0,344.0,2584.0,3143.0
585.0,3465.0,335.0,697.0,3817.0,3626.0,1420.0,790.0,845.0,487.0,48.0,3082.0,845.0,122.0,3232.0,880.0,874.0,238.0,1818.0,1824.0,1535.0,2023.0,305.0,1883.0,3595.0
465.0,2138.0,812.0,1921.0,1435.0,315.0,1086.0,3415.0,697.0,1954.0,2269.0,3542.0,350.0,3678.0,1021.0,3554.0,855.0,2204.0,432.0,1832.0,3231.0,585.0,1071.0,3260.0,242.0
2063.0,1252.0,2269.0,615.0,3501.0,2579.0,2167.0,1965.0,1921.0,3279.0,2863.0,1060.0,936.0,123.0,448.0,1020.0,2122.0,2860.0,2201.0,3855.0,3414.0,1936.0,3121.0,1420.0,1154.0
548.0,3464.0,119.0,3779.0,890.0,768.0,3260.0,2540.0,2355.0,335.0,119.0,1329.0,671.0,3265.0,2832.0,1426.0,3728.0,391.0,2203.0,2684.0,882.0,3481.0,1935.0,2201.0,2542.0
2689.0,3080.0,2863.0,3205.0,1076.0,2420.0,2615.0,3220.0,1265.0,2882.0,853.0,2570.0,1596.0,1214.0,340.0,2111.0,3027.0,1888.0,2219.0,605.0,898.0,1829.0,3175.0,2857.0,2791.0
2544.0,128.0,3578.0,2314.0,1285.0,1280.0,2583.0,3086.0,1076.0,163.0,3578.0,3649.0,1095.0,3814.0,3552.0,1535.0,122.0,3184.0,3546.0,1710.0,3553.0,119.0,3481.0,2167.0,2837.0
463.0,2043.0,2016.0,3417.0,1403.0,1535.0,631.0,621.0,306.0,1742.0,1419.0,3205.0,201.0,391.0,,2812.0,466.0,1552.0,120.0,1849.0,3552.0,2863.0,2843.0,2200.0,1317.0
569.0,2556.0,853.0,2740.0,3457.0,2111.0,959.0,3106.0,2020.0,1665.0,2198.0,3815.0,2518.0,3457.0,,3552.0,798.0,230.0,631.0,79.0,2810.0,63.0,2952.0,3341.0,1806.0
2827.0,2021.0,679.0,2133.0,2575.0,448.0,1088.0,2476.0,2842.0,499.0,1095.0,3779.0,1041.0,3264.0,,898.0,1664.0,2585.0,697.0,97.0,1019.0,64.0,488.0,391.0,341.0
759.0,741.0,2318.0,717.0,1247.0,339.0,121.0,1139.0,2050.0,2911.0,2165.0,67.0,3578.0,3184.0,,3013.0,1944.0,1418.0,2314.0,3070.0,2811.0,2952.0,2953.0,3264.0,3232.0
1120.0,1404.0,586.0,3416.0,2580.0,1425.0,3466.0,2249.0,801.0,3702.0,2584.0,1291.0,788.0,1421.0,,2810.0,1508.0,3265.0,2585.0,986.0,3551.0,671.0,772.0,3184.0,139.0
3460.0,562.0,48.0,3435.0,757.0,2832.0,1885.0,3577.0,800.0,1744.0,350.0,3855.0,1732.0,3263.0,,2831.0,1639.0,3263.0,3260.0,118.0,1425.0,3578.0,1273.0,1887.0,3626.0
464.0,2536.0,571.0,3578.0,3129.0,2837.0,46.0,3330.0,591.0,845.0,3341.0,697.0,1155.0,45.0,,3240.0,928.0,1086.0,1087.0,3360.0,3413.0,344.0,2955.0,1004.0,3554.0
3080.0,1157.0,2078.0,2132.0,3482.0,304.0,3186.0,1512.0,2015.0,1955.0,2248.0,615.0,787.0,2203.0,,882.0,1016.0,2198.0,1922.0,714.0,1317.0,3175.0,1641.0,238.0,3556.0
457.0,2562.0,2823.0,1731.0,1842.0,292.0,2077.0,1065.0,3482.0,1732.0,1276.0,2011.0,1136.0,1087.0,,1806.0,1313.0,2013.0,2166.0,435.0,2111.0,1935.0,345.0,230.0,3413.0
2138.0,1587.0,3275.0,1625.0,0.0,2549.0,1419.0,724.0,3447.0,3398.0,3153.0,1754.0,3221.0,2575.0,,3556.0,777.0,1887.0,1086.0,1787.0,1021.0,2038.0,1956.0,1088.0,2832.0
462.0,1496.0,715.0,972.0,2616.0,1021.0,45.0,2057.0,799.0,488.0,201.0,2693.0,1921.0,731.0,,,431.0,2583.0,2164.0,10.0,,2518.0,1776.0,548.0,2813.0
1798.0,2235.0,3120.0,1152.0,1045.0,882.0,760.0,2636.0,3481.0,763.0,1041.0,1755.0,3538.0,121.0,,,1922.0,125.0,1552.0,80.0,,2607.0,1642.0,3265.0,1316.0
3628.0,3365.0,64.0,2320.0,1766.0,3413.0,3620.0,789.0,772.0,1447.0,1087.0,2363.0,1551.0,2166.0,,,1734.0,1087.0,3262.0,229.0,,853.0,2565.0,3263.0,3553.0
571.0,1405.0,1069.0,201.0,2860.0,1317.0,1087.0,3105.0,798.0,1615.0,45.0,524.0,1042.0,2583.0,,,368.0,3186.0,391.0,3062.0,,2608.0,2564.0,1419.0,1020.0
466.0,3129.0,3121.0,1531.0,742.0,1316.0,2585.0,3107.0,2930.0,1161.0,787.0,525.0,1922.0,1884.0,,,1258.0,2203.0,392.0,3065.0,,1136.0,428.0,1421.0,1019.0
3270.0,2343.0,3175.0,2634.0,2013.0,2078.0,3265.0,1910.0,3332.0,63.0,2202.0,904.0,3096.0,1553.0,,,3429.0,2012.0,1418.0,474.0,,670.0,343.0,1554.0,1535.0
2558.0,1045.0,2023.0,1732.0,852.0,3594.0,120.0,3117.0,671.0,64.0,2077.0,3536.0,63.0,959.0,,,3629.0,3262.0,2014.0,3525.0,,2777.0,2759.0,2858.0,1426.0
