targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,0.0,10.0,10.0,2.117424242424242
7.1,10.0,0.0,10.0,10.0,2.198314606741573
7.2,10.0,0.0,10.0,10.0,2.257934218118869
7.3,10.0,0.0,10.0,10.0,2.3686440677966103
7.4,10.0,0.0,10.0,10.0,2.4718888186986736
7.5,10.0,0.0,10.0,10.0,2.5392602206359505
7.6,10.0,0.0,10.0,10.0,2.6403508771929824
7.7,10.0,0.0,10.0,10.0,2.787037037037037
7.8,10.0,0.0,10.0,10.0,2.904974016332591
7.9,10.0,0.0,10.0,10.0,3.0356865787432117
8.0,10.0,0.0,10.0,10.0,3.140449438202247
8.1,10.0,0.0,10.0,10.0,3.3530419880034277
8.2,10.0,0.0,10.0,10.0,3.5
8.3,10.4,1.9595917942265417,20.0,10.0,3.6880301602262016
8.4,10.4,1.9595917942265417,20.0,10.0,4.0215827338129495
8.5,10.4,1.9595917942265417,20.0,10.0,4.185026737967914
8.6,10.4,1.9595917942265417,20.0,10.0,4.636255924170616
8.7,10.8,2.7129319932501073,20.0,10.0,5.367626886145405
8.8,10.8,2.7129319932501073,20.0,10.0,5.797037037037037
8.9,10.8,2.7129319932501073,20.0,10.0,6.201267828843106
9.0,10.8,2.7129319932501073,20.0,10.0,6.532554257095159
9.1,12.0,4.0,20.0,10.0,7.905050505050505
9.2,12.0,4.0,20.0,10.0,8.753914988814318
9.3,12.4,4.270831300812524,20.0,10.0,10.007672634271099
9.4,14.0,6.324555320336759,30.0,10.0,11.576923076923077
9.5,14.8,6.399999999999999,30.0,10.0,13.0
9.6,16.0,6.324555320336759,30.0,10.0,14.992337164750959
9.7,18.8,9.086253353280439,40.0,10.0,18.370892018779344
9.8,19.2,9.346657156438337,40.0,10.0,20.594736842105263
9.9,20.0,8.94427190999916,40.0,10.0,22.75
10.0,22.0,9.797958971132712,40.0,10.0,25.575163398692812
10.1,26.4,14.38888459888396,70.0,10.0,33.44444444444444
10.2,26.4,14.38888459888396,70.0,10.0,38.742574257425744
10.3,26.4,14.38888459888396,70.0,10.0,44.46590909090909
10.4,29.2,15.210522673465237,70.0,10.0,61.140625
10.5,29.6,15.094369811290562,70.0,10.0,69.875
10.6,39.2,30.714166112723937,130.0,10.0,83.25531914893617
10.7,97.2,89.77839383727022,280.0,10.0,134.93103448275863
10.8,98.4,90.09683679242018,280.0,10.0,144.92592592592592
10.9,132.0,114.0175425099138,410.0,10.0,177.86363636363637
11.0,132.0,114.0175425099138,410.0,10.0,205.94736842105263
11.100000000000001,136.0,115.41230437002807,420.0,10.0,355.72727272727275
11.2,137.6,115.76804394996057,420.0,10.0,434.77777777777777
11.3,138.0,115.34296684236972,420.0,10.0,489.125
11.39794001,279.6,274.9469767064188,1360.0,20.0,978.25
