targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,0.0,10.0,10.0,2.1475501113585747
7.1,10.0,0.0,10.0,10.0,2.226905311778291
7.2,10.0,0.0,10.0,10.0,2.289020771513353
7.3,10.0,0.0,10.0,10.0,2.4046134663341645
7.4,10.0,0.0,10.0,10.0,2.512703583061889
7.5,10.0,0.0,10.0,10.0,2.5833891493636973
7.6,10.0,0.0,10.0,10.0,2.685933147632312
7.7,10.0,0.0,10.0,10.0,2.836029411764706
7.8,10.0,0.0,10.0,10.0,2.9578220858895707
7.9,10.0,0.0,10.0,10.0,3.090544871794872
8.0,10.0,0.0,10.0,10.0,3.1981757877280264
8.1,10.0,0.0,10.0,10.0,3.40423654015887
8.2,10.0,0.0,10.0,10.0,3.5581180811808117
8.3,10.0,0.0,10.0,10.0,3.748299319727891
8.4,10.0,0.0,10.0,10.0,4.0814814814814815
8.5,10.0,0.0,10.0,10.0,4.252480705622933
8.6,11.6,5.425863986500212,30.0,10.0,4.7094017094017095
8.7,13.2,6.764613810115105,30.0,10.0,5.432394366197183
8.8,13.2,6.764613810115105,30.0,10.0,5.879573170731708
8.9,13.2,6.764613810115105,30.0,10.0,6.2920065252854815
9.0,13.2,6.764613810115105,30.0,10.0,6.63855421686747
9.1,14.4,10.22936948203554,50.0,10.0,7.9855072463768115
9.2,15.6,10.613199329137283,50.0,10.0,8.826086956521738
9.3,16.8,13.481839637082171,70.0,10.0,10.123359580052494
9.4,16.8,13.481839637082171,70.0,10.0,11.652567975830816
9.5,18.0,18.547236990991408,100.0,10.0,13.119047619047619
9.6,24.0,22.80350850198276,100.0,10.0,15.18503937007874
9.7,26.4,22.606193841511658,100.0,10.0,18.723300970873787
9.8,30.4,23.745315327449322,100.0,10.0,21.07650273224044
9.9,30.8,23.481056194302667,100.0,10.0,23.095808383233532
10.0,34.8,29.13691816235891,120.0,10.0,26.06081081081081
10.1,38.8,30.895954427724018,120.0,10.0,33.833333333333336
10.2,43.6,29.241067011995295,120.0,10.0,39.357142857142854
10.3,49.2,33.93169609671759,140.0,10.0,45.37647058823529
10.4,66.0,55.71355310873648,260.0,10.0,63.22950819672131
10.5,87.6,106.06714854279815,480.0,10.0,72.77358490566037
10.6,112.4,113.21766646597167,480.0,10.0,85.71111111111111
10.7,169.6,135.454198901326,530.0,10.0,137.75
10.8,179.6,138.4912993657002,530.0,10.0,148.34615384615384
10.9,202.8,153.76657634219472,530.0,10.0,183.66666666666666
11.0,254.4,186.48495917901795,760.0,10.0,214.27777777777777
11.100000000000001,459.2,400.39900099775474,1740.0,10.0,385.7
11.2,517.2,455.67988764043554,2010.0,10.0,482.125
11.3,553.2,487.23480992227974,2010.0,10.0,551.0
11.39794001,956.4,904.1189302298676,3310.0,10.0,964.25
