run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1480.0,1703.0,241.0,168.0,1379.0,1065.0,1120.0,882.0,849.0,1446.0,1126.0,952.0,1486.0,227.0,1123.0,897.0,1167.0,947.0,675.0,1312.0,250.0,1246.0,1044.0,1514.0,1594.0
1342.0,1584.0,1238.0,957.0,916.0,386.0,338.0,1710.0,926.0,745.0,963.0,188.0,1289.0,167.0,637.0,1560.0,1549.0,1123.0,484.0,1647.0,1494.0,1224.0,1099.0,946.0,604.0
881.0,47.0,1521.0,1221.0,362.0,1283.0,1307.0,756.0,720.0,478.0,1386.0,93.0,1402.0,578.0,105.0,42.0,1025.0,1734.0,598.0,466.0,694.0,142.0,1366.0,368.0,320.0
1748.0,304.0,1220.0,1449.0,88.0,141.0,571.0,1236.0,718.0,1715.0,1272.0,632.0,465.0,1305.0,644.0,1612.0,1349.0,280.0,371.0,1044.0,115.0,717.0,558.0,25.0,903.0
1128.0,534.0,1536.0,1157.0,333.0,236.0,60.0,1077.0,1091.0,510.0,903.0,246.0,668.0,1297.0,727.0,1080.0,142.0,1321.0,896.0,1187.0,1470.0,714.0,1507.0,783.0,469.0
217.0,1045.0,541.0,1653.0,544.0,661.0,1064.0,739.0,1374.0,486.0,230.0,82.0,593.0,330.0,451.0,1500.0,284.0,979.0,1517.0,1158.0,1645.0,966.0,739.0,745.0,1262.0
914.0,48.0,922.0,371.0,1596.0,1581.0,224.0,1098.0,393.0,1073.0,379.0,835.0,1320.0,201.0,453.0,632.0,1044.0,1205.0,360.0,1496.0,1652.0,1385.0,1510.0,2.0,285.0
141.0,1586.0,1366.0,533.0,1614.0,992.0,867.0,1249.0,312.0,426.0,1608.0,42.0,1609.0,295.0,594.0,1414.0,1593.0,58.0,957.0,120.0,454.0,1066.0,1460.0,1687.0,1470.0
1662.0,302.0,1008.0,1547.0,518.0,388.0,758.0,71.0,1289.0,166.0,1737.0,1377.0,1051.0,731.0,1653.0,1571.0,242.0,441.0,707.0,1708.0,1698.0,711.0,1027.0,331.0,1502.0
175.0,1229.0,508.0,833.0,1098.0,1280.0,1699.0,888.0,1279.0,1213.0,1195.0,336.0,425.0,883.0,410.0,1663.0,1095.0,1438.0,712.0,123.0,257.0,336.0,1052.0,95.0,1182.0
539.0,1010.0,1609.0,375.0,368.0,360.0,524.0,1010.0,421.0,437.0,1465.0,1706.0,323.0,539.0,1560.0,1409.0,591.0,1472.0,481.0,1430.0,1582.0,539.0,434.0,957.0,883.0
200.0,505.0,434.0,481.0,1668.0,1464.0,1616.0,687.0,1470.0,1651.0,1706.0,883.0,144.0,1706.0,1483.0,1706.0,554.0,1714.0,375.0,1633.0,1495.0,1683.0,975.0,798.0,1464.0
1684.0,1463.0,89.0,1534.0,1469.0,505.0,1608.0,1661.0,1464.0,1463.0,883.0,1464.0,1598.0,1473.0,1599.0,1429.0,665.0,540.0,376.0,975.0,1678.0,1478.0,849.0,1005.0,1706.0
1630.0,1662.0,691.0,1533.0,1494.0,1010.0,1524.0,170.0,226.0,68.0,1429.0,505.0,732.0,1686.0,1598.0,1598.0,525.0,727.0,1533.0,1642.0,1467.0,1464.0,1421.0,1209.0,67.0
568.0,973.0,232.0,1410.0,965.0,1632.0,481.0,505.0,524.0,1680.0,1472.0,1718.0,733.0,1684.0,144.0,883.0,1621.0,228.0,1524.0,1706.0,1501.0,193.0,1209.0,196.0,1465.0
352.0,664.0,1142.0,1611.0,1590.0,1706.0,360.0,310.0,1472.0,574.0,985.0,1010.0,566.0,193.0,541.0,664.0,522.0,728.0,1678.0,1209.0,64.0,1010.0,1742.0,964.0,170.0
193.0,94.0,435.0,1465.0,933.0,1408.0,375.0,1464.0,1433.0,1142.0,975.0,1465.0,418.0,568.0,1474.0,144.0,1534.0,1470.0,1495.0,170.0,481.0,1684.0,1642.0,1412.0,1590.0
1683.0,310.0,1495.0,331.0,245.0,1718.0,1678.0,1212.0,1415.0,545.0,1463.0,855.0,594.0,70.0,1484.0,1464.0,1429.0,1406.0,331.0,849.0,598.0,70.0,364.0,65.0,312.0
351.0,1409.0,1414.0,1694.0,1673.0,883.0,318.0,1144.0,883.0,798.0,849.0,985.0,1484.0,1719.0,807.0,1465.0,1716.0,320.0,1694.0,964.0,89.0,853.0,971.0,735.0,1463.0
70.0,1616.0,1462.0,376.0,367.0,310.0,1470.0,1706.0,1706.0,1465.0,1410.0,1429.0,826.0,1412.0,1616.0,855.0,321.0,1717.0,435.0,1409.0,435.0,1465.0,725.0,848.0,800.0
1478.0,1437.0,1494.0,1524.0,66.0,1415.0,1730.0,92.0,168.0,800.0,309.0,310.0,734.0,1687.0,734.0,594.0,1713.0,1480.0,1713.0,1646.0,1533.0,1476.0,1688.0,480.0,313.0
1476.0,1696.0,375.0,1349.0,624.0,1429.0,1533.0,985.0,985.0,1590.0,1651.0,168.0,1482.0,966.0,1415.0,1482.0,481.0,427.0,1349.0,1478.0,375.0,1412.0,65.0,881.0,1430.0
853.0,985.0,1524.0,1453.0,311.0,67.0,1639.0,1748.0,1465.0,308.0,1590.0,1415.0,229.0,881.0,1482.0,1474.0,1465.0,1408.0,64.0,1466.0,1349.0,351.0,1213.0,200.0,1478.0
1464.0,1415.0,506.0,1609.0,375.0,985.0,480.0,1590.0,1478.0,1464.0,568.0,1463.0,1616.0,1721.0,1601.0,1484.0,1680.0,56.0,1453.0,1683.0,1524.0,352.0,574.0,966.0,985.0
1463.0,434.0,1616.0,1532.0,985.0,1430.0,376.0,1633.0,1430.0,1443.0,881.0,67.0,322.0,853.0,1497.0,1437.0,957.0,335.0,1534.0,193.0,1639.0,1463.0,89.0,568.0,1415.0
1347.0,730.0,1725.0,1713.0,203.0,168.0,957.0,1430.0,1463.0,67.0,853.0,1590.0,1600.0,198.0,1561.0,1656.0,985.0,978.0,1640.0,664.0,1694.0,309.0,504.0,198.0,589.0
309.0,1464.0,337.0,330.0,1652.0,1463.0,1349.0,142.0,1429.0,170.0,1476.0,556.0,1439.0,1708.0,732.0,1696.0,1533.0,1631.0,1611.0,351.0,1453.0,1347.0,232.0,1708.0,1591.0
1648.0,437.0,1696.0,1608.0,1419.0,1485.0,1453.0,800.0,67.0,1495.0,437.0,506.0,1560.0,200.0,1481.0,1483.0,375.0,1597.0,1501.0,1437.0,376.0,568.0,1142.0,433.0,1185.0
985.0,1429.0,1437.0,1640.0,1211.0,1465.0,1583.0,313.0,310.0,735.0,200.0,800.0,541.0,963.0,146.0,541.0,376.0,1643.0,1566.0,352.0,147.0,1648.0,691.0,963.0,556.0
1465.0,143.0,598.0,1566.0,1648.0,800.0,1611.0,1527.0,437.0,1413.0,1707.0,1576.0,1599.0,1630.0,1600.0,1497.0,166.0,1502.0,330.0,963.0,1713.0,1630.0,1005.0,323.0,1648.0
1686.0,1460.0,1730.0,1730.0,1639.0,142.0,,312.0,142.0,1648.0,1473.0,1651.0,1479.0,433.0,323.0,232.0,1532.0,1697.0,867.0,313.0,1566.0,1724.0,1495.0,,437.0
1473.0,1465.0,480.0,1678.0,376.0,312.0,,68.0,1683.0,1145.0,1719.0,437.0,1412.0,1476.0,826.0,849.0,1453.0,1741.0,1725.0,234.0,957.0,1721.0,435.0,,1679.0
1720.0,1651.0,1656.0,1501.0,1349.0,313.0,,1648.0,170.0,600.0,1684.0,94.0,1720.0,504.0,1439.0,73.0,331.0,848.0,1462.0,1476.0,1611.0,1473.0,1501.0,,1683.0
1719.0,725.0,1670.0,1725.0,1534.0,1648.0,,1185.0,589.0,366.0,480.0,1648.0,1473.0,1724.0,593.0,1440.0,480.0,1409.0,1730.0,1347.0,1534.0,1687.0,1678.0,,1429.0
422.0,168.0,1639.0,598.0,1533.0,589.0,,1591.0,800.0,167.0,539.0,167.0,555.0,813.0,229.0,1689.0,1694.0,1146.0,1608.0,1696.0,1725.0,1719.0,798.0,,142.0
1721.0,1622.0,376.0,1462.0,481.0,964.0,,589.0,1648.0,232.0,1686.0,1581.0,437.0,196.0,566.0,1599.0,1524.0,1010.0,1609.0,1428.0,1461.0,528.0,1414.0,,168.0
963.0,232.0,957.0,226.0,1524.0,1590.0,,168.0,1651.0,1430.0,70.0,589.0,146.0,968.0,733.0,691.0,1640.0,980.0,1532.0,309.0,1681.0,881.0,64.0,,310.0
1687.0,68.0,1533.0,64.0,1730.0,849.0,,1593.0,1590.0,1461.0,1683.0,696.0,568.0,309.0,860.0,1638.0,1609.0,664.0,89.0,736.0,307.0,200.0,735.0,,1651.0
731.0,362.0,1497.0,1639.0,1713.0,1591.0,,67.0,313.0,1185.0,1630.0,1747.0,1685.0,225.0,418.0,145.0,867.0,315.0,1639.0,1648.0,1646.0,1720.0,1622.0,,309.0
1412.0,1416.0,594.0,1415.0,1453.0,1638.0,,221.0,1185.0,221.0,1720.0,1430.0,1465.0,63.0,555.0,89.0,1639.0,695.0,1142.0,1495.0,1496.0,1708.0,88.0,,1476.0
