targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,0.0,10.0,10.0,2.2493573264781492
7.1,10.0,0.0,10.0,10.0,2.2786458333333335
7.2,10.0,0.0,10.0,10.0,2.339572192513369
7.3,10.0,0.0,10.0,10.0,2.400548696844993
7.4,10.0,0.0,10.0,10.0,2.433936022253129
7.5,10.0,0.0,10.0,10.0,2.482269503546099
7.6,10.0,0.0,10.0,10.0,2.5510204081632653
7.7,10.0,0.0,10.0,10.0,2.6041666666666665
7.8,10.0,0.0,10.0,10.0,2.675840978593272
7.9,10.0,0.0,10.0,10.0,2.7386541471048513
8.0,10.0,0.0,10.0,10.0,2.7821939586645468
8.1,10.0,0.0,10.0,10.0,2.8548123980424145
8.2,10.0,0.0,10.0,10.0,2.8973509933774833
8.3,10.0,0.0,10.0,10.0,2.956081081081081
8.4,10.0,0.0,10.0,10.0,3.0381944444444446
8.5,10.0,0.0,10.0,10.0,3.1531531531531534
8.6,10.0,0.0,10.0,10.0,3.3081285444234405
8.7,10.0,0.0,10.0,10.0,3.593429158110883
8.8,10.0,0.0,10.0,10.0,3.977272727272727
8.9,10.0,0.0,10.0,10.0,4.3424317617866
9.0,10.4,1.9595917942265417,20.0,10.0,4.985754985754986
9.1,10.8,2.7129319932501073,20.0,10.0,6.18374558303887
9.2,11.2,3.249615361854384,20.0,10.0,8.064516129032258
9.3,12.8,4.489988864128731,20.0,10.0,10.115606936416185
9.4,16.0,8.0,40.0,10.0,12.681159420289855
9.5,18.4,11.551623262554921,60.0,10.0,15.486725663716815
9.6,20.4,13.705473359209451,70.0,10.0,19.886363636363637
9.7,28.4,22.57077756746541,100.0,10.0,29.166666666666668
9.8,36.0,28.0,120.0,10.0,44.87179487179487
9.9,48.4,35.74129264590189,130.0,10.0,67.3076923076923
10.0,53.6,41.94091081509794,160.0,10.0,76.08695652173913
10.1,122.8,92.80172412191487,410.0,10.0,145.83333333333334
10.2,177.6,150.47338635120832,690.0,10.0,218.75
10.3,334.4,293.040338520143,1080.0,20.0,350.0
10.3767507096021,882.4,493.02559771273525,1650.0,160.0,875.0
