run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1480.0,1703.0,241.0,168.0,1379.0,1065.0,1120.0,882.0,849.0,1446.0,1126.0,952.0,1486.0,227.0,1123.0,897.0,1167.0,947.0,675.0,1312.0,250.0,1246.0,1044.0,1514.0,1594.0
1342.0,1584.0,1238.0,957.0,916.0,386.0,338.0,1710.0,926.0,745.0,963.0,188.0,1289.0,167.0,637.0,1560.0,1549.0,1123.0,484.0,1647.0,1494.0,1224.0,1099.0,946.0,604.0
881.0,47.0,1521.0,1221.0,362.0,1283.0,1307.0,756.0,720.0,478.0,1386.0,93.0,1402.0,578.0,105.0,42.0,1025.0,1734.0,598.0,466.0,694.0,142.0,1366.0,368.0,320.0
1748.0,304.0,1220.0,1449.0,88.0,141.0,571.0,1236.0,718.0,1715.0,1272.0,632.0,465.0,1305.0,644.0,1612.0,1349.0,280.0,371.0,1044.0,115.0,717.0,558.0,25.0,903.0
1128.0,534.0,1536.0,1157.0,333.0,236.0,60.0,1077.0,1091.0,510.0,903.0,246.0,668.0,1297.0,727.0,1080.0,142.0,1321.0,896.0,1187.0,1470.0,714.0,1507.0,783.0,469.0
217.0,1045.0,541.0,1653.0,544.0,661.0,1064.0,739.0,1374.0,486.0,230.0,82.0,593.0,330.0,451.0,1500.0,284.0,979.0,1517.0,1158.0,1645.0,966.0,739.0,745.0,1262.0
914.0,48.0,922.0,371.0,1596.0,1581.0,224.0,1098.0,393.0,1073.0,379.0,835.0,1320.0,201.0,453.0,632.0,1044.0,1205.0,360.0,1496.0,1652.0,1385.0,1510.0,2.0,285.0
141.0,1586.0,1366.0,533.0,1614.0,992.0,867.0,1249.0,312.0,426.0,1608.0,42.0,1609.0,295.0,594.0,1414.0,1593.0,58.0,957.0,120.0,454.0,1066.0,1460.0,1687.0,1470.0
1662.0,302.0,1008.0,1547.0,518.0,388.0,758.0,71.0,1289.0,166.0,1737.0,1377.0,1051.0,731.0,1653.0,1571.0,242.0,441.0,707.0,1708.0,1698.0,711.0,1027.0,331.0,1502.0
175.0,1229.0,508.0,833.0,1098.0,1280.0,1699.0,888.0,1279.0,1213.0,1195.0,336.0,425.0,883.0,410.0,1663.0,1095.0,1438.0,712.0,123.0,257.0,336.0,1052.0,95.0,1182.0
707.0,808.0,1412.0,52.0,235.0,1035.0,1672.0,251.0,1367.0,1434.0,1190.0,665.0,128.0,896.0,1417.0,724.0,17.0,989.0,646.0,1526.0,1425.0,378.0,550.0,14.0,1446.0
681.0,1034.0,1060.0,407.0,900.0,810.0,960.0,1593.0,1482.0,1242.0,1594.0,1456.0,1380.0,980.0,911.0,584.0,126.0,544.0,209.0,269.0,377.0,337.0,182.0,636.0,1560.0
984.0,138.0,1744.0,865.0,1200.0,1562.0,1268.0,737.0,1062.0,635.0,1280.0,742.0,799.0,805.0,578.0,407.0,262.0,1004.0,1281.0,576.0,860.0,739.0,304.0,186.0,319.0
1574.0,368.0,525.0,211.0,234.0,641.0,791.0,940.0,70.0,108.0,845.0,1684.0,765.0,655.0,321.0,113.0,1337.0,255.0,1666.0,1197.0,872.0,1251.0,226.0,586.0,1316.0
766.0,372.0,115.0,1673.0,1454.0,625.0,380.0,1235.0,705.0,494.0,1058.0,14.0,1476.0,1173.0,1602.0,479.0,982.0,969.0,561.0,1501.0,1313.0,1353.0,163.0,1613.0,131.0
184.0,147.0,190.0,1145.0,249.0,1440.0,1211.0,993.0,1234.0,238.0,334.0,1578.0,1454.0,947.0,247.0,1409.0,1355.0,910.0,223.0,587.0,851.0,169.0,247.0,428.0,612.0
698.0,1320.0,262.0,310.0,475.0,176.0,502.0,499.0,20.0,241.0,619.0,46.0,1046.0,771.0,836.0,1570.0,874.0,846.0,1370.0,1024.0,1569.0,102.0,1160.0,1272.0,332.0
638.0,40.0,1634.0,1573.0,1662.0,243.0,981.0,787.0,758.0,1195.0,172.0,672.0,1288.0,1735.0,739.0,117.0,144.0,1173.0,3.0,1203.0,1719.0,770.0,836.0,1063.0,1635.0
925.0,533.0,177.0,730.0,383.0,255.0,1302.0,643.0,46.0,1492.0,1607.0,1656.0,209.0,524.0,1082.0,434.0,602.0,1008.0,1720.0,842.0,1341.0,1014.0,679.0,302.0,3.0
859.0,517.0,213.0,1466.0,519.0,20.0,716.0,1005.0,1291.0,258.0,1638.0,740.0,967.0,250.0,1484.0,769.0,1585.0,1631.0,714.0,1523.0,312.0,1618.0,1311.0,1215.0,154.0
893.0,740.0,9.0,107.0,1357.0,1142.0,785.0,1016.0,359.0,168.0,1392.0,783.0,1371.0,858.0,1545.0,1733.0,492.0,1607.0,536.0,959.0,1189.0,1651.0,1423.0,710.0,353.0
503.0,1005.0,1142.0,954.0,257.0,537.0,1660.0,1037.0,1260.0,1040.0,116.0,306.0,1039.0,462.0,882.0,780.0,1612.0,642.0,337.0,1742.0,221.0,456.0,465.0,1441.0,1226.0
417.0,359.0,16.0,364.0,1311.0,619.0,1575.0,1719.0,1561.0,1350.0,833.0,549.0,1116.0,1349.0,973.0,631.0,1538.0,1585.0,229.0,1408.0,778.0,837.0,999.0,329.0,148.0
961.0,127.0,1372.0,884.0,1440.0,853.0,1422.0,1544.0,1391.0,520.0,1423.0,327.0,1680.0,631.0,1174.0,405.0,33.0,352.0,916.0,1597.0,1448.0,1510.0,1087.0,101.0,698.0
1125.0,1264.0,346.0,405.0,325.0,338.0,696.0,1533.0,1078.0,1223.0,1274.0,704.0,102.0,1512.0,361.0,1587.0,466.0,714.0,1553.0,933.0,620.0,442.0,1715.0,452.0,954.0
431.0,1384.0,972.0,379.0,1421.0,1438.0,171.0,1021.0,221.0,126.0,143.0,613.0,166.0,445.0,927.0,1673.0,527.0,353.0,1301.0,1004.0,17.0,322.0,715.0,1728.0,1211.0
468.0,1439.0,690.0,517.0,377.0,1721.0,567.0,1258.0,1338.0,982.0,402.0,1257.0,427.0,1731.0,364.0,141.0,378.0,1525.0,1521.0,679.0,129.0,1490.0,303.0,1432.0,128.0
302.0,1312.0,1544.0,685.0,9.0,1114.0,490.0,1354.0,1138.0,961.0,778.0,1526.0,1112.0,362.0,70.0,358.0,410.0,1482.0,580.0,1589.0,763.0,1633.0,901.0,161.0,1154.0
308.0,288.0,395.0,859.0,174.0,1640.0,330.0,1604.0,765.0,1515.0,758.0,730.0,281.0,1701.0,79.0,1631.0,1691.0,635.0,391.0,1636.0,676.0,18.0,786.0,613.0,1496.0
467.0,1487.0,546.0,909.0,787.0,670.0,1740.0,811.0,605.0,85.0,285.0,1450.0,1253.0,1523.0,1355.0,1351.0,1169.0,16.0,778.0,1402.0,1071.0,1171.0,289.0,844.0,476.0
1019.0,1128.0,597.0,1162.0,1369.0,1553.0,511.0,93.0,959.0,36.0,531.0,663.0,1310.0,1526.0,861.0,210.0,411.0,1449.0,1212.0,1720.0,1582.0,1134.0,65.0,1509.0,1567.0
1518.0,1123.0,1257.0,636.0,717.0,584.0,456.0,628.0,1187.0,879.0,780.0,661.0,1500.0,1445.0,254.0,157.0,605.0,498.0,1061.0,1646.0,1501.0,606.0,953.0,1003.0,629.0
794.0,330.0,1271.0,1636.0,1608.0,851.0,1349.0,1341.0,582.0,555.0,1586.0,1308.0,976.0,1465.0,218.0,882.0,1099.0,74.0,1653.0,1586.0,248.0,87.0,1347.0,648.0,203.0
94.0,237.0,915.0,1305.0,358.0,1133.0,678.0,1583.0,509.0,1039.0,422.0,773.0,908.0,299.0,1630.0,994.0,271.0,1664.0,490.0,134.0,575.0,224.0,1176.0,1058.0,261.0
577.0,1416.0,1747.0,192.0,113.0,250.0,197.0,1145.0,1474.0,867.0,1227.0,856.0,28.0,986.0,1475.0,1629.0,777.0,1486.0,38.0,1025.0,768.0,781.0,412.0,1743.0,1306.0
1373.0,1268.0,757.0,1194.0,678.0,1204.0,659.0,88.0,1339.0,579.0,1249.0,1474.0,402.0,42.0,61.0,666.0,1105.0,1115.0,106.0,3.0,1235.0,1267.0,197.0,1131.0,1746.0
839.0,798.0,572.0,347.0,894.0,1121.0,589.0,1288.0,135.0,194.0,816.0,162.0,869.0,467.0,1747.0,1675.0,182.0,1120.0,960.0,962.0,725.0,1315.0,1644.0,1631.0,495.0
501.0,281.0,1666.0,1160.0,734.0,1266.0,1471.0,1700.0,168.0,312.0,1743.0,1457.0,1661.0,385.0,1350.0,1242.0,372.0,872.0,630.0,1622.0,744.0,555.0,927.0,1593.0,1269.0
38.0,1524.0,1410.0,1714.0,1567.0,1002.0,1446.0,910.0,552.0,522.0,890.0,1044.0,156.0,811.0,635.0,961.0,1543.0,1448.0,1.0,1716.0,1222.0,1738.0,1357.0,1605.0,694.0
527.0,215.0,532.0,648.0,1030.0,545.0,310.0,496.0,903.0,632.0,363.0,1548.0,237.0,1390.0,1093.0,142.0,784.0,763.0,1319.0,268.0,1282.0,663.0,944.0,1162.0,1653.0
