targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.8,2.7129319932501095,20.0,10.0,10.855855855855856
7.1,10.8,2.7129319932501095,20.0,10.0,12.819148936170214
7.2,11.6,3.6660605559646724,20.0,10.0,16.283783783783782
7.3,11.6,3.6660605559646724,20.0,10.0,18.257575757575758
7.4,11.6,3.6660605559646724,20.0,10.0,18.828125
7.5,12.4,4.270831300812524,20.0,10.0,20.775862068965516
7.6,12.4,4.270831300812524,20.0,10.0,25.638297872340427
7.7,12.4,4.270831300812524,20.0,10.0,26.195652173913043
7.8,14.0,4.898979485566356,20.0,10.0,30.897435897435898
7.9,14.8,4.995998398718718,20.0,10.0,33.47222222222222
8.0,14.8,4.995998398718718,20.0,10.0,35.44117647058823
8.1,15.2,4.995998398718719,20.0,10.0,38.87096774193548
8.2,16.8,4.664761515876241,20.0,10.0,50.208333333333336
8.3,16.8,4.664761515876241,20.0,10.0,50.208333333333336
8.4,16.8,4.664761515876241,20.0,10.0,52.391304347826086
8.5,17.6,5.851495535331117,30.0,10.0,60.25
8.6,21.6,9.243376006633072,40.0,10.0,75.3125
8.7,21.6,9.243376006633072,40.0,10.0,75.3125
8.8,27.2,12.172099243762355,50.0,10.0,120.5
8.9,27.6,11.757550765359259,50.0,10.0,150.625
9.0,27.6,11.757550765359259,50.0,10.0,150.625
9.1,163.2,54.60549422906087,240.0,10.0,301.25
9.2,165.2,56.22241545860513,250.0,10.0,401.6666666666667
9.3,166.8,57.738721842451625,250.0,10.0,602.5
9.4,166.8,57.738721842451625,250.0,10.0,602.5
9.5,166.8,57.738721842451625,250.0,10.0,602.5
9.6,166.8,57.738721842451625,250.0,10.0,602.5
9.7,166.8,57.738721842451625,250.0,10.0,602.5
9.8,166.8,57.738721842451625,250.0,10.0,602.5
9.9,166.8,57.738721842451625,250.0,10.0,602.5
10.0,166.8,57.738721842451625,250.0,10.0,602.5
10.1,166.8,57.738721842451625,250.0,10.0,602.5
10.2,166.8,57.738721842451625,250.0,10.0,602.5
10.3,166.8,57.738721842451625,250.0,10.0,602.5
10.397940008672036,166.8,57.738721842451625,250.0,10.0,602.5
