targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,16.8,16.178998732925344,90.0,10.0,10.855855855855856
7.1,17.6,16.31686244349692,90.0,10.0,12.819148936170214
7.2,20.0,17.435595774162696,90.0,10.0,16.283783783783782
7.3,20.0,17.435595774162696,90.0,10.0,18.257575757575758
7.4,20.4,17.771887913218443,90.0,10.0,18.828125
7.5,24.8,20.41959842896036,90.0,10.0,20.775862068965516
7.6,30.4,32.1844683038263,140.0,10.0,25.638297872340427
7.7,30.8,31.989998437011522,140.0,10.0,26.195652173913043
7.8,32.4,31.53157148002616,140.0,10.0,30.897435897435898
7.9,36.8,31.205127783747347,140.0,10.0,33.47222222222222
8.0,39.2,33.57618203429329,140.0,10.0,35.44117647058823
8.1,42.8,34.353456885734225,140.0,10.0,38.87096774193548
8.2,53.6,45.332549012823,160.0,10.0,50.208333333333336
8.3,53.6,45.332549012823,160.0,10.0,50.208333333333336
8.4,56.4,45.946055325783945,160.0,10.0,52.391304347826086
8.5,60.8,47.49063065489865,160.0,10.0,60.25
8.6,80.0,69.22427319950712,270.0,10.0,75.3125
8.7,80.0,69.22427319950712,270.0,10.0,75.3125
8.8,123.6,118.89087433440804,520.0,10.0,120.5
8.9,151.6,138.58369312440766,520.0,10.0,150.625
9.0,151.6,138.58369312440766,520.0,10.0,150.625
9.1,273.2,217.10310914401938,820.0,20.0,301.25
9.2,438.0,331.058907144937,1090.0,20.0,401.6666666666667
9.3,727.2,326.84577402805746,1200.0,190.0,602.5
9.4,727.2,326.84577402805746,1200.0,190.0,602.5
9.5,727.2,326.84577402805746,1200.0,190.0,602.5
9.6,727.2,326.84577402805746,1200.0,190.0,602.5
9.7,727.2,326.84577402805746,1200.0,190.0,602.5
9.8,727.2,326.84577402805746,1200.0,190.0,602.5
9.9,727.2,326.84577402805746,1200.0,190.0,602.5
10.0,727.2,326.84577402805746,1200.0,190.0,602.5
10.1,727.2,326.84577402805746,1200.0,190.0,602.5
10.2,727.2,326.84577402805746,1200.0,190.0,602.5
10.3,727.2,326.84577402805746,1200.0,190.0,602.5
10.397940008672036,727.2,326.84577402805746,1200.0,190.0,602.5
