targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.4,1.9595917942265417,20.0,10.0,3.610526315789474
7.1,11.2,4.308131845707603,30.0,10.0,4.341772151898734
7.2,11.2,4.308131845707603,30.0,10.0,5.044117647058823
7.3,12.8,5.306599664568642,30.0,10.0,7.297872340425532
7.4,14.8,8.059776671843952,30.0,10.0,9.8
7.5,17.6,9.911609354691096,40.0,10.0,12.25
7.6,19.6,11.825396399275585,50.0,10.0,16.333333333333332
7.7,26.0,16.97056274847714,80.0,10.0,21.4375
7.8,28.4,19.116485032557634,80.0,10.0,22.866666666666667
7.9,34.0,24.331050121192877,110.0,10.0,26.384615384615383
8.0,42.8,29.464554977124635,120.0,10.0,31.181818181818183
8.1,49.6,29.729446681699276,120.0,10.0,38.111111111111114
8.2,49.6,29.729446681699276,120.0,10.0,38.111111111111114
8.3,57.6,40.917477928142155,190.0,10.0,49.0
8.4,57.6,40.917477928142155,190.0,10.0,49.0
8.5,57.6,40.917477928142155,190.0,10.0,49.0
8.6,57.6,40.917477928142155,190.0,10.0,49.0
8.7,57.6,40.917477928142155,190.0,10.0,49.0
8.8,57.6,40.917477928142155,190.0,10.0,49.0
8.9,57.6,40.917477928142155,190.0,10.0,49.0
9.0,57.6,40.917477928142155,190.0,10.0,49.0
9.1,57.6,40.917477928142155,190.0,10.0,49.0
9.2,57.6,40.917477928142155,190.0,10.0,49.0
9.3,57.6,40.917477928142155,190.0,10.0,49.0
9.4,57.6,40.917477928142155,190.0,10.0,49.0
9.5,60.4,45.473508771591405,190.0,10.0,57.166666666666664
9.6,77.2,61.02589614253934,190.0,10.0,68.6
9.7,102.4,73.60869513855002,260.0,10.0,85.75
9.8,102.4,73.60869513855002,260.0,10.0,85.75
9.9,146.4,76.72704868558415,290.0,20.0,114.33333333333333
10.0,146.4,76.72704868558415,290.0,20.0,114.33333333333333
10.070581074285707,179.2,95.57907720835144,340.0,20.0,171.5
