targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,0.0,10.0,10.0,2.422222222222222
7.1,10.0,0.0,10.0,10.0,2.5
7.2,10.0,0.0,10.0,10.0,2.5546875
7.3,10.0,0.0,10.0,10.0,2.6286173633440515
7.4,10.0,0.0,10.0,10.0,2.715946843853821
7.5,10.0,0.0,10.0,10.0,2.7948717948717947
7.6,10.0,0.0,10.0,10.0,2.873462214411248
7.7,10.0,0.0,10.0,10.0,2.9673321234119783
7.8,10.0,0.0,10.0,10.0,3.1202290076335877
7.9,10.0,0.0,10.0,10.0,3.283132530120482
8.0,10.0,0.0,10.0,10.0,3.456659619450317
8.1,10.0,0.0,10.0,10.0,3.856132075471698
8.2,10.0,0.0,10.0,10.0,4.170918367346939
8.3,10.0,0.0,10.0,10.0,4.5041322314049586
8.4,10.0,0.0,10.0,10.0,5.061919504643963
8.5,10.0,0.0,10.0,10.0,5.360655737704918
8.6,10.0,0.0,10.0,10.0,5.989010989010989
8.7,10.0,0.0,10.0,10.0,7.569444444444445
8.8,10.0,0.0,10.0,10.0,8.696808510638299
8.9,10.0,0.0,10.0,10.0,10.414012738853502
9.0,10.0,0.0,10.0,10.0,11.678571428571429
9.1,10.0,0.0,10.0,10.0,16.515151515151516
9.2,10.0,0.0,10.0,10.0,21.513157894736842
9.3,10.0,0.0,10.0,10.0,29.727272727272727
9.4,10.0,0.0,10.0,10.0,38.02325581395349
9.5,10.0,0.0,10.0,10.0,41.92307692307692
9.6,30.0,0.0,30.0,30.0,51.09375
9.7,30.0,0.0,30.0,30.0,77.85714285714286
9.8,30.0,0.0,30.0,30.0,109.0
9.9,30.0,0.0,30.0,30.0,272.5
10.0,30.0,0.0,30.0,30.0,327.0
10.096910013008056,40.0,0.0,40.0,40.0,817.5
