run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
116.0,377.0,437.0,802.0,208.0,1017.0,370.0,206.0,127.0,888.0,320.0,807.0,374.0,470.0,802.0,314.0,208.0,437.0,515.0,912.0,1017.0,320.0,206.0,515.0,995.0
716.0,728.0,1041.0,67.0,27.0,808.0,753.0,327.0,854.0,529.0,1001.0,681.0,329.0,475.0,150.0,150.0,697.0,107.0,721.0,1042.0,892.0,821.0,471.0,1007.0,67.0
353.0,608.0,195.0,1.0,354.0,507.0,479.0,184.0,426.0,172.0,29.0,205.0,597.0,197.0,644.0,596.0,559.0,644.0,743.0,301.0,29.0,172.0,334.0,138.0,245.0
70.0,918.0,225.0,224.0,490.0,780.0,574.0,945.0,756.0,788.0,385.0,519.0,1031.0,152.0,407.0,692.0,896.0,361.0,848.0,841.0,960.0,63.0,541.0,902.0,781.0
382.0,131.0,577.0,378.0,984.0,998.0,931.0,431.0,166.0,934.0,456.0,881.0,66.0,448.0,456.0,24.0,459.0,583.0,940.0,378.0,456.0,778.0,166.0,836.0,369.0
145.0,428.0,413.0,655.0,230.0,22.0,88.0,618.0,520.0,82.0,661.0,37.0,9.0,680.0,268.0,526.0,10.0,82.0,22.0,243.0,413.0,660.0,44.0,109.0,701.0
1026.0,853.0,141.0,711.0,211.0,840.0,71.0,1036.0,847.0,771.0,210.0,944.0,869.0,867.0,429.0,730.0,711.0,504.0,416.0,917.0,386.0,566.0,727.0,944.0,969.0
310.0,686.0,212.0,543.0,350.0,686.0,567.0,630.0,686.0,443.0,542.0,92.0,626.0,630.0,988.0,755.0,77.0,239.0,212.0,212.0,350.0,212.0,350.0,350.0,239.0
949.0,96.0,668.0,823.0,494.0,653.0,494.0,937.0,494.0,668.0,33.0,304.0,653.0,911.0,911.0,494.0,653.0,304.0,668.0,949.0,97.0,668.0,97.0,751.0,633.0
882.0,775.0,927.0,433.0,909.0,105.0,553.0,682.0,831.0,904.0,993.0,801.0,289.0,981.0,994.0,344.0,341.0,810.0,102.0,289.0,928.0,754.0,436.0,104.0,977.0
378.0,888.0,911.0,1002.0,96.0,976.0,514.0,557.0,579.0,96.0,797.0,882.0,974.0,220.0,96.0,801.0,44.0,120.0,909.0,823.0,132.0,911.0,981.0,215.0,96.0
220.0,517.0,465.0,220.0,380.0,807.0,751.0,927.0,514.0,751.0,774.0,96.0,465.0,215.0,457.0,981.0,664.0,378.0,453.0,899.0,772.0,96.0,514.0,375.0,911.0
754.0,514.0,126.0,96.0,514.0,1038.0,982.0,911.0,378.0,97.0,236.0,465.0,96.0,453.0,934.0,751.0,633.0,754.0,981.0,526.0,1049.0,97.0,556.0,800.0,751.0
96.0,754.0,97.0,751.0,981.0,221.0,220.0,378.0,380.0,911.0,798.0,219.0,215.0,751.0,979.0,96.0,201.0,984.0,97.0,96.0,811.0,465.0,517.0,517.0,774.0
751.0,774.0,96.0,994.0,811.0,96.0,981.0,514.0,96.0,797.0,463.0,130.0,993.0,451.0,907.0,754.0,133.0,579.0,96.0,985.0,378.0,751.0,453.0,754.0,97.0
104.0,220.0,751.0,774.0,132.0,994.0,517.0,96.0,754.0,772.0,287.0,908.0,43.0,754.0,369.0,982.0,22.0,96.0,751.0,834.0,380.0,981.0,906.0,514.0,463.0
801.0,982.0,1002.0,104.0,982.0,226.0,1003.0,751.0,451.0,774.0,341.0,435.0,216.0,545.0,207.0,403.0,930.0,457.0,754.0,220.0,96.0,43.0,800.0,906.0,220.0
453.0,981.0,550.0,582.0,801.0,774.0,96.0,754.0,934.0,126.0,994.0,621.0,883.0,774.0,451.0,206.0,18.0,119.0,911.0,305.0,448.0,803.0,801.0,887.0,807.0
911.0,751.0,981.0,287.0,517.0,1007.0,754.0,400.0,811.0,1002.0,1002.0,432.0,831.0,96.0,579.0,556.0,775.0,979.0,206.0,672.0,966.0,982.0,375.0,1003.0,797.0
371.0,801.0,207.0,550.0,403.0,907.0,906.0,517.0,369.0,550.0,96.0,222.0,460.0,621.0,797.0,811.0,702.0,341.0,801.0,553.0,801.0,434.0,403.0,403.0,1002.0
554.0,934.0,557.0,289.0,1049.0,451.0,832.0,1004.0,798.0,979.0,803.0,514.0,1005.0,370.0,1002.0,466.0,226.0,797.0,374.0,341.0,451.0,221.0,463.0,981.0,514.0
436.0,380.0,294.0,554.0,556.0,577.0,583.0,928.0,981.0,994.0,434.0,751.0,130.0,992.0,933.0,905.0,467.0,906.0,992.0,1002.0,913.0,119.0,96.0,556.0,287.0
370.0,797.0,26.0,341.0,1003.0,287.0,554.0,434.0,221.0,457.0,514.0,563.0,26.0,554.0,135.0,380.0,1038.0,964.0,580.0,994.0,940.0,798.0,1003.0,580.0,128.0
985.0,451.0,811.0,985.0,119.0,368.0,556.0,1003.0,801.0,287.0,465.0,1005.0,950.0,236.0,751.0,378.0,96.0,637.0,226.0,236.0,468.0,797.0,751.0,982.0,554.0
118.0,132.0,218.0,35.0,906.0,35.0,400.0,119.0,556.0,236.0,135.0,216.0,458.0,683.0,236.0,132.0,579.0,215.0,220.0,977.0,751.0,26.0,982.0,220.0,290.0
578.0,811.0,950.0,290.0,913.0,792.0,927.0,130.0,982.0,131.0,981.0,803.0,104.0,637.0,581.0,448.0,530.0,236.0,772.0,221.0,467.0,772.0,909.0,999.0,934.0
991.0,556.0,1005.0,797.0,467.0,530.0,129.0,291.0,582.0,798.0,982.0,754.0,834.0,797.0,550.0,207.0,976.0,435.0,370.0,798.0,579.0,556.0,977.0,974.0,583.0
290.0,979.0,940.0,553.0,452.0,797.0,682.0,797.0,35.0,221.0,130.0,43.0,102.0,240.0,221.0,940.0,792.0,683.0,999.0,550.0,452.0,236.0,783.0,831.0,553.0
289.0,378.0,885.0,463.0,453.0,934.0,434.0,436.0,433.0,451.0,460.0,378.0,966.0,167.0,287.0,836.0,107.0,798.0,460.0,287.0,457.0,219.0,803.0,465.0,981.0
216.0,457.0,467.0,236.0,928.0,433.0,637.0,465.0,803.0,907.0,219.0,883.0,580.0,436.0,798.0,467.0,1042.0,585.0,638.0,774.0,984.0,102.0,887.0,985.0,982.0
361.0,798.0,964.0,887.0,500.0,776.0,797.0,129.0,368.0,154.0,556.0,26.0,371.0,556.0,341.0,1002.0,468.0,375.0,883.0,554.0,556.0,906.0,467.0,43.0,403.0
553.0,236.0,399.0,371.0,294.0,582.0,783.0,981.0,468.0,940.0,995.0,223.0,985.0,982.0,368.0,223.0,368.0,287.0,43.0,797.0,119.0,460.0,215.0,102.0,801.0
403.0,287.0,458.0,513.0,783.0,341.0,928.0,324.0,940.0,207.0,883.0,434.0,803.0,1002.0,774.0,803.0,1037.0,1049.0,434.0,130.0,803.0,467.0,580.0,460.0,927.0
823.0,579.0,1019.0,556.0,940.0,236.0,798.0,783.0,453.0,456.0,43.0,460.0,887.0,994.0,103.0,451.0,456.0,981.0,993.0,583.0,135.0,130.0,974.0,1004.0,517.0
899.0,341.0,132.0,583.0,468.0,463.0,119.0,453.0,434.0,341.0,403.0,129.0,751.0,798.0,433.0,468.0,940.0,887.0,458.0,513.0,933.0,993.0,638.0,993.0,556.0
128.0,400.0,43.0,992.0,1004.0,34.0,236.0,810.0,835.0,135.0,220.0,119.0,220.0,1004.0,772.0,130.0,154.0,1003.0,465.0,465.0,981.0,883.0,999.0,445.0,400.0
517.0,554.0,804.0,118.0,434.0,547.0,1004.0,906.0,467.0,579.0,453.0,993.0,999.0,35.0,35.0,518.0,829.0,448.0,130.0,993.0,982.0,1003.0,637.0,434.0,992.0
305.0,994.0,801.0,798.0,218.0,835.0,376.0,993.0,130.0,468.0,102.0,135.0,804.0,400.0,835.0,434.0,892.0,966.0,982.0,906.0,964.0,1004.0,119.0,928.0,513.0
943.0,403.0,979.0,403.0,803.0,369.0,403.0,102.0,220.0,442.0,446.0,783.0,445.0,287.0,154.0,514.0,250.0,888.0,803.0,883.0,1003.0,312.0,831.0,400.0,289.0
834.0,434.0,682.0,888.0,400.0,798.0,130.0,43.0,132.0,1049.0,400.0,467.0,312.0,433.0,582.0,934.0,103.0,514.0,446.0,460.0,906.0,928.0,43.0,130.0,832.0
513.0,500.0,460.0,801.0,751.0,979.0,999.0,26.0,287.0,,906.0,102.0,219.0,582.0,,798.0,,982.0,467.0,446.0,835.0,132.0,130.0,446.0,434.0
583.0,927.0,457.0,981.0,129.0,548.0,800.0,982.0,554.0,,928.0,682.0,797.0,132.0,,637.0,,978.0,556.0,882.0,582.0,458.0,1005.0,223.0,130.0
832.0,128.0,446.0,982.0,682.0,621.0,102.0,312.0,909.0,,1003.0,928.0,981.0,403.0,,219.0,,556.0,26.0,1003.0,368.0,580.0,102.0,927.0,500.0
993.0,557.0,999.0,514.0,130.0,220.0,43.0,883.0,774.0,,1004.0,982.0,1002.0,500.0,,453.0,,811.0,1005.0,102.0,130.0,215.0,883.0,312.0,985.0
556.0,940.0,798.0,832.0,219.0,546.0,223.0,460.0,206.0,,119.0,981.0,982.0,128.0,,797.0,,434.0,985.0,312.0,433.0,1005.0,993.0,682.0,803.0
982.0,130.0,236.0,754.0,995.0,401.0,513.0,500.0,995.0,,312.0,804.0,467.0,927.0,,457.0,,800.0,215.0,964.0,35.0,400.0,465.0,833.0,1003.0
130.0,803.0,998.0,637.0,927.0,1000.0,500.0,446.0,797.0,,221.0,832.0,135.0,928.0,,236.0,,380.0,132.0,1004.0,1004.0,804.0,1004.0,344.0,439.0
376.0,907.0,312.0,453.0,800.0,78.0,803.0,832.0,104.0,,927.0,458.0,833.0,557.0,,1003.0,,130.0,219.0,43.0,637.0,950.0,460.0,883.0,376.0
803.0,467.0,651.0,400.0,557.0,1002.0,557.0,218.0,219.0,,832.0,1004.0,621.0,909.0,,909.0,,801.0,950.0,514.0,403.0,682.0,434.0,129.0,465.0
292.0,1003.0,934.0,803.0,435.0,420.0,215.0,800.0,775.0,,554.0,236.0,223.0,966.0,,287.0,,451.0,928.0,458.0,219.0,783.0,26.0,449.0,928.0
909.0,219.0,783.0,130.0,448.0,378.0,465.0,556.0,887.0,,104.0,218.0,556.0,682.0,,220.0,,132.0,135.0,215.0,581.0,557.0,668.0,783.0,906.0
465.0,682.0,130.0,927.0,291.0,581.0,26.0,803.0,978.0,,985.0,999.0,516.0,803.0,,906.0,,940.0,344.0,517.0,236.0,220.0,400.0,206.0,43.0
981.0,1049.0,400.0,434.0,637.0,754.0,993.0,292.0,128.0,,289.0,556.0,344.0,434.0,,1049.0,,803.0,832.0,800.0,798.0,927.0,985.0,832.0,219.0
514.0,1002.0,982.0,219.0,465.0,457.0,460.0,458.0,371.0,,129.0,1000.0,1000.0,722.0,,979.0,,468.0,223.0,26.0,514.0,500.0,458.0,119.0,223.0
219.0,1004.0,468.0,928.0,102.0,802.0,883.0,804.0,553.0,,553.0,797.0,832.0,1003.0,,400.0,,467.0,651.0,35.0,979.0,218.0,810.0,377.0,119.0
434.0,800.0,500.0,906.0,810.0,933.0,974.0,931.0,832.0,,458.0,798.0,119.0,206.0,,500.0,,403.0,831.0,982.0,977.0,129.0,832.0,121.0,1004.0
223.0,906.0,883.0,909.0,501.0,103.0,219.0,439.0,513.0,,26.0,132.0,42.0,324.0,,772.0,,1004.0,1003.0,402.0,554.0,206.0,928.0,453.0,401.0
994.0,928.0,803.0,1003.0,223.0,135.0,289.0,501.0,994.0,,682.0,403.0,514.0,514.0,,832.0,,1000.0,119.0,1005.0,434.0,999.0,553.0,939.0,993.0
401.0,468.0,129.0,1004.0,375.0,42.0,831.0,909.0,445.0,,800.0,927.0,434.0,553.0,,941.0,,553.0,906.0,928.0,287.0,621.0,448.0,216.0,883.0
883.0,453.0,1004.0,376.0,929.0,456.0,580.0,1019.0,833.0,,500.0,400.0,129.0,941.0,,931.0,,462.0,514.0,804.0,797.0,1002.0,950.0,995.0,135.0
797.0,452.0,993.0,465.0,1005.0,544.0,458.0,467.0,637.0,,557.0,557.0,927.0,832.0,,35.0,,42.0,995.0,803.0,400.0,979.0,554.0,803.0,102.0
43.0,783.0,928.0,43.0,883.0,154.0,312.0,1005.0,1000.0,,887.0,469.0,400.0,583.0,,554.0,,544.0,1019.0,434.0,462.0,514.0,500.0,909.0,129.0
293.0,129.0,579.0,883.0,26.0,462.0,985.0,223.0,583.0,,1005.0,931.0,783.0,467.0,,433.0,,103.0,312.0,974.0,154.0,135.0,583.0,26.0,26.0
992.0,218.0,1003.0,800.0,460.0,434.0,104.0,219.0,584.0,,804.0,42.0,1004.0,219.0,,368.0,,621.0,804.0,981.0,42.0,446.0,292.0,458.0,460.0
344.0,913.0,556.0,638.0,43.0,467.0,218.0,403.0,516.0,,467.0,775.0,446.0,783.0,,683.0,,220.0,931.0,556.0,220.0,294.0,513.0,621.0,775.0
135.0,294.0,102.0,119.0,804.0,288.0,804.0,950.0,462.0,,583.0,500.0,462.0,800.0,,585.0,,584.0,403.0,638.0,783.0,341.0,927.0,554.0,42.0
460.0,119.0,913.0,292.0,312.0,940.0,467.0,992.0,751.0,,783.0,344.0,554.0,906.0,,992.0,,1002.0,637.0,433.0,128.0,964.0,223.0,376.0,584.0
400.0,35.0,219.0,500.0,993.0,584.0,1005.0,294.0,931.0,,218.0,950.0,906.0,130.0,,582.0,,992.0,292.0,403.0,682.0,651.0,104.0,637.0,469.0
584.0,637.0,341.0,379.0,446.0,833.0,341.0,132.0,42.0,,371.0,909.0,928.0,129.0,,119.0,,513.0,439.0,831.0,683.0,932.0,220.0,132.0,581.0
462.0,433.0,434.0,941.0,215.0,803.0,994.0,293.0,43.0,,338.0,294.0,682.0,119.0,,128.0,,833.0,967.0,580.0,1000.0,832.0,931.0,287.0,682.0
26.0,368.0,906.0,102.0,999.0,,128.0,1002.0,1005.0,,621.0,581.0,1003.0,43.0,,341.0,,35.0,129.0,582.0,,223.0,584.0,516.0,446.0
458.0,835.0,119.0,993.0,580.0,,950.0,984.0,888.0,,132.0,215.0,218.0,810.0,,1004.0,,288.0,974.0,219.0,,931.0,938.0,371.0,312.0
500.0,984.0,1049.0,26.0,458.0,,294.0,220.0,883.0,,637.0,206.0,931.0,341.0,,994.0,,516.0,621.0,950.0,,637.0,651.0,500.0,783.0
682.0,448.0,452.0,831.0,1019.0,,371.0,798.0,26.0,,638.0,941.0,500.0,218.0,,984.0,,104.0,448.0,34.0,,811.0,289.0,218.0,462.0
1000.0,582.0,797.0,460.0,831.0,,446.0,380.0,465.0,,992.0,1003.0,1019.0,1000.0,,553.0,,154.0,462.0,999.0,,401.0,772.0,467.0,458.0
102.0,135.0,135.0,129.0,821.0,,448.0,236.0,993.0,,217.0,906.0,637.0,135.0,,928.0,,135.0,1004.0,1000.0,,554.0,312.0,219.0,1000.0
783.0,832.0,223.0,446.0,974.0,,887.0,811.0,460.0,,821.0,637.0,754.0,292.0,,835.0,,445.0,553.0,467.0,,403.0,682.0,797.0,218.0
927.0,772.0,403.0,312.0,638.0,,638.0,399.0,288.0,,950.0,376.0,294.0,291.0,,452.0,,581.0,783.0,637.0,,992.0,129.0,931.0,467.0
119.0,909.0,451.0,585.0,950.0,,984.0,452.0,135.0,,931.0,312.0,581.0,831.0,,800.0,,933.0,554.0,135.0,,909.0,219.0,1019.0,557.0
581.0,1000.0,514.0,810.0,966.0,,132.0,401.0,341.0,,451.0,468.0,638.0,580.0,,907.0,,456.0,501.0,682.0,,453.0,636.0,804.0,804.0
218.0,456.0,466.0,501.0,932.0,,1002.0,801.0,581.0,,1019.0,291.0,132.0,465.0,,290.0,,,513.0,129.0,,801.0,218.0,294.0,1005.0
557.0,581.0,984.0,458.0,985.0,,811.0,821.0,548.0,,445.0,810.0,984.0,993.0,,513.0,,,583.0,462.0,,289.0,221.0,984.0,288.0
810.0,931.0,456.0,682.0,220.0,,772.0,554.0,950.0,,581.0,580.0,553.0,883.0,,913.0,,,289.0,448.0,,638.0,1000.0,1005.0,294.0
950.0,103.0,772.0,783.0,381.0,,452.0,940.0,34.0,,999.0,1002.0,448.0,999.0,,888.0,,,585.0,218.0,,974.0,291.0,448.0,950.0
467.0,621.0,380.0,291.0,554.0,,380.0,341.0,985.0,,294.0,292.0,978.0,102.0,,927.0,,,400.0,42.0,,448.0,42.0,638.0,1019.0
129.0,376.0,1000.0,580.0,513.0,,1019.0,913.0,102.0,,888.0,638.0,403.0,312.0,,240.0,,,682.0,783.0,,452.0,288.0,35.0,931.0
928.0,223.0,42.0,223.0,399.0,,978.0,468.0,1004.0,,751.0,220.0,775.0,26.0,,583.0,,,581.0,581.0,,984.0,994.0,950.0,132.0
1003.0,933.0,154.0,974.0,888.0,,287.0,466.0,469.0,,448.0,974.0,557.0,501.0,,292.0,,,290.0,119.0,,831.0,581.0,888.0,999.0
1005.0,221.0,831.0,804.0,322.0,,216.0,1049.0,448.0,,216.0,448.0,992.0,974.0,,291.0,,,810.0,909.0,,468.0,135.0,42.0,638.0
1004.0,553.0,103.0,999.0,553.0,,932.0,287.0,458.0,,206.0,831.0,584.0,985.0,,810.0,,,236.0,400.0,,940.0,287.0,462.0,637.0
800.0,401.0,,821.0,466.0,,468.0,451.0,456.0,,984.0,992.0,888.0,581.0,,501.0,,,500.0,451.0,,1019.0,797.0,380.0,974.0
906.0,240.0,,931.0,797.0,,801.0,774.0,1003.0,,35.0,293.0,932.0,446.0,,783.0,,,584.0,500.0,,128.0,585.0,932.0,800.0
931.0,462.0,,1000.0,341.0,,35.0,553.0,804.0,,584.0,501.0,35.0,931.0,,293.0,,,1000.0,294.0,,553.0,293.0,584.0,888.0
288.0,583.0,,557.0,887.0,,913.0,128.0,933.0,,128.0,553.0,288.0,1005.0,,557.0,,,401.0,927.0,,913.0,132.0,289.0,448.0
804.0,215.0,,135.0,585.0,,433.0,979.0,119.0,,1000.0,585.0,583.0,460.0,,682.0,,,979.0,584.0,,380.0,462.0,135.0,831.0
999.0,992.0,,34.0,832.0,,399.0,289.0,928.0,,833.0,800.0,452.0,772.0,,465.0,,,797.0,810.0,,456.0,978.0,469.0,984.0
294.0,683.0,,467.0,289.0,,940.0,381.0,906.0,,42.0,453.0,468.0,462.0,,43.0,,,218.0,835.0,,581.0,501.0,582.0,380.0
312.0,466.0,,1019.0,104.0,,435.0,59.0,344.0,,469.0,548.0,456.0,804.0,,376.0,,,927.0,984.0,,1000.0,804.0,978.0,585.0
637.0,993.0,,221.0,128.0,,582.0,884.0,400.0,,433.0,888.0,933.0,950.0,,129.0,,,798.0,468.0,,399.0,236.0,1000.0,834.0
446.0,370.0,,1005.0,583.0,,1049.0,1017.0,154.0,,978.0,446.0,513.0,294.0,,887.0,,,294.0,1019.0,,35.0,1002.0,433.0,933.0
1019.0,950.0,,462.0,931.0,,368.0,638.0,,,250.0,584.0,469.0,458.0,,26.0,,,42.0,380.0,,582.0,341.0,553.0,236.0
448.0,966.0,,294.0,978.0,,966.0,583.0,,,582.0,1019.0,287.0,289.0,,821.0,,,288.0,288.0,,322.0,798.0,581.0,344.0
887.0,580.0,,950.0,293.0,,835.0,290.0,,,835.0,554.0,236.0,311.0,,102.0,,,548.0,832.0,,433.0,371.0,1002.0,399.0
132.0,43.0,,984.0,371.0,,221.0,135.0,,,401.0,583.0,401.0,638.0,,460.0,,,341.0,453.0,,513.0,833.0,452.0,811.0
638.0,465.0,,581.0,290.0,,834.0,513.0,,,933.0,513.0,913.0,42.0,,104.0,,,933.0,132.0,,933.0,775.0,236.0,468.0
831.0,883.0,,218.0,834.0,,466.0,834.0,,,288.0,985.0,811.0,1019.0,,1005.0,,,984.0,933.0,,583.0,290.0,798.0,322.0
501.0,831.0,,42.0,59.0,,322.0,240.0,,,462.0,341.0,798.0,548.0,,294.0,,,811.0,452.0,,501.0,380.0,288.0,456.0
42.0,544.0,,132.0,774.0,,453.0,985.0,,,468.0,984.0,582.0,290.0,,993.0,,,557.0,557.0,,462.0,294.0,468.0,452.0
35.0,974.0,,128.0,105.0,,774.0,934.0,,,34.0,932.0,433.0,585.0,,218.0,,,291.0,223.0,,834.0,979.0,775.0,580.0
580.0,584.0,,451.0,287.0,,135.0,637.0,,,516.0,305.0,399.0,368.0,,978.0,,,287.0,456.0,,42.0,933.0,835.0,913.0
236.0,288.0,,468.0,683.0,,445.0,581.0,,,452.0,452.0,801.0,223.0,,804.0,,,913.0,931.0,,291.0,621.0,583.0,979.0
984.0,1005.0,,452.0,433.0,,909.0,448.0,,,59.0,289.0,368.0,932.0,,950.0,,,380.0,293.0,,584.0,984.0,341.0,798.0
621.0,26.0,,584.0,120.0,,501.0,888.0,,,1014.0,35.0,940.0,984.0,,312.0,,,456.0,292.0,,34.0,344.0,913.0,341.0
433.0,999.0,,469.0,221.0,,463.0,456.0,,,368.0,913.0,835.0,584.0,,215.0,,,293.0,291.0,,287.0,516.0,128.0,940.0
798.0,460.0,,913.0,463.0,,462.0,585.0,,,913.0,462.0,995.0,216.0,,371.0,,,452.0,940.0,,810.0,445.0,290.0,544.0
215.0,42.0,,324.0,977.0,,1000.0,580.0,,,548.0,287.0,380.0,399.0,,458.0,,,966.0,368.0,,835.0,511.0,585.0,215.0
324.0,932.0,,399.0,518.0,,810.0,831.0,,,811.0,401.0,128.0,668.0,,883.0,,,128.0,913.0,,368.0,456.0,34.0,103.0
311.0,102.0,,448.0,292.0,,929.0,322.0,,,909.0,433.0,800.0,34.0,,580.0,,,932.0,811.0,,292.0,446.0,399.0,154.0
468.0,985.0,,978.0,35.0,,882.0,621.0,,,380.0,288.0,103.0,452.0,,999.0,,,468.0,399.0,,103.0,811.0,811.0,932.0
582.0,998.0,,835.0,939.0,,291.0,35.0,,,399.0,940.0,376.0,933.0,,638.0,,,35.0,932.0,,775.0,932.0,368.0,466.0
