targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,0.0,10.0,10.0,1.3639896373056994
7.1,10.0,0.0,10.0,10.0,1.4307065217391304
7.2,10.0,0.0,10.0,10.0,1.4957386363636365
7.3,10.0,0.0,10.0,10.0,1.5834586466165415
7.4,10.0,0.0,10.0,10.0,1.714983713355049
7.5,10.0,0.0,10.0,10.0,1.7938671209540034
7.6,10.0,0.0,10.0,10.0,1.8803571428571428
7.7,10.0,0.0,10.0,10.0,2.0172413793103448
7.8,10.0,0.0,10.0,10.0,2.1272727272727274
7.9,10.0,0.0,10.0,10.0,2.2452025586353943
8.0,10.0,0.0,10.0,10.0,2.3609865470852016
8.1,10.0,0.0,10.0,10.0,2.713917525773196
8.2,10.0,0.0,10.0,10.0,2.9008264462809916
8.3,10.0,0.0,10.0,10.0,3.24
8.4,10.0,0.0,10.0,10.0,4.11328125
8.5,10.0,0.0,10.0,10.0,4.245967741935484
8.6,10.4,1.9595917942265424,20.0,10.0,5.086956521739131
8.7,10.4,1.9595917942265424,20.0,10.0,6.622641509433962
8.8,10.4,1.9595917942265424,20.0,10.0,8.2265625
8.9,10.8,2.7129319932501077,20.0,10.0,11.571428571428571
9.0,13.2,4.664761515876241,20.0,10.0,16.983870967741936
9.1,17.2,8.72696969170857,40.0,10.0,36.310344827586206
9.2,27.2,12.172099243762355,50.0,10.0,70.2
9.3,39.2,15.727682601070002,80.0,10.0,131.625
9.4,106.8,28.526478927480692,150.0,30.0,263.25
9.5,108.8,29.84225192575118,150.0,30.0,351.0
9.6,108.8,29.84225192575118,150.0,30.0,526.5
9.7,108.8,29.84225192575118,150.0,30.0,526.5
9.8,108.8,29.84225192575118,150.0,30.0,526.5
9.9,108.8,29.84225192575118,150.0,30.0,526.5
10.0,108.8,29.84225192575118,150.0,30.0,526.5
10.0,108.8,29.84225192575118,150.0,30.0,526.5
