targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,10.0,0.0,10.0,10.0,1.3639896373056994
7.1,10.0,0.0,10.0,10.0,1.4307065217391304
7.2,10.0,0.0,10.0,10.0,1.4957386363636365
7.3,10.0,0.0,10.0,10.0,1.5834586466165415
7.4,10.0,0.0,10.0,10.0,1.714983713355049
7.5,10.0,0.0,10.0,10.0,1.7938671209540034
7.6,10.0,0.0,10.0,10.0,1.8803571428571428
7.7,10.0,0.0,10.0,10.0,2.0172413793103448
7.8,10.0,0.0,10.0,10.0,2.1272727272727274
7.9,10.0,0.0,10.0,10.0,2.2452025586353943
8.0,10.0,0.0,10.0,10.0,2.3609865470852016
8.1,10.0,0.0,10.0,10.0,2.713917525773196
8.2,10.0,0.0,10.0,10.0,2.9008264462809916
8.3,10.8,3.919183588453084,30.0,10.0,3.24
8.4,11.2,4.308131845707603,30.0,10.0,4.11328125
8.5,11.6,6.118823416311339,40.0,10.0,4.245967741935484
8.6,11.6,6.118823416311339,40.0,10.0,5.086956521739131
8.7,12.0,6.324555320336759,40.0,10.0,6.622641509433962
8.8,13.6,7.418894796396565,40.0,10.0,8.2265625
8.9,16.4,12.611106216347558,60.0,10.0,11.571428571428571
9.0,21.2,19.249935064825547,100.0,10.0,16.983870967741936
9.1,47.2,45.388985448013706,190.0,10.0,36.310344827586206
9.2,90.8,92.51680928350265,380.0,10.0,70.2
9.3,162.8,142.9550978454424,550.0,10.0,131.625
9.4,285.2,231.4151248298175,720.0,10.0,263.25
9.5,389.6,236.36378741253915,790.0,10.0,351.0
9.6,653.2,311.5345245715152,1060.0,40.0,526.5
9.7,653.2,311.5345245715152,1060.0,40.0,526.5
9.8,653.2,311.5345245715152,1060.0,40.0,526.5
9.9,653.2,311.5345245715152,1060.0,40.0,526.5
10.0,653.2,311.5345245715152,1060.0,40.0,526.5
10.0,653.2,311.5345245715152,1060.0,40.0,526.5
