run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
251.0,685.0,205.0,871.0,289.0,28.0,178.0,896.0,207.0,905.0,529.0,684.0,385.0,426.0,786.0,494.0,797.0,358.0,146.0,38.0,376.0,301.0,870.0,411.0,439.0
732.0,255.0,814.0,741.0,239.0,275.0,398.0,864.0,872.0,132.0,92.0,274.0,367.0,754.0,831.0,765.0,419.0,668.0,177.0,818.0,797.0,44.0,851.0,644.0,37.0
497.0,868.0,37.0,487.0,814.0,365.0,15.0,470.0,305.0,712.0,593.0,640.0,188.0,320.0,449.0,533.0,538.0,576.0,257.0,338.0,892.0,216.0,414.0,769.0,205.0
887.0,142.0,379.0,785.0,76.0,786.0,93.0,242.0,404.0,494.0,809.0,849.0,813.0,63.0,53.0,775.0,513.0,859.0,473.0,359.0,120.0,590.0,269.0,166.0,739.0
144.0,641.0,796.0,548.0,92.0,571.0,196.0,609.0,312.0,211.0,396.0,726.0,415.0,484.0,561.0,94.0,343.0,734.0,96.0,887.0,580.0,446.0,578.0,735.0,93.0
266.0,307.0,522.0,461.0,824.0,541.0,17.0,585.0,764.0,694.0,177.0,349.0,833.0,437.0,872.0,852.0,426.0,646.0,75.0,642.0,505.0,812.0,242.0,117.0,132.0
55.0,267.0,777.0,734.0,850.0,565.0,201.0,595.0,732.0,164.0,415.0,892.0,23.0,681.0,685.0,435.0,596.0,671.0,212.0,587.0,106.0,641.0,888.0,666.0,3.0
602.0,480.0,726.0,48.0,590.0,889.0,434.0,134.0,330.0,450.0,193.0,387.0,669.0,371.0,137.0,849.0,824.0,663.0,288.0,876.0,683.0,463.0,300.0,619.0,628.0
97.0,757.0,334.0,376.0,538.0,121.0,864.0,228.0,254.0,10.0,779.0,831.0,797.0,237.0,224.0,145.0,204.0,872.0,827.0,263.0,596.0,147.0,415.0,743.0,496.0
14.0,632.0,236.0,354.0,155.0,247.0,340.0,542.0,772.0,384.0,795.0,870.0,566.0,206.0,186.0,67.0,131.0,669.0,593.0,629.0,308.0,65.0,783.0,818.0,104.0
484.0,626.0,155.0,747.0,427.0,282.0,58.0,11.0,441.0,420.0,572.0,7.0,272.0,548.0,832.0,321.0,592.0,841.0,348.0,776.0,272.0,138.0,873.0,825.0,91.0
183.0,117.0,570.0,134.0,228.0,815.0,187.0,147.0,279.0,487.0,624.0,568.0,352.0,624.0,636.0,359.0,434.0,170.0,610.0,828.0,862.0,748.0,86.0,876.0,318.0
341.0,512.0,455.0,435.0,381.0,224.0,105.0,37.0,310.0,628.0,471.0,402.0,276.0,74.0,360.0,905.0,630.0,108.0,383.0,463.0,423.0,276.0,884.0,473.0,529.0
549.0,412.0,185.0,399.0,347.0,562.0,552.0,503.0,341.0,894.0,220.0,242.0,850.0,862.0,450.0,387.0,164.0,548.0,286.0,125.0,775.0,159.0,170.0,242.0,409.0
250.0,627.0,781.0,358.0,438.0,109.0,848.0,392.0,225.0,514.0,852.0,180.0,228.0,758.0,683.0,336.0,720.0,623.0,804.0,25.0,695.0,175.0,491.0,540.0,356.0
211.0,232.0,385.0,765.0,334.0,266.0,715.0,157.0,149.0,601.0,333.0,504.0,99.0,323.0,494.0,232.0,591.0,628.0,632.0,126.0,268.0,302.0,784.0,130.0,165.0
153.0,162.0,560.0,318.0,115.0,661.0,246.0,399.0,512.0,801.0,88.0,217.0,254.0,161.0,477.0,408.0,58.0,629.0,500.0,608.0,132.0,142.0,749.0,44.0,746.0
799.0,580.0,148.0,907.0,852.0,630.0,684.0,434.0,313.0,2.0,752.0,476.0,767.0,233.0,18.0,626.0,111.0,236.0,474.0,215.0,233.0,821.0,95.0,15.0,328.0
543.0,415.0,74.0,266.0,818.0,402.0,817.0,750.0,456.0,372.0,605.0,405.0,851.0,430.0,390.0,674.0,368.0,341.0,54.0,430.0,280.0,173.0,707.0,430.0,340.0
719.0,137.0,587.0,585.0,504.0,635.0,740.0,430.0,624.0,530.0,8.0,578.0,112.0,178.0,287.0,558.0,645.0,370.0,274.0,452.0,111.0,208.0,229.0,581.0,73.0
615.0,96.0,214.0,404.0,798.0,618.0,270.0,382.0,783.0,653.0,230.0,774.0,368.0,899.0,780.0,120.0,197.0,820.0,213.0,790.0,618.0,800.0,801.0,544.0,397.0
754.0,410.0,98.0,108.0,329.0,361.0,554.0,243.0,903.0,137.0,101.0,234.0,347.0,539.0,875.0,280.0,692.0,483.0,824.0,619.0,311.0,867.0,563.0,833.0,40.0
756.0,539.0,489.0,586.0,781.0,662.0,280.0,266.0,632.0,340.0,228.0,469.0,307.0,798.0,610.0,609.0,607.0,584.0,654.0,218.0,521.0,737.0,640.0,297.0,297.0
161.0,837.0,61.0,783.0,680.0,597.0,480.0,704.0,886.0,112.0,225.0,539.0,80.0,362.0,805.0,174.0,874.0,339.0,867.0,15.0,849.0,174.0,653.0,317.0,31.0
689.0,719.0,297.0,641.0,88.0,821.0,292.0,886.0,507.0,295.0,646.0,28.0,660.0,701.0,882.0,380.0,326.0,569.0,41.0,280.0,428.0,78.0,825.0,530.0,548.0
617.0,623.0,836.0,166.0,714.0,369.0,838.0,846.0,178.0,440.0,222.0,623.0,77.0,174.0,585.0,801.0,187.0,570.0,871.0,817.0,347.0,130.0,708.0,485.0,26.0
493.0,667.0,636.0,539.0,788.0,389.0,357.0,501.0,573.0,432.0,418.0,185.0,678.0,89.0,708.0,322.0,537.0,852.0,497.0,508.0,837.0,32.0,408.0,69.0,547.0
269.0,904.0,376.0,804.0,907.0,325.0,747.0,569.0,667.0,722.0,139.0,471.0,318.0,85.0,879.0,11.0,589.0,142.0,63.0,461.0,594.0,610.0,665.0,359.0,781.0
312.0,54.0,802.0,687.0,471.0,655.0,514.0,226.0,20.0,42.0,17.0,44.0,138.0,302.0,285.0,341.0,327.0,87.0,771.0,853.0,691.0,118.0,630.0,674.0,904.0
58.0,700.0,614.0,511.0,514.0,714.0,192.0,405.0,147.0,280.0,58.0,149.0,778.0,88.0,66.0,235.0,63.0,715.0,272.0,532.0,167.0,167.0,70.0,121.0,82.0
214.0,569.0,431.0,7.0,481.0,317.0,794.0,422.0,816.0,245.0,107.0,219.0,266.0,100.0,901.0,737.0,269.0,645.0,241.0,129.0,404.0,570.0,166.0,638.0,
604.0,890.0,809.0,547.0,291.0,108.0,77.0,808.0,6.0,620.0,703.0,743.0,586.0,765.0,409.0,675.0,29.0,860.0,759.0,593.0,200.0,801.0,353.0,248.0,
145.0,94.0,452.0,904.0,878.0,103.0,508.0,629.0,734.0,179.0,72.0,830.0,216.0,341.0,566.0,221.0,747.0,826.0,356.0,144.0,803.0,374.0,298.0,220.0,
357.0,489.0,804.0,566.0,203.0,90.0,630.0,192.0,779.0,803.0,202.0,50.0,821.0,685.0,315.0,691.0,753.0,151.0,106.0,364.0,36.0,385.0,562.0,152.0,
19.0,361.0,903.0,554.0,460.0,578.0,820.0,478.0,422.0,4.0,726.0,71.0,655.0,584.0,278.0,660.0,839.0,416.0,302.0,145.0,100.0,844.0,24.0,443.0,
200.0,402.0,676.0,8.0,421.0,271.0,252.0,660.0,401.0,317.0,342.0,84.0,289.0,70.0,737.0,27.0,122.0,297.0,275.0,19.0,464.0,672.0,226.0,406.0,
872.0,788.0,737.0,164.0,640.0,20.0,353.0,115.0,602.0,868.0,730.0,73.0,710.0,217.0,509.0,768.0,485.0,426.0,410.0,10.0,127.0,37.0,67.0,394.0,
767.0,405.0,322.0,33.0,643.0,62.0,786.0,186.0,182.0,298.0,718.0,15.0,353.0,441.0,748.0,625.0,800.0,213.0,516.0,253.0,115.0,63.0,660.0,274.0,
229.0,80.0,119.0,781.0,496.0,723.0,618.0,321.0,1.0,130.0,307.0,857.0,154.0,289.0,625.0,86.0,717.0,499.0,647.0,612.0,507.0,195.0,21.0,207.0,
358.0,882.0,520.0,373.0,904.0,182.0,205.0,674.0,627.0,741.0,135.0,211.0,120.0,263.0,440.0,417.0,22.0,20.0,382.0,85.0,277.0,613.0,447.0,206.0,
665.0,44.0,34.0,204.0,361.0,319.0,505.0,202.0,680.0,59.0,18.0,840.0,390.0,571.0,401.0,424.0,302.0,217.0,237.0,294.0,685.0,576.0,48.0,246.0,
96.0,696.0,704.0,666.0,809.0,795.0,309.0,380.0,906.0,270.0,797.0,646.0,818.0,201.0,744.0,31.0,394.0,619.0,646.0,634.0,696.0,121.0,758.0,740.0,
586.0,548.0,764.0,581.0,822.0,14.0,749.0,105.0,291.0,865.0,10.0,415.0,700.0,589.0,825.0,395.0,478.0,632.0,422.0,82.0,788.0,458.0,551.0,216.0,
676.0,399.0,301.0,852.0,415.0,641.0,89.0,597.0,754.0,891.0,799.0,92.0,712.0,277.0,100.0,166.0,543.0,211.0,675.0,473.0,518.0,646.0,480.0,390.0,
177.0,192.0,806.0,745.0,715.0,137.0,486.0,218.0,522.0,457.0,104.0,85.0,361.0,310.0,17.0,419.0,101.0,184.0,560.0,401.0,147.0,815.0,654.0,31.0,
642.0,906.0,370.0,264.0,656.0,745.0,668.0,713.0,761.0,264.0,836.0,59.0,434.0,444.0,37.0,240.0,618.0,54.0,793.0,278.0,780.0,734.0,898.0,822.0,
163.0,905.0,133.0,106.0,128.0,58.0,394.0,563.0,826.0,123.0,663.0,486.0,841.0,396.0,900.0,2.0,157.0,588.0,415.0,460.0,424.0,336.0,840.0,251.0,
608.0,735.0,589.0,647.0,137.0,522.0,600.0,471.0,552.0,727.0,657.0,374.0,73.0,693.0,692.0,824.0,217.0,56.0,351.0,315.0,62.0,851.0,87.0,802.0,
816.0,842.0,353.0,637.0,636.0,617.0,43.0,900.0,292.0,696.0,118.0,190.0,249.0,696.0,234.0,453.0,709.0,298.0,411.0,703.0,506.0,792.0,241.0,183.0,
710.0,503.0,318.0,267.0,883.0,162.0,239.0,141.0,181.0,804.0,412.0,187.0,485.0,181.0,756.0,125.0,423.0,833.0,831.0,800.0,888.0,617.0,108.0,620.0,
794.0,135.0,8.0,674.0,604.0,230.0,116.0,635.0,230.0,309.0,380.0,421.0,332.0,626.0,179.0,598.0,378.0,438.0,878.0,250.0,716.0,542.0,828.0,587.0,
86.0,179.0,892.0,706.0,175.0,534.0,713.0,239.0,142.0,434.0,170.0,772.0,381.0,704.0,219.0,156.0,515.0,674.0,547.0,868.0,203.0,365.0,513.0,636.0,
789.0,57.0,775.0,153.0,826.0,316.0,307.0,897.0,420.0,415.0,382.0,99.0,93.0,757.0,600.0,746.0,837.0,817.0,751.0,598.0,331.0,622.0,425.0,217.0,
463.0,171.0,54.0,385.0,649.0,36.0,640.0,414.0,165.0,108.0,397.0,834.0,237.0,438.0,342.0,26.0,252.0,847.0,403.0,290.0,634.0,529.0,684.0,5.0,
395.0,799.0,492.0,562.0,864.0,407.0,462.0,148.0,610.0,301.0,823.0,247.0,726.0,365.0,396.0,139.0,21.0,543.0,846.0,65.0,584.0,126.0,547.0,678.0,
733.0,881.0,9.0,52.0,141.0,225.0,32.0,646.0,551.0,800.0,477.0,728.0,907.0,147.0,84.0,335.0,901.0,338.0,650.0,376.0,301.0,289.0,147.0,405.0,
525.0,628.0,444.0,650.0,659.0,29.0,110.0,633.0,375.0,591.0,563.0,781.0,36.0,674.0,587.0,448.0,428.0,287.0,773.0,424.0,269.0,166.0,452.0,751.0,
768.0,672.0,751.0,595.0,385.0,757.0,658.0,129.0,34.0,140.0,200.0,698.0,107.0,725.0,80.0,860.0,284.0,886.0,858.0,827.0,340.0,347.0,652.0,605.0,
293.0,453.0,755.0,859.0,60.0,456.0,591.0,376.0,96.0,717.0,3.0,552.0,173.0,160.0,686.0,38.0,345.0,167.0,596.0,102.0,457.0,553.0,803.0,262.0,
442.0,596.0,248.0,507.0,687.0,836.0,305.0,373.0,255.0,564.0,506.0,588.0,698.0,39.0,223.0,585.0,206.0,828.0,880.0,607.0,337.0,808.0,205.0,859.0,
141.0,541.0,274.0,190.0,646.0,411.0,582.0,34.0,509.0,399.0,,449.0,309.0,633.0,621.0,804.0,431.0,644.0,877.0,67.0,625.0,421.0,304.0,124.0,
243.0,679.0,688.0,172.0,592.0,21.0,296.0,511.0,274.0,109.0,,688.0,166.0,1.0,783.0,185.0,220.0,384.0,121.0,712.0,24.0,327.0,895.0,87.0,
592.0,25.0,511.0,345.0,753.0,782.0,798.0,641.0,337.0,3.0,,161.0,293.0,110.0,581.0,87.0,477.0,863.0,590.0,834.0,397.0,481.0,5.0,186.0,
133.0,219.0,577.0,557.0,255.0,851.0,651.0,400.0,685.0,676.0,,321.0,757.0,409.0,77.0,283.0,406.0,265.0,546.0,485.0,460.0,683.0,109.0,852.0,
206.0,482.0,703.0,296.0,577.0,875.0,707.0,812.0,405.0,322.0,,222.0,647.0,752.0,795.0,42.0,594.0,305.0,501.0,381.0,349.0,472.0,72.0,763.0,
547.0,99.0,111.0,710.0,262.0,794.0,823.0,133.0,317.0,603.0,,550.0,372.0,614.0,96.0,236.0,646.0,91.0,708.0,637.0,474.0,899.0,1.0,546.0,
797.0,289.0,850.0,227.0,454.0,156.0,545.0,543.0,711.0,249.0,,884.0,559.0,564.0,508.0,248.0,713.0,289.0,434.0,635.0,668.0,500.0,355.0,331.0,
823.0,396.0,749.0,501.0,875.0,210.0,111.0,773.0,348.0,499.0,,93.0,742.0,518.0,198.0,203.0,651.0,251.0,838.0,88.0,451.0,285.0,879.0,239.0,
452.0,308.0,817.0,386.0,457.0,901.0,454.0,91.0,140.0,737.0,,2.0,443.0,775.0,452.0,388.0,634.0,177.0,23.0,699.0,528.0,272.0,795.0,498.0,
387.0,98.0,904.0,828.0,493.0,658.0,622.0,643.0,536.0,37.0,,719.0,893.0,763.0,357.0,24.0,642.0,461.0,235.0,824.0,443.0,212.0,442.0,780.0,
698.0,227.0,862.0,690.0,286.0,129.0,55.0,736.0,553.0,735.0,,848.0,337.0,817.0,443.0,796.0,654.0,440.0,626.0,271.0,,597.0,869.0,457.0,
806.0,514.0,95.0,582.0,552.0,560.0,538.0,530.0,332.0,265.0,,101.0,868.0,325.0,12.0,468.0,156.0,10.0,542.0,411.0,,41.0,383.0,849.0,
622.0,407.0,21.0,893.0,444.0,362.0,433.0,898.0,733.0,810.0,,36.0,498.0,882.0,370.0,344.0,496.0,471.0,87.0,127.0,,415.0,798.0,702.0,
117.0,791.0,112.0,226.0,190.0,364.0,512.0,759.0,366.0,787.0,,369.0,121.0,144.0,25.0,857.0,773.0,558.0,554.0,148.0,,612.0,737.0,392.0,
470.0,689.0,226.0,142.0,244.0,218.0,410.0,779.0,687.0,357.0,,901.0,151.0,635.0,276.0,565.0,189.0,769.0,49.0,360.0,,588.0,650.0,20.0,
276.0,863.0,534.0,42.0,121.0,202.0,511.0,370.0,222.0,352.0,,806.0,442.0,64.0,403.0,110.0,855.0,330.0,540.0,3.0,,794.0,577.0,395.0,
847.0,688.0,493.0,279.0,353.0,610.0,447.0,658.0,98.0,856.0,,327.0,735.0,729.0,845.0,102.0,833.0,527.0,82.0,175.0,,498.0,574.0,518.0,
509.0,876.0,815.0,478.0,86.0,706.0,4.0,211.0,493.0,721.0,,439.0,159.0,138.0,268.0,604.0,200.0,709.0,794.0,802.0,,172.0,195.0,616.0,
409.0,194.0,168.0,728.0,620.0,459.0,278.0,495.0,800.0,412.0,,145.0,376.0,467.0,359.0,833.0,35.0,249.0,1.0,171.0,,399.0,896.0,355.0,
146.0,160.0,225.0,297.0,711.0,678.0,404.0,86.0,618.0,617.0,,845.0,753.0,533.0,165.0,529.0,433.0,99.0,507.0,289.0,,394.0,632.0,789.0,
445.0,451.0,709.0,212.0,817.0,123.0,712.0,436.0,782.0,642.0,,251.0,802.0,598.0,878.0,633.0,27.0,364.0,767.0,358.0,,824.0,302.0,243.0,
36.0,538.0,639.0,230.0,301.0,428.0,686.0,681.0,613.0,297.0,,208.0,478.0,49.0,418.0,575.0,240.0,373.0,379.0,667.0,,581.0,283.0,407.0,
306.0,140.0,463.0,836.0,897.0,524.0,629.0,98.0,263.0,395.0,,738.0,602.0,532.0,868.0,7.0,407.0,163.0,248.0,380.0,,292.0,231.0,196.0,
537.0,671.0,606.0,50.0,449.0,447.0,791.0,724.0,533.0,89.0,,877.0,323.0,62.0,14.0,402.0,711.0,111.0,903.0,214.0,,324.0,681.0,424.0,
846.0,447.0,792.0,470.0,283.0,394.0,64.0,873.0,261.0,402.0,,318.0,97.0,331.0,893.0,65.0,366.0,605.0,743.0,901.0,,25.0,220.0,93.0,
690.0,292.0,433.0,795.0,834.0,176.0,70.0,604.0,248.0,890.0,,313.0,39.0,666.0,112.0,681.0,421.0,788.0,902.0,194.0,,259.0,376.0,764.0,
611.0,654.0,707.0,127.0,766.0,66.0,777.0,33.0,290.0,902.0,,13.0,502.0,105.0,103.0,507.0,209.0,789.0,467.0,480.0,,293.0,416.0,13.0,
323.0,392.0,90.0,633.0,309.0,104.0,488.0,96.0,584.0,223.0,,558.0,497.0,106.0,104.0,381.0,677.0,231.0,108.0,770.0,,186.0,117.0,757.0,
647.0,508.0,299.0,130.0,206.0,27.0,683.0,120.0,609.0,363.0,,824.0,518.0,126.0,23.0,847.0,292.0,883.0,124.0,5.0,,697.0,881.0,219.0,
27.0,871.0,732.0,856.0,769.0,355.0,604.0,832.0,574.0,193.0,,119.0,165.0,278.0,195.0,584.0,737.0,316.0,388.0,385.0,,373.0,27.0,897.0,
67.0,311.0,278.0,711.0,844.0,120.0,18.0,27.0,489.0,595.0,,461.0,574.0,386.0,517.0,317.0,662.0,188.0,780.0,590.0,,423.0,358.0,793.0,
873.0,86.0,649.0,489.0,658.0,477.0,555.0,13.0,612.0,394.0,,154.0,859.0,672.0,777.0,830.0,624.0,484.0,869.0,450.0,,887.0,185.0,249.0,
100.0,241.0,896.0,889.0,709.0,107.0,281.0,17.0,850.0,413.0,,678.0,34.0,844.0,196.0,899.0,599.0,268.0,731.0,398.0,,333.0,35.0,336.0,
862.0,279.0,465.0,218.0,350.0,404.0,44.0,361.0,737.0,477.0,,89.0,795.0,339.0,464.0,46.0,632.0,611.0,24.0,342.0,,806.0,417.0,800.0,
294.0,635.0,202.0,758.0,661.0,258.0,215.0,390.0,751.0,529.0,,155.0,730.0,334.0,682.0,470.0,571.0,809.0,323.0,233.0,,879.0,743.0,189.0,
734.0,221.0,466.0,327.0,605.0,872.0,492.0,138.0,885.0,531.0,,495.0,38.0,470.0,806.0,449.0,233.0,127.0,209.0,69.0,,416.0,76.0,85.0,
330.0,888.0,149.0,392.0,853.0,478.0,528.0,549.0,672.0,709.0,,777.0,570.0,307.0,594.0,499.0,232.0,519.0,723.0,644.0,,495.0,14.0,729.0,
633.0,664.0,607.0,115.0,503.0,106.0,6.0,577.0,430.0,780.0,,605.0,828.0,723.0,701.0,639.0,850.0,615.0,137.0,262.0,,165.0,729.0,145.0,
220.0,143.0,383.0,289.0,417.0,235.0,767.0,139.0,59.0,884.0,,537.0,616.0,857.0,114.0,305.0,0.0,677.0,144.0,504.0,,769.0,599.0,268.0,
466.0,793.0,630.0,193.0,882.0,118.0,790.0,541.0,518.0,655.0,,659.0,432.0,189.0,697.0,106.0,146.0,439.0,65.0,517.0,,77.0,83.0,383.0,
479.0,39.0,188.0,677.0,166.0,245.0,287.0,89.0,818.0,480.0,,474.0,393.0,744.0,738.0,13.0,638.0,428.0,887.0,726.0,,743.0,786.0,838.0,
600.0,807.0,183.0,576.0,428.0,105.0,766.0,188.0,70.0,260.0,,262.0,422.0,79.0,579.0,684.0,17.0,540.0,680.0,656.0,,762.0,796.0,104.0,
815.0,18.0,828.0,141.0,67.0,753.0,289.0,167.0,615.0,682.0,,676.0,814.0,376.0,233.0,683.0,531.0,9.0,568.0,50.0,,87.0,813.0,506.0,
755.0,570.0,110.0,15.0,284.0,823.0,184.0,406.0,768.0,756.0,,675.0,720.0,319.0,68.0,747.0,551.0,446.0,589.0,844.0,,535.0,11.0,723.0,
551.0,470.0,467.0,281.0,116.0,700.0,50.0,435.0,641.0,699.0,,126.0,242.0,876.0,260.0,306.0,43.0,650.0,3.0,747.0,,383.0,384.0,252.0,
123.0,82.0,832.0,384.0,622.0,819.0,778.0,766.0,621.0,715.0,,641.0,750.0,601.0,755.0,153.0,660.0,187.0,600.0,584.0,,829.0,128.0,153.0,
