run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1242,3683,2316,2188,2378,2882,3036,109,2299,2526,648,1867,3101,1714,1496,8,627,2543,1403,3355,447,2732,798,3282,1277
1581,2576,2444,1151,772,2992,2604,2940,2099,580,2921,1204,1870,18,137,1279,2686,3835,2802,1645,2428,1843,425,932,3078
2487,1584,2303,719,476,3390,3488,603,1274,3272,2064,1364,362,1827,1223,3442,2304,2591,2739,2696,1346,351,196,1423,3368
3035,3772,1739,2704,1421,2791,313,1275,124,2325,3452,985,1881,230,2441,1065,1470,2905,3207,3410,3212,258,912,786,2220
2628,2776,1732,173,1229,2835,2198,3163,3084,104,912,162,2448,3092,2614,1093,3416,805,1421,2537,2995,1362,2940,152,641
502,3201,964,3566,1725,3361,1700,2954,557,863,2603,2658,2922,3610,2812,1217,1085,3702,1196,1099,1676,715,711,2616,1133
2600,3020,3485,1756,491,1071,102,1942,790,663,1156,3209,2347,1022,2351,2824,3334,3794,3619,1560,644,3208,3225,1120,1621
88,2744,3656,1958,2343,3771,739,653,1853,1953,2728,2798,433,2385,511,3091,3207,1004,1159,274,2683,2613,3357,631,131
2367,994,294,2553,1490,3488,2566,668,1377,225,1003,1278,791,3464,2610,3590,1472,1805,1694,2325,1907,1070,1357,183,302
2992,3054,1873,1992,1171,1271,3638,2905,3463,1074,2683,1391,231,3130,3817,804,2401,3074,949,1527,989,430,3785,1305,3432
697,52,812,697,2355,139,2584,3074,697,3279,3093,1683,1124,123,1317,2111,475,1554,2694,697,1426,697,305,1883,3143
2314,1959,2518,1922,3033,2551,1883,3220,845,335,3341,1847,2248,697,3552,697,3027,230,3457,2684,2813,845,64,238,242
585,2138,2269,3417,3501,2580,2165,2540,2355,487,45,1663,350,2014,1280,1535,855,2198,1552,1832,3414,48,3481,2201,2549
2320,2561,119,972,3482,315,2077,3016,335,63,1087,3082,1041,3265,3232,3551,1313,2164,2014,1096,3013,2314,344,391,315
2321,2021,1332,936,1640,3626,2200,1965,3501,64,1553,2570,1276,2203,1425,3013,1508,238,1887,605,898,585,2952,548,3626
1797,708,2078,64,3481,2549,1088,3415,2020,671,3153,697,1095,1421,1019,898,928,391,391,79,3551,2023,772,3460,3013
1901,1157,2863,787,798,2837,3263,2476,591,670,199,3649,936,3457,3553,2810,347,1418,2164,1824,1535,2038,2953,2827,898
2138,2343,48,585,3031,292,1086,1512,2050,1728,1213,3779,201,3264,1316,2831,3747,3184,3184,1710,2810,2063,1641,3264,1535
2355,3365,2823,1155,3457,1097,2583,2249,2015,2851,2584,3742,788,2013,1426,3552,874,1552,1888,3360,3552,119,2565,2860,2810
718,697,1136,1041,2580,1103,3186,790,306,672,350,67,671,852,3413,2812,1664,2585,3129,2513,2812,3578,343,2858,3551
3080,1404,853,788,1641,304,959,3577,2931,3398,2248,524,3578,2860,2811,1280,1922,1087,1045,1849,1280,2863,3031,1004,3552
3704,1045,845,201,1273,3594,1885,3086,802,1447,1095,1070,1155,1004,1535,3413,431,3264,2616,347,1425,2518,2930,3186,2812
3613,3129,1449,1042,2616,2579,3265,791,800,445,1276,585,3221,3184,2810,1316,1734,3263,1554,2509,2111,2823,1776,1419,1280
3417,2556,1744,1095,3129,1621,3264,172,2843,1600,1041,2104,787,1554,3551,447,770,3265,2860,3065,1316,1829,1377,2013,1426
2776,2044,586,1276,2860,3627,3341,621,799,1846,48,2967,1042,2556,898,3553,1258,1086,2013,3744,3553,2607,2955,1888,2111
2788,2626,2882,2248,2013,2111,631,1139,2842,1071,788,3274,3096,391,3013,2811,962,2583,2203,1575,3413,63,1643,1088,2831
2880,1405,2016,350,1888,1535,120,3330,3481,542,787,3307,3538,1887,2111,1425,2944,959,2204,2685,2811,2016,2016,3341,341
2822,2235,3121,3096,1404,898,1887,789,344,1732,201,2318,3097,2164,3556,1019,2592,2860,3264,2496,1019,3121,1935,1554,2056
1909,2562,64,3807,121,3013,391,3107,2952,2883,3221,3275,1094,1552,447,2549,1163,2013,3265,1711,1317,2609,853,3263,1425
2689,1804,3120,671,3185,3551,1419,724,2953,2518,3538,571,434,1888,339,1426,3635,121,1004,1306,3231,64,345,121,3413
1219,1637,2024,3541,2201,2810,45,3106,772,1069,1094,557,3541,2616,448,3556,1016,1888,230,80,2831,344,1640,1086,2811
3817,3739,2023,434,2575,1280,1087,2057,1776,3120,1155,1449,2369,2204,3231,163,55,2203,2858,986,3232,2952,1273,3265,2837
562,3732,715,995,2012,1425,3184,2636,343,2024,2585,3668,3531,3263,340,3231,234,3186,3262,97,2549,2843,488,2203,1019
3242,899,3175,1705,2218,3555,392,1910,1641,48,2165,2849,3362,45,2831,2813,283,2012,2562,3070,1021,671,1642,2583,3553
2544,2288,1935,2369,3239,3552,230,3117,3031,2608,2200,2543,3066,1087,2832,3414,2782,2858,852,2815,3240,548,3175,959,1316
3270,2164,2777,1210,2203,2812,1552,1274,305,488,1283,2964,995,121,809,452,368,125,1404,435,1806,1120,3120,2198,2832
2063,391,1069,152,3264,2831,2585,850,3532,1273,120,1908,1705,2585,3626,1317,242,1419,238,258,1020,465,2024,1887,3231
1442,238,2609,3531,1004,1316,2164,3190,496,1934,1418,96,1210,959,2549,3555,3579,1887,757,2791,3554,3460,1069,2200,3556
3275,1004,1934,1156,2164,3553,238,1024,2930,500,1552,2613,73,1884,315,1181,1944,3262,1405,474,882,2827,1051,2165,447
2318,2616,1733,927,391,3413,1004,3105,1643,1640,1887,2965,193,3186,2837,1021,3070,631,1804,1971,341,759,63,2584,339
1798,1554,1995,3039,238,1426,2014,1094,2955,1272,391,2063,927,2165,2835,2832,1790,3341,2343,941,3556,343,2607,3262,448
465,3731,1936,988,45,1019,1418,2169,798,2016,2198,3461,2720,2584,139,448,1073,1885,3238,1181,339,2953,1071,3184,3241
571,1888,63,2720,3341,2811,2860,2170,345,3121,631,3271,988,1419,341,339,2467,392,3739,2733,697,1641,2608,3185,882
3274,3264,2038,542,2858,3556,2012,3576,1642,2609,3186,2966,3039,3238,2813,3241,3049,45,3732,3525,448,495,500,2562,3555
2967,2013,2607,3066,2585,2813,2013,3097,1640,2607,1419,2848,2773,2562,3414,882,466,2014,899,2416,3241,305,2038,1885,2835
3272,2860,1829,73,3263,3414,121,1321,1273,2955,3263,1494,2471,1088,1021,1020,573,2165,2981,641,2832,2425,715,759,139
464,2204,1071,1857,1086,447,2203,3538,3482,2038,3265,1235,3520,3341,3241,3554,820,2200,3731,2542,3555,2955,1936,230,1020
463,3184,2608,3520,3265,2503,3185,3221,801,715,2199,160,1857,2198,882,1806,3629,1088,3733,3143,340,1936,2609,1421,3554
548,3238,1051,682,2584,3231,1554,2248,63,1829,1086,1262,682,2200,1020,3240,2930,2584,3239,242,2927,2608,1829,2012,1806
1120,3733,345,2471,1552,1317,2858,350,671,1709,2583,3656,152,1086,1806,340,2568,1884,2288,501,2833,463,1934,2077,3240
3460,2981,2931,199,2198,1021,3261,788,64,1936,959,2622,1156,2583,3554,341,1799,3238,1252,3049,880,464,1995,2164,1317
2827,2869,802,2278,1418,64,3262,1276,487,2023,3264,2623,1704,1885,3240,3606,572,2562,2869,1922,1279,487,3121,2585,304
759,3239,775,2773,1087,1012,46,1095,1447,1995,2164,3666,2990,339,3555,880,1802,3239,1766,1073,881,488,2777,1552,292
569,852,2955,2990,3184,3241,125,787,3398,1935,1088,3273,199,898,880,3232,453,3110,1959,714,2761,569,1956,1087,1012
462,1766,306,1704,2165,882,760,201,2851,3175,1885,3665,3105,3013,1620,315,3340,3261,1957,10,3626,462,2759,45,3594
3628,2858,2049,3538,2200,2832,1804,1041,21,772,1076,1060,652,2810,2318,2837,3241,3466,1637,229,315,3628,1272,463,2579
3542,757,2050,3221,3186,2412,3238,1155,488,3031,1042,3667,2170,3552,304,3626,882,3241,1251,3524,2835,3279,3482,464,1297
755,2872,2020,3105,1419,1020,3739,1042,1600,3481,238,1160,2726,3551,292,139,339,339,2235,1392,139,853,2842,1797,3303
3279,2574,1615,670,1887,3554,2659,3578,670,3482,2014,910,3292,1425,1012,2835,1425,448,128,2316,2837,1615,2023,1418,2813
775,1552,800,3602,1088,1806,3239,936,1732,2842,2615,1161,405,1535,1097,304,1279,1019,2659,1313,292,335,2843,392,3414
3626,1887,2015,2851,631,3240,3732,3096,3287,306,3260,2558,2488,2812,3594,3594,1019,1425,1418,928,1620,1934,2851,3261,1021
2549,3265,799,1511,3241,339,3731,1156,1071,800,1004,17,1138,1019,2579,2579,2811,3553,3237,1508,304,1377,1846,120,1097
315,230,3094,652,898,448,3110,3093,495,2049,3184,465,3570,1280,449,965,3553,1316,392,855,3594,3626,670,569,738
2837,2203,2503,1430,3013,341,3237,1732,2174,798,392,1798,2573,3553,1297,1620,1316,1426,3110,475,2579,2549,3398,462,340
2581,1421,3080,76,2111,340,899,1332,672,2931,230,1799,670,2811,1621,1097,1426,2811,2200,770,1097,315,1447,3628,3627
1280,3262,2953,929,1019,2927,3733,1731,1265,802,1332,572,2851,3555,1279,292,1535,2111,587,2686,1012,2837,445,571,697
2831,2014,343,3447,1425,2833,2981,1136,3175,1639,3466,2568,1511,1316,2550,1012,2111,1535,2574,1092,1621,292,1600,499,2927
