targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,4.04,2.986369032788814,14.0,1.0,4.362068965517241
7.1,4.16,3.306720429670461,16.0,1.0,4.558558558558558
7.2,5.28,4.303672850020084,16.0,1.0,5.00990099009901
7.3,5.36,4.297720325940253,16.0,1.0,5.270833333333333
7.4,5.96,6.1219604703068775,29.0,1.0,5.816091954022989
7.5,6.04,6.082631009686516,29.0,1.0,6.571428571428571
7.6,10.44,19.68162594909272,100.0,1.0,7.4411764705882355
7.7,11.16,19.554395925213342,100.0,1.0,8.433333333333334
7.8,11.44,19.499907692089216,100.0,1.0,9.035714285714286
7.9,11.48,19.51024346337072,100.0,1.0,9.547169811320755
8.0,11.48,19.51024346337072,100.0,1.0,9.547169811320755
8.1,12.04,19.998959972958595,100.0,1.0,10.12
8.2,13.36,19.843144912034482,100.0,1.0,12.047619047619047
8.3,13.36,19.843144912034482,100.0,1.0,12.974358974358974
8.4,14.12,19.682113707628048,100.0,1.0,15.333333333333334
8.5,15.2,19.728152473052308,100.0,1.0,17.448275862068964
8.6,16.24,19.76720516410957,100.0,1.0,19.46153846153846
8.7,16.24,19.76720516410957,100.0,1.0,21.083333333333332
8.8,16.72,19.584728744611198,100.0,1.0,23.0
8.9,17.16,19.574840995522802,100.0,1.0,24.095238095238095
9.0,17.2,19.571407716360113,100.0,1.0,26.63157894736842
9.1,17.2,19.571407716360113,100.0,1.0,29.764705882352942
9.2,17.36,19.626268111895346,100.0,1.0,33.733333333333334
9.3,21.48,25.068099249843414,100.0,1.0,42.166666666666664
9.4,46.44,44.02461129868156,100.0,1.0,56.22222222222222
9.5,46.44,44.02461129868156,100.0,1.0,56.22222222222222
9.6,68.0,39.774363602702685,100.0,1.0,168.66666666666666
9.7,68.0,39.774363602702685,100.0,1.0,168.66666666666666
9.8,89.24,29.227767619166542,100.0,1.0,253.0
9.88941028970075,89.24,29.227767619166542,100.0,1.0,253.0
