run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
313,243,222,127,256,315,134,119,288,279,289,133,134,159,160,305,315,314,289,67,127,179,314,268,173
282,281,243,328,288,288,310,279,67,127,295,179,256,134,119,279,134,315,214,159,289,281,321,295,222
268,121,305,279,276,121,289,71,279,256,119,243,243,328,71,304,289,310,304,121,222,312,281,282,284
312,313,160,288,282,279,67,160,310,119,134,315,279,281,256,295,310,67,279,284,71,71,319,243,288
288,321,312,276,321,282,276,222,71,222,130,288,295,310,243,268,133,159,243,310,173,134,305,256,130
256,312,319,282,268,130,312,284,295,304,121,121,304,127,279,243,314,289,134,133,214,321,71,313,159
173,288,67,256,312,67,121,256,179,281,214,160,319,256,121,282,284,130,268,304,284,279,214,127,133
119,310,281,305,284,281,281,310,134,313,243,284,71,319,315,281,256,295,312,222,310,67,268,159,304
179,305,214,222,119,289,133,130,304,328,305,159,289,71,305,71,276,312,67,321,121,304,312,312,214
310,319,71,319,295,173,321,319,319,315,222,256,127,295,284,119,159,279,313,328,321,282,173,71,312
255,279,72,255,255,319,102,255,72,255,102,255,255,255,255,72,255,319,319,300,72,72,72,255,279
177,159,300,71,177,135,130,154,214,154,300,154,154,177,177,173,209,102,160,303,81,214,303,177,319
71,289,256,154,71,280,279,72,159,71,312,71,72,72,72,135,71,288,101,312,279,256,256,72,134
72,235,255,72,72,268,319,308,289,72,159,72,312,308,308,319,203,121,291,319,319,255,255,308,310
308,300,154,308,308,291,159,312,160,308,276,308,308,216,203,252,29,119,288,279,288,154,308,216,289
326,160,308,173,216,134,300,159,291,216,160,312,159,326,29,280,28,276,159,288,159,308,118,326,291
203,134,203,203,326,159,288,203,101,319,127,203,326,203,88,256,266,160,121,289,256,159,203,118,277
29,130,29,29,279,136,160,29,256,326,161,29,203,29,266,255,139,127,276,160,255,203,29,203,81
214,276,328,134,319,160,304,88,255,310,288,88,29,324,42,308,42,134,162,291,308,29,135,29,121
279,304,88,190,134,162,282,42,326,159,279,42,88,118,214,326,72,291,300,162,326,88,154,135,160
319,295,266,159,118,295,295,266,308,118,319,214,266,164,190,118,252,162,295,130,203,266,282,324,162
135,282,42,225,159,299,161,214,203,203,162,266,42,268,252,203,126,243,265,280,29,42,279,252,161
159,133,252,312,252,308,119,190,29,29,291,190,214,279,326,29,132,265,232,134,154,252,133,164,280
118,119,190,324,203,303,127,252,154,135,304,252,190,225,118,324,190,232,293,299,324,190,134,225,281
324,127,164,133,29,335,162,324,312,190,265,331,252,135,324,164,312,179,294,136,312,326,159,302,282
164,291,126,268,324,265,313,126,324,324,67,326,331,302,164,134,57,309,119,190,118,118,304,126,313
134,161,331,280,164,243,305,164,216,312,232,118,132,288,132,133,324,294,127,11,164,324,280,134,136
276,162,132,281,225,232,280,132,118,164,293,164,126,119,126,276,216,284,306,320,179,132,313,276,299
280,265,159,304,135,126,299,216,164,134,309,132,164,276,159,225,164,161,258,281,119,216,136,265,305
127,67,135,135,302,119,136,268,314,268,294,268,268,133,312,302,204,306,326,282,276,268,288,119,303
281,232,268,136,310,276,308,311,268,288,335,279,216,282,319,13,308,258,259,313,134,135,324,67,181
133,293,216,299,311,127,243,288,135,276,310,319,302,280,216,136,288,326,327,305,130,164,164,280,142
136,294,302,13,232,294,265,135,252,132,284,216,324,13,135,265,319,259,211,161,265,319,130,136,163
302,335,134,303,293,133,232,134,13,179,120,135,311,312,268,232,167,287,143,295,232,302,299,133,308
