run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
385,579,317,80,253,470,443,756,176,478,124,597,263,477,331,374,468,189,575,643,640,557,128,203,458
667,148,637,346,63,787,187,653,78,55,384,702,598,4,428,218,292,375,274,550,20,165,117,431,70
283,247,631,669,67,283,315,540,670,304,163,607,752,728,117,638,749,785,579,596,494,782,585,564,205
533,435,510,263,684,151,232,110,307,30,52,309,513,763,71,265,42,58,309,736,470,680,278,500,105
364,60,447,593,425,761,787,607,283,311,27,158,691,337,364,67,784,684,741,16,325,360,208,659,241
14,81,330,85,535,163,645,389,602,194,747,299,63,741,134,267,588,248,169,537,337,549,248,584,581
230,414,732,406,146,28,271,232,18,98,45,456,224,390,509,38,523,294,45,62,202,375,77,638,456
75,463,582,521,164,341,33,34,758,106,276,73,640,651,769,343,672,662,292,295,182,412,16,434,104
417,519,658,61,299,384,601,385,312,757,237,272,675,135,678,103,662,535,608,245,632,296,443,112,619
31,596,109,499,282,755,738,430,30,47,190,502,379,70,568,671,300,632,9,202,116,284,67,441,187
86,32,443,78,287,783,235,260,549,712,789,567,147,692,169,654,407,233,501,71,442,311,177,292,649
139,681,313,451,680,16,237,671,566,213,260,658,154,263,622,747,280,153,223,32,759,190,481,170,293
185,654,520,712,599,176,416,655,763,25,654,15,211,783,161,789,383,166,244,729,78,539,296,195,587
604,737,657,391,218,41,236,236,648,416,737,746,730,543,275,681,789,767,444,760,391,267,32,679,715
424,760,180,137,473,589,739,416,349,236,681,661,62,183,722,737,747,730,64,654,647,322,339,220,697
0,747,263,259,315,776,260,237,330,237,760,171,121,342,466,760,654,530,636,681,532,403,730,547,694
743,789,260,227,538,563,718,718,706,718,738,136,429,127,41,381,737,95,130,737,100,425,684,300,144
735,532,295,179,433,495,141,235,582,260,467,378,651,166,106,736,681,669,757,747,423,457,62,705,71
237,736,211,450,374,320,184,739,671,235,718,653,393,767,482,467,760,729,227,789,445,580,663,707,126
718,467,686,141,761,38,742,738,45,738,601,615,684,730,296,641,736,414,31,398,201,346,209,214,711
416,619,754,335,484,32,252,141,377,739,736,716,354,659,649,522,467,706,53,619,409,417,753,260,436
236,641,228,564,217,621,526,184,240,526,235,594,291,260,641,236,398,756,775,377,228,80,121,311,169
235,522,673,465,81,394,713,526,504,713,739,311,272,95,729,387,771,167,771,771,638,77,595,116,45
738,692,326,35,649,716,519,713,710,105,141,736,449,530,522,112,619,237,301,614,709,6,0,323,343
260,387,789,203,747,607,105,105,551,184,742,649,277,669,671,692,641,718,716,101,448,760,571,295,208
739,237,747,482,789,42,656,601,548,519,533,789,261,97,789,672,236,416,318,641,612,654,288,310,196
526,718,654,145,654,506,699,519,753,601,416,747,388,706,747,738,522,236,88,416,310,681,393,435,33
713,739,681,56,681,333,112,742,600,656,236,654,351,756,654,123,613,235,39,236,702,737,282,209,540
105,416,737,754,737,204,376,699,282,742,112,681,632,729,737,237,692,738,66,237,294,747,388,706,75
184,236,760,120,760,255,552,112,555,470,323,737,116,411,760,718,738,260,147,235,313,789,660,444,636
329,235,736,631,736,316,536,552,545,699,773,760,571,253,681,235,123,739,433,739,38,260,88,538,723
519,260,619,458,641,733,126,536,789,329,641,467,516,237,736,739,729,526,653,260,174,736,116,556,298
742,738,398,182,236,582,323,323,747,552,730,398,212,718,416,416,718,141,526,738,65,253,374,769,27
601,673,641,175,522,199,641,126,654,673,123,641,115,416,236,260,32,713,236,329,684,641,272,619,682
656,112,237,551,112,342,522,376,681,425,729,236,2,236,237,141,112,470,416,718,575,236,612,408,11
699,95,718,317,672,640,736,656,737,112,692,522,36,235,718,649,739,601,237,376,688,522,65,396,719
376,533,522,535,692,273,729,425,760,376,649,613,201,738,235,1,730,184,718,692,89,671,404,416,590
279,141,235,414,398,650,789,641,736,323,102,387,461,739,739,95,532,519,235,112,408,387,50,236,379
323,462,738,438,431,428,747,522,398,536,785,692,65,526,738,533,311,105,738,652,322,692,492,237,692
552,526,739,20,671,647,654,730,619,641,526,431,326,713,126,266,416,656,260,95,251,399,515,718,143
673,652,266,156,730,532,681,736,641,522,771,237,49,141,112,526,237,699,739,532,741,431,106,235,438
112,771,692,762,311,423,737,729,236,730,522,718,353,470,467,771,235,742,713,533,714,237,688,738,568
641,123,416,713,718,574,760,789,522,736,398,739,459,105,771,652,260,552,105,526,733,718,326,739,199
