run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
461,572,1486,485,158,591,24,474,1245,1478,810,70,1137,1322,148,683,1235,1156,726,1414,1106,1419,329,810,821
1126,983,1396,16,661,1103,892,185,978,346,722,647,314,1355,659,920,90,839,417,759,698,890,1438,87,143
34,782,1497,578,880,1310,1394,43,1294,160,1235,616,922,1178,199,103,58,878,316,1350,669,230,750,1328,936
491,536,387,140,534,1415,436,1044,529,281,97,1038,1220,1384,1019,350,588,734,1049,1173,631,41,338,1483,292
9,1143,457,854,649,269,754,60,243,557,1445,363,897,5,3,497,1267,1403,926,1460,1114,1193,95,25,1468
982,309,1137,1370,406,805,1458,915,117,970,143,751,610,656,869,218,1075,865,129,299,496,542,120,1137,627
425,1364,653,1187,759,663,988,530,337,289,668,430,1390,501,754,1085,1394,216,1206,851,1175,944,623,559,727
1379,248,1216,194,571,988,1139,409,1063,669,348,773,639,435,1364,504,873,1199,1292,1205,1255,1015,250,1345,1431
315,181,1344,1451,1200,857,847,707,421,1432,1339,1117,1229,877,1126,44,106,358,1468,466,877,131,1384,686,937
303,91,14,1385,401,978,571,363,427,1397,1472,828,10,306,1276,735,890,958,832,1250,130,1199,882,736,307
1333,1430,347,974,1201,760,711,1348,175,1480,921,453,1312,383,711,1209,419,1442,811,395,610,1312,1441,1342,1351
710,200,1446,682,1228,977,713,971,410,1476,341,588,131,645,713,219,357,882,1316,1437,516,897,1437,370,1419
144,1318,476,201,1474,759,803,1440,531,1486,772,490,772,657,803,1299,1044,1437,1471,863,529,772,358,883,1421
711,866,809,203,1483,1084,48,1446,440,1360,473,1441,921,384,48,1224,762,1441,1472,672,288,921,1442,68,1422
713,790,747,473,1501,700,9,721,172,1221,80,882,1339,659,9,1256,763,672,1360,358,44,1339,672,1428,1210
803,597,1149,80,1485,1045,78,1149,828,824,975,1437,341,1258,78,1428,761,1455,1501,864,126,341,1455,432,1223
1191,1408,299,975,397,716,461,299,793,1471,375,358,473,827,461,693,764,1499,1474,538,1244,473,1499,1299,1350
1208,1319,855,375,1482,1332,139,1343,1289,524,683,1442,80,82,139,696,1338,1234,1483,1442,1311,80,1234,218,1420
1336,247,477,683,396,704,144,970,705,1293,505,672,975,97,144,1342,887,1078,1481,882,1310,975,1078,1209,1424
1317,1452,343,505,1481,717,242,1447,1189,938,939,1455,375,98,242,540,924,387,1484,1441,1221,375,387,219,208
1335,1499,344,939,1493,1321,1193,1363,649,851,1226,1499,683,988,1193,772,1313,863,1200,1455,469,683,863,1224,167
48,1455,730,1226,1484,1207,710,991,22,395,194,1234,505,1157,710,1453,888,1040,398,1499,1052,505,1040,1256,402
78,882,796,983,398,1085,1333,1448,12,1437,983,1078,939,83,1333,1324,835,637,1495,1234,124,939,637,693,378
139,1441,778,772,1495,1320,1191,1423,292,863,205,387,1226,293,1191,1128,1320,1065,1475,1078,880,1226,1065,696,406
754,1437,733,921,1475,76,1208,14,1101,672,201,863,194,420,1208,941,76,698,396,387,86,194,698,540,1019
242,358,860,205,1479,890,1336,347,575,358,203,1040,983,727,1336,390,1314,864,1493,1040,87,983,864,772,1036
1193,1442,1418,251,408,362,1317,476,407,864,251,637,205,1260,1317,983,77,197,1201,637,468,205,197,1453,934
1043,672,781,341,558,1337,1335,809,1406,538,974,1065,201,246,1335,869,1337,395,1228,1065,88,201,395,1324,1248
1334,1234,185,1339,863,1314,1043,747,920,1442,682,698,203,1024,1043,303,778,1422,1485,698,1307,203,1422,1128,893
79,1078,1066,1324,672,356,1334,855,953,882,1324,864,251,385,1334,720,226,504,397,197,879,251,504,941,848
753,387,1387,899,358,712,79,477,806,1441,899,197,974,103,79,692,347,851,1482,1422,38,974,851,390,558
105,863,1447,146,864,889,753,343,965,1455,146,395,682,1259,753,1331,781,1328,1479,504,50,682,1328,983,672
1194,1040,780,204,851,1346,105,344,291,1499,204,1422,1324,1268,105,785,476,453,558,1328,142,1324,453,869,863
73,637,224,1429,395,355,1194,730,43,1234,1429,504,899,979,1194,1033,855,639,1075,453,881,899,639,683,358
1433,1065,1388,869,538,896,73,796,368,1078,869,851,146,609,73,1330,343,1095,1116,639,1051,146,1095,303,864
104,698,971,1179,1442,1371,1433,778,979,387,1179,1328,204,616,1433,801,780,378,408,1095,1309,204,378,720,851
140,864,345,302,882,1338,104,733,534,1040,302,639,1429,410,104,251,344,406,864,378,1243,1429,406,692,395
1377,197,1043,254,1437,887,140,860,568,637,254,1095,869,292,140,257,1067,1002,395,406,127,869,1002,1331,538
1387,395,144,303,1441,924,1377,1418,1153,1065,303,378,1179,1460,1377,1035,788,1019,882,1002,99,1179,1019,785,1442
860,1422,1333,1033,1455,1044,1387,781,481,698,1033,406,302,550,1387,842,1064,588,672,1019,447,302,588,1033,882
1418,504,9,941,1499,1313,860,1066,471,197,941,1002,254,1330,860,1179,716,338,863,588,85,254,513,1330,1437
1416,851,710,801,1234,357,1418,1387,13,1422,801,1019,303,1362,1418,719,1084,513,358,338,443,303,1227,801,1441
1376,1328,711,940,1078,419,1416,780,293,504,940,338,1033,275,1416,1326,977,1227,851,513,706,1033,823,251,1455
14,453,713,301,387,762,1376,224,998,1328,301,513,941,1234,1376,841,809,823,538,1227,1236,941,362,257,1499
1388,639,803,257,1040,763,14,1388,496,453,257,1227,801,1305,14,1034,477,362,1442,823,49,801,356,1035,1234
250,1095,1191,898,637,761,1388,345,919,639,898,823,940,538,1388,898,733,356,1437,362,1231,940,507,842,1078
970,378,1208,1035,1065,106,250,1043,286,1095,1035,362,301,719,250,1435,978,507,1441,356,125,301,1076,1179,387
1427,406,1336,1435,698,764,970,144,267,378,1435,356,257,841,970,389,747,1076,1455,507,119,257,1232,719,1040
1068,1002,1317,826,197,888,1427,1333,49,406,826,507,898,35,1427,505,760,1232,1499,1076,878,898,474,1326,637
721,1019,1335,842,1422,835,1068,9,936,1002,842,1076,1035,281,1068,826,1066,474,1234,1232,1308,1035,365,841,1065
1413,588,48,1331,504,77,721,710,62,1019,1331,1232,1435,909,721,1434,222,365,1078,474,709,1435,971,1034,698
1227,338,78,1434,1328,778,1413,711,550,588,1434,474,826,1331,1413,80,313,971,387,365,100,826,844,898,197
253,513,461,719,453,226,1227,713,613,338,719,365,842,698,1227,940,730,844,1040,971,528,842,647,1435,504
299,1227,139,1326,639,347,253,803,808,513,1326,971,1331,12,253,1329,749,647,637,844,120,1331,818,389,1328
1343,823,754,1330,1095,781,982,1191,1281,1227,1330,844,1434,379,982,473,796,818,1065,647,570,1434,1004,505,453
1467,362,242,720,378,476,299,1208,1483,823,720,818,719,13,299,975,224,1004,698,818,334,719,368,826,639
63,356,1193,841,1002,855,1343,1336,1501,362,841,1004,1326,842,1343,1325,269,368,197,1004,884,1326,550,1434,1095
680,507,1334,310,1019,343,1467,1317,1474,356,310,368,1330,513,1467,921,1201,550,1422,368,1199,1330,1233,80,1002
1180,1076,79,1312,588,780,63,1335,1493,507,1312,550,720,1326,63,1339,1455,1233,504,550,1295,720,185,940,588
971,1232,753,354,338,344,680,48,1200,1076,354,1233,841,28,680,341,1499,185,1328,1233,365,841,581,1329,338
1446,474,105,1256,513,1067,1180,78,1481,1232,1256,185,310,112,1180,939,882,581,453,185,1120,310,364,473,513
1454,365,1194,897,1227,788,971,461,1484,474,897,581,354,534,971,1226,1441,364,639,581,569,354,813,975,1227
1466,971,73,1034,823,1064,1446,139,396,365,1034,364,1256,932,1446,1429,1437,813,1095,364,1461,1256,490,1325,823
62,844,1433,1329,362,809,1454,754,1495,971,1329,813,1034,174,1454,194,358,490,378,813,568,1034,386,921,362
981,647,104,55,356,477,1466,242,398,844,55,386,1329,1125,1466,205,1442,386,406,490,217,1329,399,1339,356
1363,818,140,1012,507,733,62,1193,1201,647,1012,399,55,639,62,201,672,399,1002,386,268,55,235,341,507
185,1004,1377,993,1076,747,981,1334,1475,818,993,235,1012,1034,981,55,1234,235,1019,399,1080,1012,1420,939,1076
64,368,1416,1325,1232,1066,1363,79,1228,1004,1325,1420,993,197,1363,974,1078,1420,588,235,45,993,256,1226,1232
