run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
253,1298,17,349,726,660,701,110,506,433,976,1046,1061,393,1036,763,1320,1254,857,999,693,830,1229,633,454
426,1085,1089,150,260,479,971,108,691,514,834,1252,710,1040,103,100,532,1110,786,977,1294,971,767,1197,542
1093,283,273,522,902,954,308,13,51,412,305,372,137,195,561,1327,777,906,429,96,1143,1178,1330,207,927
1314,604,270,180,566,349,843,679,952,1017,124,937,323,1227,1293,989,1119,464,989,492,903,826,811,713,271
1282,575,873,613,776,755,1049,860,93,59,1305,484,779,1161,1241,913,1244,1127,14,922,839,932,506,615,763
799,1219,789,635,270,1213,221,17,169,1286,1174,447,996,851,268,1333,515,715,453,18,1057,766,824,1307,1083
870,478,956,588,13,739,1115,760,283,515,567,220,450,33,727,8,493,1205,269,1249,1177,853,464,954,349
1148,255,492,166,280,775,381,557,296,1267,665,246,1305,1190,791,427,519,107,475,305,1146,1158,185,353,264
310,350,781,1155,885,728,954,426,589,259,271,920,954,214,353,194,608,542,1318,494,92,1036,522,25,1301
1190,262,779,969,854,1241,264,751,147,1274,325,1148,331,269,51,1150,801,413,1310,263,575,831,443,1239,818
1327,1084,955,1153,901,949,949,749,951,1254,938,1150,949,611,1083,1328,1321,904,1312,994,901,486,1327,949,561
1328,1135,960,1154,903,951,951,748,953,1261,1095,1153,951,861,1145,1330,1327,905,1316,996,902,901,1328,951,1145
1333,1136,1187,1150,904,953,953,750,957,1294,805,1157,953,0,1147,1329,1328,901,1311,992,904,904,1333,953,1147
1330,1139,1186,1156,906,957,957,745,972,1302,1110,1159,957,1110,1144,1331,1333,902,1313,990,906,906,1329,957,1144
1329,1140,1189,1162,881,971,946,747,975,1265,20,1160,971,583,1142,1314,1314,903,1315,1001,881,905,1331,971,1142
1331,674,1188,1148,900,946,972,744,971,1305,910,1161,946,756,1148,1323,1323,881,1323,1000,900,902,1314,946,1148
1323,675,1190,1160,905,972,975,746,946,1309,1042,1158,972,412,1153,1326,1312,900,1325,875,905,903,1323,972,1153
1326,676,1191,1149,898,975,1192,446,1192,1268,227,1162,975,1094,1143,1334,1316,898,1327,1005,898,881,1326,975,1143
1334,677,1185,1157,899,1192,1194,971,954,1277,1286,1156,1192,911,1154,1312,1318,899,1328,998,899,900,1334,1192,1154
1312,308,961,1159,516,1194,1193,951,1194,1287,40,1149,1194,932,1073,1316,1311,516,1333,1020,516,898,1312,1194,1073
1316,670,962,1161,272,1193,1195,953,1193,20,126,1152,1193,489,1160,1318,1313,272,1329,1019,272,899,1316,1193,1160
1318,671,965,1158,1216,1195,1198,957,1195,910,802,1142,1195,38,594,1311,1315,1216,1330,1012,1216,516,1318,1195,594
