run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
372,523,634,197,805,563,759,816,317,487,742,164,474,285,603,228,679,550,239,362,62,216,271,406,407
676,732,871,711,629,406,801,790,475,719,510,788,176,200,193,58,298,541,627,485,659,490,756,574,779
548,180,175,378,525,510,22,426,183,847,43,754,79,853,616,370,484,654,792,38,58,260,206,357,622
293,185,74,612,285,736,315,390,764,40,153,770,421,316,54,251,216,428,737,399,422,16,5,644,764
382,435,847,702,461,546,809,500,730,460,577,258,646,523,106,777,225,735,259,75,377,614,643,253,105
532,34,521,857,286,577,93,650,130,283,450,371,116,678,132,634,532,692,863,383,554,460,527,188,696
263,73,309,51,624,822,476,613,485,148,486,46,870,665,551,210,537,381,9,844,698,131,36,609,823
636,59,185,27,520,199,273,277,287,729,407,449,140,769,683,120,684,210,766,704,860,568,412,134,37
230,726,374,411,138,683,492,592,637,393,367,381,280,660,534,606,55,591,794,694,578,110,473,273,174
215,2,846,440,193,709,709,705,585,164,473,798,120,46,326,94,319,447,198,855,307,165,334,733,478
217,28,242,222,45,823,641,87,480,826,857,269,32,205,547,25,381,16,537,598,370,217,46,292,770
543,825,98,46,560,217,732,840,765,381,849,96,381,368,391,579,57,77,416,424,169,713,222,630,224
546,286,222,473,589,188,569,121,567,9,201,694,808,550,853,490,523,251,238,217,853,239,86,45,549
740,370,45,849,204,636,733,854,821,370,712,421,96,152,544,764,713,25,821,683,534,215,560,152,314
188,479,27,201,210,543,363,342,469,394,193,848,853,81,636,546,669,579,219,303,840,383,193,543,394
216,31,171,562,97,586,54,343,460,76,804,104,703,323,188,543,663,490,419,215,296,669,335,546,452
713,826,667,28,435,460,389,344,250,458,848,323,840,223,546,188,804,764,178,242,829,335,857,636,451
483,125,86,368,334,542,708,386,355,751,860,223,675,314,543,636,848,354,653,335,443,186,805,589,318
660,32,632,811,27,353,237,640,76,586,805,804,693,292,542,545,587,765,418,483,533,424,849,448,667
448,126,445,805,46,461,567,325,586,461,111,849,178,85,296,548,408,250,212,427,576,683,848,545,355
545,590,15,193,86,853,821,774,354,765,169,201,419,630,15,328,227,355,476,192,415,242,201,548,250
132,127,633,848,222,250,496,719,25,250,223,805,212,59,632,23,506,586,811,199,414,483,138,391,765
544,114,446,98,171,355,553,771,251,355,323,860,537,171,633,542,30,353,678,670,854,660,45,132,586
547,323,564,171,849,765,457,558,579,251,46,169,455,478,445,586,483,459,177,187,500,251,204,547,461
391,223,489,712,201,445,137,674,490,25,114,114,291,644,446,448,201,328,322,282,825,579,589,544,460
