targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.48,3.1256359352938086,15.0,1.0,3.610526315789474
7.1,4.24,3.5696498427716965,15.0,1.0,4.341772151898734
7.2,4.56,3.611980066390179,15.0,1.0,5.044117647058823
7.3,5.96,5.007833863058957,17.0,1.0,7.297872340425532
7.4,6.36,5.432347558836787,17.0,1.0,9.8
7.5,8.52,6.899971014431874,22.0,1.0,12.25
7.6,14.32,14.520936608910601,55.0,1.0,16.333333333333332
7.7,27.24,24.818186879786367,80.0,1.0,21.4375
7.8,27.4,25.047155527125227,80.0,1.0,22.866666666666667
7.9,28.8,24.970382456021774,80.0,1.0,26.384615384615383
8.0,30.32,23.807091380510972,80.0,1.0,31.181818181818183
8.1,33.4,23.2826115373684,80.0,1.0,38.111111111111114
8.2,33.4,23.2826115373684,80.0,1.0,38.111111111111114
8.3,38.64,23.839261733535288,80.0,1.0,49.0
8.4,38.64,23.839261733535288,80.0,1.0,49.0
8.5,38.64,23.839261733535288,80.0,1.0,49.0
8.6,38.64,23.839261733535288,80.0,1.0,49.0
8.7,38.64,23.839261733535288,80.0,1.0,49.0
8.8,38.64,23.839261733535288,80.0,1.0,49.0
8.9,38.64,23.839261733535288,80.0,1.0,49.0
9.0,38.64,23.839261733535288,80.0,1.0,49.0
9.1,38.64,23.839261733535288,80.0,1.0,49.0
9.2,38.64,23.839261733535288,80.0,1.0,49.0
9.3,38.64,23.839261733535288,80.0,1.0,49.0
9.4,38.64,23.839261733535288,80.0,1.0,49.0
9.5,38.64,23.839261733535288,80.0,1.0,57.166666666666664
9.6,38.68,23.776829056878043,80.0,2.0,68.6
9.7,39.16,23.795260032199693,80.0,2.0,85.75
9.8,39.16,23.795260032199693,80.0,2.0,85.75
9.9,47.52,22.999339120939975,89.0,12.0,114.33333333333333
10.0,47.52,22.999339120939975,89.0,12.0,114.33333333333333
10.070581074285707,47.52,22.999339120939975,89.0,12.0,171.5
