run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1336,1536,1255,73,375,709,1203,363,1558,827,1501,1238,823,938,793,1497,1510,834,467,214,1452,44,314,1162,329
587,1475,123,656,1593,184,1117,1259,859,1443,1265,1348,433,639,1269,1163,546,1015,171,236,1197,480,558,1519,1391
602,584,204,31,1118,912,519,286,1001,1018,318,325,749,214,1470,1126,1175,1229,636,783,1182,607,1044,432,872
527,1194,1560,1496,772,576,336,691,1093,1065,591,950,326,443,743,939,505,909,506,1520,249,746,794,1089,836
76,202,701,1482,1421,877,444,716,1224,773,1251,434,863,1014,885,1216,1339,1184,330,360,326,433,1594,772,1586
968,111,1459,1487,1188,1542,359,287,883,247,672,269,1215,642,953,1009,58,619,194,123,726,1446,996,1261,1509
1264,1173,681,1275,1291,1001,268,111,224,1342,1150,2,662,670,246,128,1094,190,714,1625,1204,1359,868,1278,1570
1503,48,272,175,1122,546,762,993,261,910,191,571,231,321,112,735,369,1342,45,444,313,1220,1491,1572,640
1178,1228,365,70,1124,1514,1585,1449,723,712,986,56,1484,1183,1103,590,1055,1000,371,1603,550,663,504,1372,1087
930,194,464,1009,718,595,657,518,822,228,108,1333,799,945,393,273,821,326,1429,1583,693,1603,571,648,449
1290,1418,1461,847,1204,1534,1591,1453,1576,906,1503,1429,868,932,1285,1510,1174,1373,1409,1591,847,1357,1036,1520,847
1180,1376,1457,1598,1598,915,1598,847,847,894,1504,1229,1213,936,1286,1598,1180,1411,1430,1576,1592,1358,1041,1523,1598
1504,1378,1444,1481,1600,1524,1597,1451,1546,907,1509,1228,1214,924,1287,1600,1502,1238,1407,1534,1588,1388,1030,1517,1596
1274,1240,1454,1591,1596,1529,847,1452,1575,908,1510,1240,1217,937,1289,1504,1504,1237,1392,1532,1598,1389,1023,1516,1593
919,1241,1458,1600,1590,1564,1583,1450,1555,911,762,1239,824,894,1291,878,1507,1230,1393,1597,1600,1404,1043,1551,1588
1289,1239,1452,1002,1588,1533,1588,1454,1561,914,1511,1241,1221,888,1271,1218,1513,1235,1394,1514,1587,1427,1033,1518,1590
1286,1375,1460,1198,1586,1532,1592,1461,1578,912,1499,1230,1219,892,1268,762,1497,1372,1428,1516,1585,1347,1035,1521,1592
1288,1386,1463,1509,1592,1530,1600,1457,1565,892,1498,1237,1220,899,1288,1509,878,1371,1427,1522,1596,1354,1039,1522,1631
1270,1204,1462,1290,1587,888,1596,1459,1526,913,1598,1235,229,895,1290,1588,1505,828,1426,1521,1590,1353,1028,1514,1600
1291,1229,1453,1588,1585,1535,1590,1458,1535,915,1002,1236,1218,941,1267,1592,1506,1369,1417,1518,1586,1356,1027,1534,1582
1275,1238,1456,1592,1591,1526,1582,1460,1571,916,1600,1243,1216,935,1283,1596,1508,1368,1416,1519,1593,1355,1048,1525,1579
1285,1230,1285,1596,1589,1560,1594,1444,1533,917,878,1418,1224,906,1442,1590,1500,1386,1411,1517,1589,1352,1050,1532,1587
1287,1237,1455,1590,1582,1558,1593,1463,1564,921,1495,1411,1222,943,1284,1593,1512,1374,1408,1515,1584,1364,1053,1547,1585
1265,1235,1277,1593,1581,1575,1586,1462,1530,920,1496,1245,1223,926,1281,1586,1495,1270,1410,1523,1580,1348,1046,1563,1589
1455,1371,1287,1586,1584,1561,1581,1456,1568,925,1507,1244,1212,931,125,1582,1511,1236,1418,1568,1581,1390,1045,1535,1584
1448,1373,1274,1581,1580,1578,1587,1445,1525,918,1502,1242,1211,949,1274,1581,764,1243,1404,1525,1591,1363,1029,1543,1580
1505,1372,1278,1582,1579,1546,1589,1446,1524,922,761,1395,1170,1515,1264,1591,763,1228,1403,1551,1582,1362,1052,1524,1591
878,1367,1286,1585,1583,1576,1579,1285,1527,899,760,229,1169,1563,1263,1587,760,1240,1401,1571,1579,1361,1040,1529,1599
1507,1366,1289,1587,1599,1565,1584,1277,1529,1578,763,1427,1173,1543,1455,1585,761,1241,1400,1563,1599,1360,1037,1526,1581
1502,1374,1290,1584,1597,1568,1595,1286,1514,1565,764,1428,822,1550,1272,1589,1499,1239,1402,1543,1583,1350,495,1530,463
1500,1370,1288,1580,1595,1555,1580,1289,1560,1526,1506,1426,1210,1551,1601,1584,1498,1395,1406,1577,1595,899,493,1527,853
66,1382,1447,1589,1009,1571,1599,1274,1532,1561,1512,1367,97,1571,1279,1580,1496,1376,1389,1530,1597,894,1024,1528,1583
65,762,1275,1579,1078,1525,463,1290,1515,1575,1508,1376,908,1576,1275,1579,762,1375,1388,1575,1594,895,779,1564,1597
102,1509,1269,1599,1594,1527,848,1275,888,1571,1505,1375,911,1568,1265,1599,1509,1378,1347,1524,848,949,1032,1578,1595
86,1511,1270,1594,1206,1528,710,1455,1528,1546,1500,1378,917,1525,1278,1597,1501,1367,1357,1529,463,888,1031,1565,848
763,1502,1291,1597,1196,1516,1510,1287,1522,1576,1497,1366,906,1532,1273,1595,1503,1382,1356,1564,853,892,1051,1533,1594
764,1504,1446,1595,1290,1531,1511,1269,1516,1558,1588,1373,920,1534,1277,1583,102,229,1348,1558,1017,943,1049,1560,1511
762,1498,1265,1583,1279,911,878,1278,1521,1529,1592,1371,890,1514,1276,1594,1064,1199,1362,1527,1087,940,1038,894,878
761,1507,1445,463,1081,906,1495,1291,1518,1533,1513,1372,896,1564,1261,1495,86,1366,1365,1526,1091,930,1047,1558,1510
760,763,1451,848,463,914,1501,1288,1519,1564,1589,1374,914,1558,1262,1511,1167,1381,1361,1578,855,934,1042,1561,1495
1511,764,1280,1078,848,913,1507,1270,1550,1527,1587,1370,921,1530,1270,601,1166,1370,1354,1561,1009,1428,1026,1575,1498
1106,761,1281,1486,853,1521,1502,1273,1531,1530,1591,1382,912,1526,1448,764,1165,1245,1353,1565,1078,1365,1034,1571,1500
1496,760,1279,1199,1075,1563,1505,1276,1534,1568,1584,1387,922,1524,1452,1078,1173,1244,1359,1528,1075,1403,1579,1546,1504
1506,1499,1448,1291,702,1550,1504,1266,1520,1514,1580,1377,892,1529,1447,763,76,1377,1352,1533,638,1555,1588,1576,1507
1499,878,1450,762,244,1543,1509,1265,1543,1525,1585,1386,907,1561,1446,760,80,628,1355,1546,1060,1568,1592,1550,1502
1498,1495,1601,1510,1060,1519,764,1279,1523,1528,1593,944,904,1578,751,761,1187,1418,1358,1535,1081,1575,1589,1555,1505
1512,1497,1282,1501,726,1518,761,1442,1551,1532,1586,1430,910,1575,1451,1513,1184,1242,1364,1600,1090,1530,1587,1568,1496
1495,1510,1284,1503,1087,1522,760,1283,1517,1524,1596,1409,887,1565,1457,1507,1199,1424,1363,1550,702,1526,1585,1554,1506
1036,1496,1449,1498,638,1551,1499,1601,1554,1531,1590,1408,913,1527,1459,1502,1210,1384,1360,1555,244,1561,1591,1531,1508
1040,1512,1276,1504,1099,1520,1498,1284,1201,1555,1582,1394,925,1555,1458,1512,598,814,1350,1531,971,1565,1598,1515,1501
1041,1508,1273,878,971,1515,763,1281,1222,1516,1581,1361,942,1535,1454,1496,101,86,1351,1560,1099,1571,1584,1544,1499
1024,1506,1272,1499,1202,1517,1513,1272,1544,1535,1579,1362,894,1531,1460,1499,1169,1227,1349,888,666,1558,1580,949,1513
892,1505,1442,1511,1090,1523,1506,1268,1552,1560,1599,1365,919,1560,1461,1498,1171,1416,1391,1554,1200,1546,1583,899,761
1545,1500,1283,1495,1601,1554,1512,1267,1563,1519,1583,1347,895,1528,1444,1631,1172,1278,1390,1585,255,1576,1599,934,760
1550,1501,1268,610,1282,892,1500,1264,1547,1518,1595,1356,897,1519,1456,1505,1170,1263,1399,1587,253,1564,1600,1545,764
1544,1199,1267,764,1275,916,1497,1263,1545,1515,1597,1357,902,1518,1445,1500,1168,623,1405,1598,1068,1533,1593,888,762
1554,1513,1264,1512,1284,918,1508,1448,894,1521,1009,1591,900,1521,1463,1501,1206,1387,1504,1544,246,1524,1586,892,763
1551,1242,1271,761,855,921,1496,1271,892,1522,1078,1598,927,1522,1462,1508,97,1194,1499,1589,1631,1529,1596,895,1512
1543,1377,1263,760,1091,925,853,1261,949,1520,1594,1582,933,1520,1450,463,1188,1206,1498,1588,1199,1578,1590,1387,597
1563,1503,1266,763,1428,922,1503,1447,899,1551,463,1580,903,1516,1323,848,1196,1196,1511,1596,1202,1527,1582,1600,1497
1517,1203,1261,1513,1274,1544,1078,1282,895,1543,848,1594,926,1533,1338,1506,1194,1397,1509,1590,1206,1514,1581,926,1091
1521,614,1262,1507,1286,908,1009,1262,932,1517,853,1584,924,1546,745,1221,1203,1264,1510,1572,1184,1525,1597,932,855
1520,1206,1293,1502,1289,920,702,1280,1311,1554,244,1587,931,1523,1453,1214,1193,1269,762,1593,1185,1528,1595,945,666
1523,1387,125,1505,1288,907,244,1293,936,1550,702,1585,949,1517,1218,1220,623,1266,764,1586,1165,1532,463,936,776
1518,1236,1294,1506,1426,917,726,1294,937,1523,726,1597,888,1554,1217,102,1200,1265,763,1581,1178,1531,848,937,1090
1519,1243,1443,1500,666,899,1075,1292,926,1534,1087,1595,916,1572,1320,1295,62,1271,761,1592,1183,1535,853,931,1503
1522,1244,1260,1508,253,895,1087,1443,945,1544,1075,1583,918,1544,1333,1213,1204,1261,760,1579,1180,1522,1081,941,102
1515,1245,1292,1497,255,910,971,1373,924,895,971,1600,915,1545,547,76,1295,1267,1507,892,1187,1516,1078,935,76
1514,1270,1367,1286,1068,1545,1060,1371,931,1552,1081,1581,936,1547,1341,923,1207,1272,1502,894,1166,1560,244,924,86
1529,1233,1373,1289,246,894,1099,1367,941,1563,638,1599,945,928,1205,1503,1178,1268,1508,1545,1174,1534,702,938,82
1526,102,1371,1288,1271,893,1081,1372,935,1545,1090,1589,941,889,1204,86,1179,1277,1506,1584,1167,1521,726,916,1078
1578,86,1372,1274,1285,1552,1090,1376,915,896,597,1593,937,893,1207,82,1183,1276,1496,1580,1179,1563,971,917,1009
1565,87,1366,1455,1455,927,638,1375,916,888,1099,1586,932,946,1202,1222,1185,1274,1512,1599,1196,1550,1060,907,1075
1561,76,1376,1285,1287,928,610,1366,917,901,1060,1596,935,896,1199,1223,1148,1442,1505,1595,864,1543,1009,915,244
1575,1067,1375,1287,1278,896,102,1378,907,890,855,1590,891,897,1200,1217,1147,1283,1501,899,867,1551,1075,906,702
1571,84,1378,1270,1264,897,76,1374,906,887,1091,1579,901,902,746,853,1152,1281,1513,1582,865,1518,1087,918,726
1558,1064,1370,614,1263,902,82,1370,918,893,490,1588,943,900,1194,1060,1182,1601,878,895,870,1520,1099,925,971
1576,1227,1377,1444,1272,900,86,1377,925,927,757,1592,928,898,1196,726,1177,1284,1495,932,1212,1517,1090,922,1060
1546,1381,1374,1457,1268,926,1091,1386,922,928,779,463,899,901,1203,1075,1186,1275,1497,945,1211,1519,1091,920,1081
1573,1416,1386,1459,1267,931,855,1407,920,1572,979,848,893,904,1190,1087,1149,1279,1500,936,1213,1515,855,921,1099
1527,66,1407,1460,1283,949,666,1415,921,1504,758,853,889,903,1195,948,1181,1262,1503,937,1210,1523,666,914,255
1564,65,1427,1458,1442,945,776,1414,914,938,1250,244,938,891,1193,702,1145,1273,599,926,1218,1554,638,911,253
1530,79,1426,1454,1280,936,253,1413,911,891,988,1060,946,890,1404,244,1144,1290,102,949,1223,1544,255,913,246
1524,528,1428,1452,1281,941,255,1412,913,904,666,726,905,887,1428,1212,1146,1288,84,931,1222,1547,253,912,1068
1535,101,1429,1461,1273,924,246,1416,912,897,253,855,947,920,1401,1211,1164,1286,76,941,1216,1545,246,908,899
1555,80,1409,1456,1631,932,1068,1369,908,902,255,702,1523,921,1403,1187,1176,1289,1064,935,1214,1572,1068,910,894
1525,78,1430,1446,1270,935,66,1368,910,900,1068,971,1520,925,1427,1184,1142,1285,88,918,1221,814,1025,933,943
1533,70,1394,1277,1265,937,65,1425,896,903,246,1099,1521,918,1426,1199,874,1287,80,916,1217,932,679,890,906
1528,85,1404,1445,1386,938,87,1426,933,926,610,1078,1522,922,1400,1081,865,1455,83,915,1215,936,289,901,892
1560,1200,1403,1279,1277,890,75,1411,493,931,989,1009,1529,917,1397,1210,867,1453,425,921,1224,937,1543,904,888
1532,88,1401,1278,1276,901,80,1396,893,949,984,1075,1514,916,1402,1090,864,1448,101,922,1192,945,1563,896,895
1568,1197,1400,1265,1448,903,101,1427,1559,945,991,1087,1527,914,1389,971,866,1291,97,920,1198,926,1550,897,923
1534,62,1406,853,1262,891,79,1428,890,936,980,1091,1524,911,1388,1052,870,1447,75,925,573,931,1551,902,949
1516,1202,1402,702,1261,904,78,1418,897,941,488,1032,1535,913,1359,1224,869,1446,87,907,1189,941,1571,900,947
1531,1271,1388,244,1401,887,70,1391,902,932,1631,1090,1530,908,1357,1215,875,1451,66,914,1191,935,1576,903,920
894,1265,1389,726,1403,933,1067,1397,900,937,664,666,1555,912,1347,1198,871,1452,65,911,1201,924,1568,891,921
888,1411,1391,1099,1404,889,1064,1394,903,935,977,1246,1575,915,1358,1185,876,1457,86,913,1220,938,1575,887,922
899,82,1405,1075,1406,1559,257,1417,901,924,987,253,1568,907,1353,1182,877,1459,79,912,1083,896,1555,893,925
1572,1384,1411,971,1399,898,83,1409,887,933,983,255,1526,910,1354,1189,1151,1458,78,908,1190,906,1561,814,918
949,1207,1392,1447,1447,1547,77,1429,904,889,978,1068,1561,1552,1356,1192,868,1454,70,906,1170,902,1578,889,914
