run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
887,754,856,788,624,903,240,500,863,399,358,104,96,312,1017,102,104,836,914,844,75,435,63,911,104
105,358,813,979,190,105,434,992,836,857,287,362,682,624,682,961,457,190,926,1003,929,941,467,510,153
814,796,626,78,287,220,926,722,578,817,991,223,535,131,292,433,926,844,376,190,299,222,903,436,470
63,637,290,75,905,240,59,982,940,434,399,958,215,434,457,222,913,982,513,216,61,500,299,952,382
246,376,190,926,63,643,514,436,514,759,153,294,222,153,1003,127,96,104,312,63,470,240,371,913,510
979,513,246,913,754,514,1006,435,358,287,961,751,751,952,375,362,882,991,788,433,513,510,131,1017,220
1017,566,63,382,866,401,294,751,131,535,219,457,382,682,63,857,460,216,371,866,63,961,926,866,151
96,913,291,535,220,566,190,903,61,255,435,999,926,513,882,817,682,67,457,682,436,914,401,783,246
190,299,292,240,151,291,513,151,844,66,754,913,153,783,240,1017,312,783,626,926,844,362,1017,836,467
905,621,151,131,991,751,929,510,215,433,66,626,102,104,460,294,566,312,435,754,358,911,941,287,940
621,96,96,369,96,797,96,754,96,96,312,797,221,96,993,287,465,96,797,96,751,579,96,96,96
797,400,206,457,1002,754,927,400,754,774,774,927,783,774,400,35,400,514,927,774,621,557,934,754,371
221,797,909,928,774,927,129,927,774,312,96,928,621,754,102,582,927,220,798,582,445,218,803,934,403
236,927,554,368,797,453,682,220,434,934,934,371,927,797,797,621,774,400,369,287,833,294,219,400,803
798,929,324,934,751,400,783,1003,798,35,1019,96,578,927,927,977,928,927,500,783,463,378,220,927,797
579,500,501,218,463,501,218,514,460,582,446,514,804,400,458,682,458,1003,399,35,104,682,906,928,219
516,434,453,557,798,909,463,556,458,927,1005,434,287,500,434,927,754,906,931,751,887,927,774,500,344
371,832,440,452,514,982,557,403,102,1002,458,682,934,888,446,783,434,751,934,236,400,783,434,434,927
693,928,104,294,517,403,1003,434,446,754,460,783,312,1002,312,129,1002,403,557,798,927,400,400,929,400
287,119,981,579,1003,1003,800,553,312,783,102,807,446,371,220,400,102,556,400,463,220,797,500,682,500
433,982,823,621,906,1004,928,637,465,129,465,1003,1019,1004,754,929,446,887,621,927,994,129,130,236,434
35,1003,751,456,800,556,400,513,993,294,993,236,399,220,287,500,993,1004,434,129,1002,97,621,119,906
978,220,130,135,375,434,500,583,882,682,950,621,979,514,465,119,236,102,446,375,754,434,287,621,982
833,553,289,236,981,994,982,1004,1005,218,883,400,457,341,798,42,463,119,1019,994,434,928,927,994,556
445,287,293,984,130,992,556,682,883,400,514,500,433,465,500,803,929,553,460,434,1004,341,994,1004,754
215,803,982,129,206,774,403,783,950,500,43,119,35,460,883,219,119,513,458,1004,119,1004,1004,984,682
774,984,403,682,380,221,132,290,580,928,26,982,1002,458,43,434,514,434,102,400,102,940,754,341,783
994,556,514,927,928,96,803,832,1003,977,130,803,103,993,26,1002,621,682,1005,928,312,514,553,129,1003
582,236,556,783,982,682,219,803,220,1004,797,219,42,102,1005,312,783,637,43,220,460,1003,583,294,119
1002,219,797,434,556,783,130,219,637,446,906,556,154,446,129,446,371,446,26,119,465,223,341,1003,1004
34,994,311,287,403,287,981,906,982,1019,129,1004,544,883,928,460,1003,460,883,621,993,130,119,982,514
934,583,985,119,400,1002,906,119,1002,803,682,887,456,929,950,458,982,465,129,1002,130,119,992,514,553
341,341,548,400,682,119,119,994,1004,219,927,798,966,1005,982,993,887,993,803,500,446,984,797,220,583
835,992,465,500,927,810,1004,460,553,981,783,129,984,950,514,445,1004,774,467,637,883,906,783,797,637
368,104,993,42,783,803,467,102,583,906,1002,465,135,887,832,833,216,287,222,553,803,913,637,215,290
966,887,1003,35,129,219,984,446,803,621,928,984,1000,1003,803,516,468,1002,119,583,219,452,682,102,287
104,514,400,994,1004,981,995,312,219,984,804,218,294,982,119,1000,500,803,984,887,43,468,982,446,1002
463,371,927,1004,554,906,913,465,906,467,434,981,400,803,556,135,803,219,219,104,928,772,1003,312,375
754,1004,434,433,557,928,452,993,400,215,1004,130,500,981,553,465,556,130,130,982,832,668,556,460,832
226,682,832,34,218,129,811,43,119,130,400,467,1004,219,96,43,219,43,832,803,42,135,888,458,129
1000,783,220,550,500,621,801,985,43,797,500,43,581,906,583,26,130,985,465,556,223,42,1002,803,887
462,129,803,341,132,130,751,26,26,460,220,26,119,119,985,130,798,883,287,219,906,456,129,553,513
135,223,219,582,434,206,940,458,130,458,215,460,511,130,783,883,883,129,135,514,553,900,514,637,621
42,294,553,835,803,465,380,287,556,102,982,458,218,556,1004,982,129,928,42,992,985,96,135,583,223
434,798,513,798,995,43,468,223,888,950,403,102,557,43,219,832,984,832,294,371,287,994,832,580,928
581,1002,119,929,467,102,1049,580,832,119,803,993,452,26,774,754,294,981,993,341,584,637,102,832,42
103,981,43,154,119,460,220,215,287,982,119,446,129,129,1002,1005,1005,445,950,832,1000,220,460,992,376
544,801,129,103,984,993,236,129,513,1005,981,883,368,928,130,950,43,833,104,554,581,128,458,556,992
940,906,102,544,219,312,798,130,42,465,556,1005,775,215,104,912,26,42,548,888,135,451,446,999,981
514,130,460,1000,294,458,797,236,928,43,580,445,933,580,887,751,981,341,928,290,26,287,312,135,800
803,554,883,940,621,26,128,341,223,26,553,833,913,621,371,514,906,800,452,460,458,982,465,42,445
467,128,906,1002,104,446,223,797,445,883,583,516,929,467,445,104,287,638,1004,102,583,803,43,467,833
219,557,928,511,371,883,466,883,833,514,104,312,434,287,833,220,950,554,456,465,982,467,26,979,751
584,218,810,451,887,832,832,42,887,832,887,135,940,832,621,371,223,289,468,993,129,556,1005,798,236
288,132,887,288,378,292,931,1005,104,931,371,341,236,931,42,887,832,797,682,215,236,215,993,906,135
324,439,445,584,637,439,553,798,371,993,513,452,445,553,449,981,553,888,218,312,341,1002,883,772,1000
456,467,651,581,553,553,583,928,621,556,1003,456,516,583,516,928,220,584,783,43,797,236,950,97,798
933,931,469,933,583,104,637,999,775,223,999,42,833,637,981,467,215,135,236,130,783,979,928,43,102
119,978,621,344,888,513,448,950,516,452,832,468,344,223,341,994,583,462,979,446,682,457,580,26,460
984,465,992,468,102,341,554,1002,97,835,223,950,341,999,637,1003,341,1000,341,580,556,580,215,1005,312
400,43,215,803,465,887,287,621,584,804,468,801,460,468,580,556,637,581,913,883,1003,219,999,465,446
500,26,446,467,43,223,341,135,1000,468,637,1019,458,984,215,1004,992,580,887,985,514,621,42,35,465
1004,102,312,219,26,583,772,984,981,1003,341,548,950,294,1000,774,580,999,999,458,35,103,581,993,993
682,460,831,516,460,215,35,1000,581,913,984,557,1005,1019,135,223,999,26,804,26,371,1000,931,950,43
783,458,833,445,458,580,433,981,135,135,638,804,468,216,999,797,797,458,34,445,798,651,104,981,883
927,993,135,833,215,999,582,801,468,42,831,399,803,913,581,218,222,583,981,833,468,832,887,883,458
129,446,223,96,993,1005,835,581,548,580,467,906,467,135,909,906,467,215,801,42,294,931,445,433,26
218,883,42,462,312,42,368,35,463,999,931,832,219,42,468,984,931,35,906,135,516,433,833,219,1005
294,215,580,548,883,800,42,433,751,34,294,931,582,445,584,215,135,831,982,1000,1005,582,751,223,215
928,580,462,223,580,371,135,582,992,220,913,222,462,833,548,775,42,621,514,581,981,34,513,468,580
913,999,637,222,985,135,1000,772,344,553,218,811,798,516,751,34,1019,433,556,34,984,835,1000,1002,999
982,1005,638,775,1005,548,103,34,801,583,621,754,584,221,433,801,218,582,403,1005,288,751,584,130,950
981,312,585,637,950,216,462,831,984,887,216,132,288,1000,35,831,452,34,378,516,548,35,516,218,130
811,950,682,772,446,984,581,964,35,104,42,978,904,218,582,821,399,371,1003,950,456,581,468,452,984
801,985,783,978,831,950,456,554,433,371,135,215,451,978,34,59,513,974,800,548,801,933,223,1019,216
751,1019,1002,887,832,467,154,931,582,216,445,966,835,132,585,1019,456,290,553,797,500,548,344,931,468
556,216,999,371,1019,218,584,821,772,831,833,1002,548,775,931,913,831,754,583,984,950,798,35,399,584
548,445,754,751,638,941,288,638,34,637,516,904,26,638,984,468,804,469,992,294,344,154,433,128,35
1003,833,344,448,804,132,544,289,831,992,978,216,43,322,294,399,801,775,220,999,931,966,582,964,433
906,516,216,547,999,378,344,834,500,772,751,466,465,804,801,804,557,516,35,468,433,544,34,216,34
452,42,974,931,289,500,933,585,931,97,35,940,130,452,467,452,548,1005,433,223,582,462,984,34,516
154,135,775,832,974,985,451,218,585,456,433,154,928,985,913,548,979,950,772,831,637,934,294,456,581
468,638,929,797,931,1019,994,294,929,445,34,1000,223,831,1019,931,800,834,911,128,992,584,236,582,931
557,804,800,104,978,294,775,974,985,833,582,103,883,97,216,835,966,500,97,978,913,288,798,835,582
132,452,584,553,445,399,934,128,467,516,1000,462,797,751,978,221,934,344,215,462,467,368,913,581,341
451,344,581,583,833,804,1002,1019,288,775,584,544,832,236,804,103,433,978,966,585,34,775,978,1000,548
511,751,401,220,516,293,979,216,1019,548,288,581,931,35,462,978,35,236,96,584,215,511,1019,103,161
775,399,132,128,42,913,457,462,913,751,581,933,993,772,288,811,772,798,1002,913,580,553,216,811,595
457,322,458,906,135,468,575,467,978,236,462,584,401,433,218,132,582,984,223,929,999,583,940,801,482
993,433,26,1003,775,452,621,132,804,979,344,288,34,582,344,940,34,294,637,288,831,132,288,940,929
950,35,583,982,322,433,754,913,456,341,548,344,754,34,452,580,97,801,580,467,1019,811,462,132,294
130,582,1019,556,469,35,511,804,452,798,322,433,885,798,291,999,581,585,582,218,218,981,821,322,978
344,34,371,981,223,582,34,322,399,966,452,35,466,456,501,637,978,1019,835,1019,452,801,59,368,804
220,835,287,811,584,34,215,584,368,978,236,582,882,811,810,236,445,913,581,638,835,448,985,966,597
637,468,433,801,35,931,966,288,103,811,798,835,371,801,544,979,833,468,933,981,978,932,638,751,1019
128,1000,35,514,433,835,445,940,966,801,801,220,220,557,456,798,516,929,368,132,804,575,322,933,399
460,831,582,754,582,637,833,103,638,132,456,287,906,835,103,368,751,804,831,804,103,754,804,804,913
458,103,34,132,34,585,516,368,322,368,835,368,514,940,835,154,940,467,833,931,399,977,218,557,452
102,940,399,130,462,554,371,835,797,940,940,553,380,368,940,575,344,218,445,974,216,554,456,154,456
312,462,950,1049,1000,290,978,468,129,557,103,583,982,966,399,934,368,288,516,344,933,466,452,584,218
