run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
744,339,267,232,585,726,350,361,782,872,223,796,456,944,415,894,844,284,515,720,477,383,414,270,609
728,248,1013,360,813,525,581,294,784,846,177,871,929,286,943,194,30,685,599,790,320,764,246,463,753
927,663,728,180,837,445,997,134,300,39,339,629,506,204,932,719,975,1019,308,445,522,126,134,660,922
914,310,645,1010,787,587,992,962,893,563,567,104,920,291,917,489,653,392,38,921,528,499,689,206,513
496,85,812,301,112,731,592,164,409,784,582,658,425,882,1023,525,319,428,455,1027,925,765,913,213,636
27,1004,944,833,244,894,725,228,768,271,835,954,578,304,411,206,327,362,858,451,633,958,734,454,732
31,1038,946,27,358,437,915,970,898,330,285,183,274,296,524,526,904,190,622,262,514,438,119,399,264
553,592,763,416,1045,839,860,669,871,139,592,667,789,819,442,142,1027,880,23,821,428,648,363,158,307
683,329,1036,328,472,480,864,54,9,368,664,255,1019,541,80,926,315,769,262,539,337,346,880,866,536
495,1036,143,509,835,219,938,471,825,795,64,655,965,633,210,126,817,961,212,883,62,44,821,837,422
816,762,23,777,537,923,862,744,236,1020,1009,127,460,375,304,771,660,1014,217,857,579,585,439,254,348
330,157,1032,140,248,225,1018,80,591,540,385,186,309,785,562,50,457,461,731,760,711,786,910,375,210
207,828,980,276,884,890,576,516,372,698,629,172,267,198,644,533,167,1011,485,191,827,761,896,641,379
602,522,891,768,588,332,239,627,333,432,55,851,448,461,173,609,16,82,848,329,86,651,625,167,180
765,982,26,599,368,750,181,944,155,700,41,336,56,709,182,181,1036,838,717,819,76,365,328,532,39
934,31,297,526,424,663,847,810,113,691,170,569,622,50,676,146,811,119,468,1011,504,67,478,628,214
327,750,356,536,1042,682,654,406,844,932,329,490,200,360,811,131,1015,991,1045,83,43,186,1043,551,1001
671,443,541,372,4,64,193,667,150,16,764,664,392,876,541,632,143,412,953,81,739,335,485,1046,932
81,731,385,609,1025,356,413,311,371,246,918,416,6,803,414,484,101,934,202,758,570,796,967,555,508
86,894,714,585,806,98,201,717,138,866,876,759,360,716,164,323,596,93,321,738,914,183,866,475,223
799,75,1043,48,183,227,422,160,286,32,147,867,1017,997,368,377,191,121,113,503,1040,22,518,54,278
837,939,948,8,211,294,806,690,1027,577,689,869,286,348,190,19,106,147,391,584,896,105,107,405,667
698,189,181,345,156,164,126,477,757,30,452,71,714,78,859,74,345,351,1003,598,635,514,294,971,757
868,102,128,444,850,293,1015,16,313,560,53,218,875,990,669,682,230,1005,172,314,486,388,350,991,742
21,933,726,732,626,610,785,440,584,782,725,935,271,193,767,334,917,299,1023,371,883,164,181,765,136
886,1014,388,441,377,256,285,579,518,262,369,82,1029,90,777,993,287,918,69,588,613,368,850,143,71
371,42,461,223,819,946,28,713,429,65,284,823,645,877,682,69,810,904,998,75,262,516,771,287,200
1046,510,947,165,947,129,896,523,1025,508,30,40,472,396,617,728,84,798,710,5,200,426,661,499,160
475,883,226,139,786,230,969,94,962,581,311,233,24,494,955,230,676,401,972,304,418,432,697,896,95
346,845,770,342,857,727,1040,3,204,411,644,415,1030,62,710,854,948,146,605,560,187,810,375,83,893
715,704,655,548,798,514,788,213,612,40,718,129,257,117,1010,613,213,186,650,561,189,150,397,404,726
416,698,30,320,707,544,859,605,607,542,724,56,130,703,291,828,495,70,729,273,994,1023,994,969,222
807,380,775,199,919,666,766,1017,130,413,998,389,227,58,381,723,479,901,301,410,51,310,506,530,323
943,250,839,551,113,964,17,545,862,940,447,944,859,869,437,372,721,106,121,777,140,535,231,704,401
555,977,973,810,1003,969,1021,611,135,625,732,466,320,766,857,218,340,206,977,949,1013,547,930,1033,114
335,680,836,222,145,812,652,840,398,843,516,919,1046,142,892,787,1022,241,238,56,49,161,407,382,1016
289,593,814,80,165,754,128,472,180,304,974,497,298,378,697,792,102,333,749,729,248,919,903,847,793
222,999,825,98,1036,529,287,905,764,140,1001,13,399,248,589,565,703,28,85,608,852,1021,99,369,356
321,196,411,835,843,647,831,504,74,1008,413,444,830,977,211,516,607,964,232,284,624,1046,564,788,625
858,195,802,602,261,714,475,486,189,181,266,241,817,863,672,41,1012,611,683,866,64,819,600,10,116
223,379,654,586,157,708,1043,166,494,470,755,592,730,130,578,783,124,208,458,545,176,5,848,85,570
1012,100,801,469,437,134,478,643,602,646,744,217,729,493,1042,713,224,91,543,21,193,420,264,265,217
277,162,207,1006,842,465,209,287,611,13,502,902,217,84,243,786,709,222,585,814,467,984,179,778,1013
955,269,63,813,131,700,700,243,770,768,989,83,247,524,29,199,498,649,725,78,779,114,960,24,248
82,692,430,166,448,614,117,351,514,837,338,85,659,499,467,183,211,15,910,161,627,877,367,706,646
1018,852,259,424,567,1021,123,774,470,633,656,747,160,174,413,722,343,614,480,629,689,152,164,1048,173
822,290,821,200,904,941,466,362,868,988,357,1006,649,191,721,805,251,275,367,722,726,905,938,593,741
607,795,478,972,589,740,332,204,78,127,891,117,825,538,570,798,329,410,873,903,799,795,790,796,694
724,26,170,826,579,692,1002,494,939,345,920,252,793,911,619,335,180,800,550,612,310,822,642,526,720
311,1007,816,149,654,784,462,139,798,294,539,62,416,135,603,390,647,1025,652,726,201,405,148,395,818
244,376,494,114,960,929,339,193,287,379,709,713,746,677,701,60,530,162,272,918,974,121,109,218,484
255,1022,952,394,100,743,483,239,241,742,673,589,122,235,797,981,788,27,780,525,75,397,647,141,80
97,512,646,94,314,508,664,143,448,599,678,743,113,160,11,252,382,188,758,397,184,210,227,107,874
47,823,235,565,693,340,409,236,558,283,580,386,147,225,22,344,706,511,726,689,315,752,662,234,767
825,1005,414,861,991,48,214,829,698,701,561,986,142,273,655,860,527,281,507,17,787,674,977,923,645
629,267,695,537,612,251,497,257,673,467,763,120,686,584,284,863,478,973,208,205,0,2,548,47,772
1026,490,363,217,628,13,988,529,184,1017,1048,397,210,725,783,9,724,75,970,41,278,711,676,332,626
619,780,416,795,1033,310,678,326,904,195,564,976,646,956,1035,66,85,923,237,334,569,812,1001,1024,839
536,334,335,415,988,328,495,41,944,22,282,403,444,595,463,672,501,940,772,467,230,768,467,338,329
436,660,394,841,972,824,980,254,145,885,577,704,1022,613,299,466,870,457,437,1008,708,654,438,261,338
641,393,562,478,554,985,9,329,315,909,205,155,207,281,975,144,6,587,441,1019,251,478,1007,992,7
118,606,840,125,907,473,431,108,796,160,185,307,159,624,73,386,568,255,843,709,866,753,747,697,82
766,528,762,295,499,534,64,584,312,373,773,405,738,1002,747,1010,736,710,15,827,802,578,590,297,606
681,718,496,623,829,753,358,245,553,950,243,763,384,307,170,734,691,917,871,755,210,617,150,957,698
571,702,786,520,271,1029,49,567,721,553,1023,392,1010,423,674,935,177,374,302,234,853,844,768,283,178
750,614,623,558,597,300,962,617,42,804,429,29,717,48,4,780,376,508,310,536,912,85,769,979,353
53,754,437,1011,202,234,981,736,651,505,220,473,352,259,552,600,915,416,829,1042,850,705,311,163,512
1008,201,748,188,1049,404,1037,685,455,111,677,602,925,431,691,133,714,929,194,70,1045,607,411,843,800
366,365,361,546,200,376,940,974,865,407,859,341,224,576,728,97,81,413,896,838,357,428,430,100,1004
604,478,239,983,923,18,533,69,1011,314,558,121,76,749,915,989,528,839,557,157,120,650,27,582,528
771,841,854,282,591,774,263,649,499,860,470,968,983,79,698,80,188,999,754,292,235,133,225,482,728
