run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
253,1298,17,349,726,660,701,110,506,433,976,1046,1061,393,1036,763,1320,1254,857,999,693,830,1229,633,454
426,1085,1089,150,260,479,971,108,691,514,834,1252,710,1040,103,100,532,1110,786,977,1294,971,767,1197,542
1093,283,273,522,902,954,308,13,51,412,305,372,137,195,561,1327,777,906,429,96,1143,1178,1330,207,927
1314,604,270,180,566,349,843,679,952,1017,124,937,323,1227,1293,989,1119,464,989,492,903,826,811,713,271
1282,575,873,613,776,755,1049,860,93,59,1305,484,779,1161,1241,913,1244,1127,14,922,839,932,506,615,763
799,1219,789,635,270,1213,221,17,169,1286,1174,447,996,851,268,1333,515,715,453,18,1057,766,824,1307,1083
870,478,956,588,13,739,1115,760,283,515,567,220,450,33,727,8,493,1205,269,1249,1177,853,464,954,349
1148,255,492,166,280,775,381,557,296,1267,665,246,1305,1190,791,427,519,107,475,305,1146,1158,185,353,264
310,350,781,1155,885,728,954,426,589,259,271,920,954,214,353,194,608,542,1318,494,92,1036,522,25,1301
1190,262,779,969,854,1241,264,751,147,1274,325,1148,331,269,51,1150,801,413,1310,263,575,831,443,1239,818
592,959,890,704,1285,21,527,70,394,611,1085,836,1079,1165,874,207,590,969,733,19,648,774,666,1326,1211
1211,364,744,341,1168,966,431,353,42,757,674,1188,476,519,78,1119,941,933,1067,107,351,256,6,28,968
96,819,1053,347,541,674,688,949,1116,664,83,716,486,97,505,856,1047,520,500,896,69,255,143,576,578
357,268,1094,1299,593,852,71,988,1088,202,639,758,274,1315,213,244,921,819,964,598,60,939,253,995,396
101,1130,314,44,1055,1309,557,872,516,92,725,668,180,440,511,771,1231,628,713,177,938,27,725,501,137
340,795,122,239,398,383,253,794,906,488,268,590,896,308,1090,849,170,335,1328,1023,481,588,856,886,738
114,1162,335,260,255,1331,1041,290,252,828,537,1268,546,572,1303,144,483,1095,358,68,1161,3,1075,589,329
1273,138,194,785,823,635,1008,1,1082,455,164,54,536,147,1026,833,1240,350,637,910,1145,204,327,508,833
900,61,1047,193,811,1145,1120,451,422,1317,908,565,221,931,1000,1294,421,1312,557,1075,684,200,1174,747,1279
951,948,176,289,331,569,532,541,586,1285,938,713,1244,50,1201,272,139,751,169,438,607,47,1007,504,43
528,398,616,861,250,576,706,360,1014,543,511,354,995,261,1134,704,1070,89,819,474,157,679,105,901,1325
214,731,634,1171,860,361,1076,508,489,1272,978,310,373,1106,482,116,587,694,29,897,520,602,1095,173,988
957,898,860,57,1013,566,990,1128,732,541,1189,453,927,431,1061,456,172,1217,778,842,595,1219,397,274,1224
586,652,820,532,144,960,1058,984,1109,1012,190,636,297,151,287,1198,1280,209,1062,788,1131,1102,276,182,610
