run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1039,760,827,3542,2409,3151,3628,3327,3605,2894,1398,2468,2268,3151,2652,2996,1872,2199,2414,1192,66,2059,1564,1330,1968
2874,2186,315,121,687,1823,1297,2814,1872,2866,1859,3884,2491,445,461,688,3287,351,850,1395,3530,503,1859,2051,167
649,3531,2179,2893,35,3858,96,2878,620,917,2208,3885,760,1420,1859,2050,2074,2099,458,1285,1057,3221,2996,3036,1856
1475,1072,3120,2874,639,3008,2043,3592,2893,22,2945,2854,21,599,21,620,1511,736,138,3252,3838,2876,3327,2852,1386
3272,2029,3484,1968,2974,3120,1671,559,0,3180,713,3077,3385,2652,2852,3252,3011,620,868,2892,123,1432,2414,3542,687
3582,1941,207,1368,898,3567,3510,3870,687,1536,1684,1536,3407,37,503,2649,2059,154,2613,2022,2277,2560,2759,2622,1050
2248,713,646,2878,3886,1968,514,275,3327,851,209,2268,1905,1962,3757,2970,3327,1965,21,3763,1672,3077,514,2823,1672
3316,818,3267,3272,2896,3628,2287,585,2043,1304,625,154,2199,917,3542,2946,2085,2050,275,3445,350,412,1941,1521,280
1845,736,1520,2585,3073,1520,1050,899,27,1941,3636,2946,2586,2805,154,2896,1395,3060,1677,1965,3607,809,442,3592,710
3385,3885,2183,1469,458,458,3276,1395,1558,559,2805,3910,1178,955,1148,1845,1778,2980,3165,218,2287,121,2874,3582,3857
899,3007,1061,1452,3542,2008,50,715,2149,715,66,2149,955,3057,2651,2802,715,2853,2059,1876,955,2058,901,2409,2894
446,3530,3589,715,3582,116,1061,3833,1564,3057,715,3602,1061,1563,1061,354,3525,1563,1090,1475,361,1968,2802,446,686
2409,816,446,2591,1061,2853,361,1563,3602,1563,1061,3057,2099,3602,2649,2051,901,917,3221,458,1117,3165,1671,1179,3327
2853,1806,3592,145,2928,1563,1300,3057,1563,1564,2058,917,909,1564,2051,1806,461,3057,1968,502,1300,50,2051,2928,548
1451,2885,2409,2593,3911,3057,1117,917,3057,3602,65,1563,805,2853,3322,1563,1304,3602,2650,3542,1061,733,1452,806,1090
3592,3221,686,2030,76,917,3267,3602,917,2853,2649,2853,2287,3607,2650,3057,3251,2149,2820,781,58,1090,1402,3110,1629
556,1968,3582,1563,446,3602,806,1564,2853,556,2051,1564,361,66,1092,917,1832,1564,1967,2894,209,1832,354,2763,2029
3110,315,3110,3057,361,1564,3141,2874,3607,1629,1092,3603,1300,3603,1452,1564,2820,3603,1072,686,1178,2820,353,1015,1967
1015,357,1015,917,3592,351,209,2853,715,3603,3151,2874,1117,1452,2544,3602,349,2855,733,687,687,1304,2149,1233,688
1233,790,1734,3602,3110,3603,1668,3603,2591,1452,123,2855,3267,2855,2058,2853,2149,1451,66,1629,446,2650,3552,1734,1092
1734,3075,1233,2149,2763,2874,1062,2855,901,2855,3630,1304,806,1304,2074,462,3651,1304,1969,3221,3592,1969,3602,76,357
699,2085,2816,2853,1346,2855,3589,1452,1040,1451,502,1580,2400,1451,733,2149,1452,1452,2074,1968,1015,3525,1563,1346,715
76,1297,3119,1564,1734,1451,1357,351,3603,351,955,1451,50,2591,3835,3603,1564,2874,2029,66,1734,2651,3057,3571,790
1341,1671,2763,351,936,1304,2586,1734,1452,2050,556,460,1062,2149,955,2855,1451,3462,2651,1092,3304,2029,917,1008,3075
3462,2974,806,2855,1233,1955,3142,1304,2874,2874,354,3462,209,3552,65,1451,2854,2770,3166,688,3142,65,2853,946,2085
3604,820,76,3603,1015,3462,1763,2591,900,3462,2995,3604,3142,1039,3166,3462,1039,2854,2051,1757,2409,66,1304,3083,353
2856,864,699,1304,955,1341,3530,2149,467,1341,2996,1341,3628,2854,1969,1341,3604,1341,2649,2559,1233,3287,1774,715,509
1563,439,1733,1451,2287,460,816,1451,1836,3604,353,2856,3589,1342,1828,1452,1341,3604,65,1090,3582,901,467,1733,1670
3057,1668,417,1955,946,3604,1669,2875,3286,2854,440,1452,1179,2115,2029,3604,3462,1039,1859,3165,3110,715,314,1887,3221
917,1669,2511,1039,3083,2854,1806,3621,1451,2925,1402,3463,207,3462,66,1402,460,3277,955,2059,76,349,66,686,3530
462,1672,3107,2854,1008,2856,760,446,3462,1039,1670,351,446,3604,3287,2854,2875,1342,1092,2650,699,461,3605,699,2820
1346,1763,2894,3462,2816,1452,1178,1015,2854,2149,2086,1039,3592,1341,901,2874,3277,2856,2544,50,2763,1303,1040,955,1671
1452,2996,946,3604,3571,3463,687,2404,1039,350,1669,3277,2409,1402,349,693,733,3463,50,2820,3571,2149,1836,207,1297
3602,354,1008,1341,2511,792,446,3462,2855,3277,1671,2804,1015,2874,1303,2876,2650,460,2058,2179,1733,1039,3606,2816,1806
3138,2998,3083,2856,1300,1039,3592,3286,1341,687,1178,2970,1734,3286,2812,2875,2878,2591,1061,733,2816,2854,2591,3655,3496
2816,1670,1887,460,1117,2149,417,1043,3604,686,314,2591,1233,3605,2820,1039,1342,3607,1366,2029,159,1451,3286,1300,2308
1564,353,955,3463,3141,3277,2409,209,2856,688,2055,1342,76,2875,2059,2998,2029,1041,1178,3166,1179,3604,350,1117,1669
2855,2886,3571,3277,1733,1342,3582,2409,460,2856,2866,3286,3119,901,3165,3286,3139,465,805,2651,2511,1341,1644,2287,3531
1304,314,1192,2925,699,2591,1876,1233,3463,3463,1357,3605,3582,1836,55,3605,145,605,3267,2051,2894,1452,1672,361,3165
1733,2995,1300,1342,3034,2804,3165,699,1342,460,3530,901,3110,1040,2149,1836,786,2875,2287,1967,1876,1564,3607,1062,2059
3034,2086,1117,3286,207,2925,207,207,3277,2591,315,1040,2763,3277,1564,1040,2593,3286,361,1072,201,3462,1823,687,1296
3603,2055,2287,3605,209,3286,3110,3034,1116,3286,3075,1836,946,2856,1304,901,2622,3605,1300,3409,946,2812,715,2511,66
3463,1402,3141,901,1062,3605,1015,3582,1041,3605,816,170,3083,3463,50,350,2856,901,1117,2906,1008,3277,3603,805,1969
2854,355,361,1836,1887,2875,1734,3110,981,1342,790,1041,1008,460,1041,2591,3463,1836,3141,2866,3083,460,1451,3034,733
417,2973,687,1040,1179,1836,1233,1179,2503,1836,357,3607,699,1041,2875,3277,1041,1040,209,123,1887,1041,2855,209,2074
2928,1859,209,1041,806,1040,76,3119,3692,1040,3221,350,3571,170,350,1041,1981,170,806,3354,3339,1032,2876,3141,3166
1008,65,1062,3607,805,901,2763,955,3107,901,1968,900,2511,462,1040,1823,1563,350,1062,2058,686,917,1039,1208,819
3083,2649,3142,1116,159,1041,946,417,2875,1041,1806,2875,1733,1346,1836,1342,3057,462,3142,1762,3267,3057,2854,2879,2651
1887,66,1179,786,3589,715,3083,1346,1304,3607,2085,3287,2816,1204,3605,899,917,900,687,3496,3589,1563,349,2894,816
3571,2051,805,324,3150,350,1008,2763,1032,66,818,349,667,350,3286,349,3602,461,2207,2308,3141,3602,3287,159,315
955,872,1968,2880,3146,3607,699,946,350,3319,1668,461,3141,465,1342,460,2853,3287,2208,2074,1357,3603,1041,1178,818
2149,2074,3542,301,3267,706,159,1008,2452,3007,2886,3606,1887,3679,1832,461,66,349,1116,2649,3034,2855,3604,201,2885
715,733,3034,3679,1178,3679,2511,3083,1646,2970,1672,1303,3339,324,1039,2973,3603,3606,3589,65,1968,2874,1341,2593,65
1179,1969,201,313,3142,324,3571,1039,899,900,3531,1032,3034,2880,3604,3287,2874,1303,3138,1859,354,2853,3462,2591,1668
460,3543,1178,3171,2576,2880,1887,2854,461,2875,2998,2878,3150,145,2854,66,2855,324,3150,1477,3150,462,3277,3589,2650
3286,1092,3339,1649,417,145,1103,806,3287,899,1297,715,2317,2878,3462,3607,900,3679,3668,1969,1062,2591,461,3150,1072
3277,1967,2529,3647,1103,313,1179,3605,349,461,2308,145,556,2593,1451,353,0,2880,446,3668,805,2875,460,3267,50
1342,2820,3150,3287,1116,3647,1968,1836,1708,2538,2820,324,1669,1955,1341,123,351,301,1015,501,806,2856,2875,3142,2649
2511,2651,218,461,1968,2544,556,1040,3606,3287,2973,301,896,313,3277,900,3286,313,3592,872,3496,3463,3463,3496,1859
946,2058,733,350,2769,301,896,3606,3179,3606,806,2880,1297,301,2856,1303,324,3647,1734,3681,207,1342,2856,733,2051
2763,817,556,900,2208,2878,2816,901,2878,462,1062,2395,3075,3647,460,2856,2591,1119,3304,583,1297,1836,1342,145,2996
207,2059,1103,2875,1871,2452,1733,1342,145,2876,2885,3679,357,1119,3463,3463,3679,145,2409,475,1452,1040,900,2874,1644
1300,2650,2085,2452,1208,3171,3034,3604,324,349,3267,313,790,2621,2878,65,301,2878,1233,1143,401,3605,2995,1304,354
1117,3165,2962,462,2894,1119,955,1341,3679,1303,2287,3647,1671,2358,145,1032,2395,2067,699,562,3542,3286,1303,3668,2998
2287,2894,3496,2621,686,2885,3150,2856,2880,3630,361,2067,3530,1696,786,3606,1116,2621,946,2870,529,170,2050,2853,314
209,686,2008,1119,201,2621,2059,460,1649,3679,1300,3171,3221,1880,1322,1304,3680,3680,3083,3509,458,3606,351,1563,2086
687,687,1116,349,733,462,686,3463,313,324,1117,2621,1968,2452,2593,605,313,1649,1008,777,556,350,65,917,1402
2208,458,2208,3606,3496,1649,2894,3277,3647,2878,805,2452,3543,354,2621,1670,3647,3171,159,476,79,900,123,3057,2886
361,3166,1967,1303,1629,1032,1090,350,301,145,687,2593,3165,2067,2460,599,1836,2358,2763,477,1629,2804,599,3602,872
806,509,2576,1346,2962,2593,805,2511,2115,2880,3142,1119,1090,1032,3606,355,1040,2452,2511,1829,1346,3679,605,1564,817
1062,123,2769,2622,3107,900,2208,145,2621,1649,752,1650,2059,2995,899,351,3605,1032,3582,1488,3165,324,899,1452,2050
3605,50,1871,899,1967,66,1116,805,1119,3647,3589,756,2208,3648,2879,817,3607,2395,3110,2600,2058,301,462,462,355
1836,2866,1629,2876,3375,2067,3496,2816,1650,2812,686,1832,816,1322,1967,1357,3606,756,76,1845,2051,313,2970,3603,2058
1040,2906,1161,1032,2529,756,2962,3571,2593,2593,446,462,1672,3721,3221,2812,2880,1650,1887,1827,3221,3647,1806,2855,2055
901,3630,2651,66,1161,1650,733,462,1955,3496,1015,1346,2576,756,1968,3077,1032,786,3571,864,1090,145,50,1451,2973
805,850,159,2623,667,461,2769,1733,2208,2092,3592,3523,2769,461,3057,1859,2621,1696,556,3334,1669,2878,355,1039,605
2591,2559,222,2879,3221,786,1871,900,351,301,1734,1649,687,1649,917,526,350,1880,207,478,831,2880,864,2149,3139
900,1296,301,3278,79,1880,3221,1116,2592,313,2409,2622,1806,899,1563,2866,2503,2593,1179,1828,297,1119,817,2854,123
2769,2050,3647,2067,2207,1696,1072,1103,756,1119,1233,303,1668,2592,3602,3523,1821,1322,2816,1925,2208,2067,2649,3462,2906
1041,1357,2623,2970,3628,2358,2650,2879,786,2623,699,786,439,2604,3603,1832,3107,2622,3034,3196,1116,3680,688,3286,2866
936,2805,3077,756,1090,605,3075,1887,303,2452,946,2876,2529,303,2855,3278,1119,899,1871,2212,733,1649,1032,1836,3334
686,1090,2086,2208,66,1252,2529,3542,462,2621,1008,3680,417,2503,2874,2906,3168,2592,1733,955,2651,2452,1297,3605,2559
1178,688,1368,3628,3621,981,667,1300,1346,786,3083,3179,3621,1872,2853,1762,2208,981,686,1061,2059,351,1669,1040,1159
350,1475,1939,3680,1072,3179,1161,1117,2622,2622,1887,643,230,1646,351,314,1650,3179,417,805,2995,899,3165,901,2995
2894,3445,2051,1696,2820,643,790,2287,3628,3680,76,3107,3158,2395,900,2086,2067,1504,667,1178,1671,2051,2059,2878,1762
3445,502,1092,1322,2777,852,357,361,1303,2067,2816,2937,1161,3120,2591,2058,1649,637,2894,209,2650,3607,1090,1342,3630
3496,1876,2358,2358,2029,595,3317,1178,326,756,2511,3435,1116,116,462,864,3523,643,2529,361,1563,955,1296,417,1357
1103,501,354,1880,2074,1368,439,2208,643,1032,3582,1368,2207,2008,3679,2055,1303,852,1161,2287,3057,786,2058,1116,793
1116,583,2996,3120,820,1322,1672,1041,852,1539,3110,852,1969,981,324,50,303,595,3496,1117,917,2622,3007,900,3583
3141,475,1671,1252,3166,3606,2029,3607,1322,2879,2763,981,733,3179,2880,2538,2207,1252,79,1300,3602,3171,1967,1341,439
159,1143,2998,2008,2651,899,66,1062,595,2051,3571,595,2029,643,313,1672,3628,3120,3763,3267,2853,2395,3630,3604,510
201,562,1670,2503,3339,579,1539,3141,1252,2358,207,1252,1670,852,301,3630,1072,2008,3339,3141,1304,688,2878,2856,440
688,2870,1669,0,1385,2622,1629,2593,1880,1696,3034,1322,2074,595,3647,2559,868,303,2615,1062,1564,2593,145,3463,2212
351,3681,3075,1821,2650,303,3621,461,1696,1252,2894,1880,2820,1252,1119,1097,462,2460,3621,806,2874,2621,324,3277,2974
2576,777,1806,2395,3365,3287,1153,2962,2067,1322,3141,1696,686,1368,1650,828,1090,2876,1629,1307,2591,643,3679,460,820
1557,3509,790,3179,166,349,1969,3628,3120,1880,417,3628,2894,3606,1762,562,1969,1368,1221,3142,2855,3179,2880,2208,864
1629,1488,357,981,1557,2090,2074,1477,2008,3120,3621,2008,2404,781,2452,1143,65,2544,1346,1116,3603,1322,301,1103,309
2962,476,3530,643,2233,1303,315,3287,2937,2503,3150,3120,1072,2622,3680,3509,2653,326,2962,2208,462,2623,1119,1041,689
3339,477,353,852,1153,1646,2085,349,1368,1695,1733,2358,2974,2876,3278,2870,2008,2937,2769,2207,1451,1762,3647,688,556
2876,1829,440,595,222,1832,2974,1303,946,1821,159,3073,820,326,2622,777,3120,3435,2576,3589,1039,2879,2358,324,3668
1357,585,2974,1646,3655,3523,820,2970,3083,2008,2615,1529,2085,351,3607,3567,1880,1646,3365,1357,2149,2358,1696,301,1319
