run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
2760,3196,3712,2370,444,3698,3682,2835,1269,2835,1982,1270,3339,696,33,456,1222,548,1947,3780,1392,457,1715,3027,2522
192,1227,3416,3151,361,3547,3467,3033,3224,3576,2615,1425,2238,2654,1709,3397,327,2817,642,263,3868,2863,558,1203,3638
2066,891,2713,1061,712,3793,2745,3384,1854,3431,3787,852,1900,233,2251,1065,3765,1442,1847,1630,3528,3299,2668,2008,2393
3340,1670,476,3054,2565,2814,225,2024,1298,3016,2958,243,2690,2860,132,74,2612,48,3619,1651,200,2397,3464,3210,3304
598,3456,3435,236,325,3009,410,1493,1082,1576,3771,984,2806,431,2671,3353,2396,2169,1395,1007,2259,3798,3062,3326,2044
2140,1847,1277,2180,3158,3407,1919,1697,2486,357,3575,1198,2453,2502,2886,2417,1483,1301,1196,2087,752,1143,341,1430,532
1242,705,363,202,2271,1772,1094,2605,2569,1995,2978,2632,2790,632,2624,755,1421,2417,1875,2417,881,316,1066,2814,781
1390,299,981,2535,1792,1316,2452,3158,2788,578,2928,3244,3032,1445,1099,805,1241,1288,92,1590,1169,2094,1406,2409,346
599,3213,3314,3083,162,3144,1393,2862,2403,1095,3503,2988,3647,1556,1333,311,910,699,674,1843,1593,1819,2860,2242,1727
491,2607,2106,3132,260,47,1885,2802,3421,2942,3519,3463,597,2679,388,310,1541,627,144,3617,33,1718,3218,520,3225
3277,2307,3570,1811,574,2182,3231,2866,1210,3574,2766,3891,3347,2455,1363,3187,3664,533,297,980,380,677,3641,3411,2976
2101,827,522,3680,666,3209,1386,776,3553,1645,1643,497,1503,2648,2071,611,1332,898,860,2800,1056,3477,1098,1269,762
3714,1209,1482,421,247,820,1048,736,2586,3890,1376,2210,2106,38,882,745,3629,3458,2522,3319,3681,2175,370,3318,3865
857,374,2673,3760,3237,131,1992,2162,677,3233,2972,3398,1245,1656,2017,3262,50,1733,988,3553,3218,1441,1555,1050,819
3771,2754,758,2762,3865,3443,1330,3273,1274,3209,473,2114,1227,421,454,198,1624,956,3698,1591,2337,1468,3157,41,3477
3561,2953,2223,1321,1980,3566,572,2384,1726,2061,395,3791,1742,2539,1672,2011,575,854,474,3431,3617,3110,2206,874,119
1821,2,3688,661,2854,743,1067,177,3648,2999,1610,1695,3145,249,63,1215,3627,3846,1060,453,3687,1280,2789,2228,195
271,3119,3748,2888,1109,2069,708,1183,1454,302,3291,247,1687,682,141,937,2448,1731,3163,1076,1548,2187,3908,1730,1502
2316,1460,187,1101,1859,3488,2763,43,1800,1315,1411,2186,3434,1869,2267,978,997,2456,201,2023,3816,3887,2154,886,3183
436,3141,3697,3306,979,1089,2014,561,1035,526,2001,3684,2990,2243,3112,2272,582,204,2693,3380,335,2399,523,2102,293
488,2481,1260,2462,1105,2770,208,3761,1701,811,730,2622,2204,3338,3812,290,1619,3277,778,2705,3341,3039,2945,2018,1746
2244,1784,52,372,2076,1322,883,2402,880,1643,2414,1397,128,2742,2882,702,2302,575,2700,2343,2692,336,1969,354,3667
1210,706,468,2210,2215,3526,3476,1814,1408,2875,2043,3810,725,3808,1659,1655,1435,735,3771,1039,1974,865,3267,2767,3475
2971,2262,3348,1905,448,1165,3463,2229,1709,1993,670,3656,960,2895,1644,1637,1368,2685,795,1086,718,2387,1740,2005,3137
1837,3411,1264,1605,2736,44,2618,787,3417,386,1238,1336,504,3822,2903,2029,987,3614,1074,2279,2307,356,2223,337,2666
3337,584,2043,3401,819,2775,3127,1900,2213,2793,367,3883,1526,1253,560,3588,3567,1151,696,3037,518,232,409,1550,1437
1587,381,993,2244,2745,1138,136,1060,1436,1788,1804,41,2243,2585,2333,224,3272,3168,324,1098,3397,67,3564,1788,2260
687,460,1758,1685,1568,3362,3782,1803,3567,925,3187,833,38,655,1828,1678,128,1296,3625,41,1119,235,163,785,2678
2824,2408,1266,3223,2107,1786,809,2601,1628,1384,2898,1903,867,2653,269,1538,2088,381,3073,3839,1453,1563,1926,522,2008
1942,1503,771,1816,254,1882,1272,1531,3026,1675,2492,1537,236,2500,1068,3488,1365,1784,1511,932,3283,3351,1506,2427,2881
931,2335,198,3411,3811,2495,411,2046,687,1771,153,624,3565,1035,2005,1820,3087,3558,2647,1233,1635,2394,1320,869,934
3772,1211,477,3069,2272,341,3094,819,1907,520,652,776,3421,2571,225,2037,2639,2948,1314,1579,3014,783,1374,1911,3131
1987,2462,703,3762,1938,3661,3025,1854,3702,3665,920,2915,987,3108,3334,1223,1803,3489,3206,2209,3780,1096,3582,2636,570
185,3572,3862,59,1592,2621,2400,463,3206,1531,2367,3195,335,1527,3491,2588,1262,361,623,2053,3587,2077,1071,3577,2057
1567,3035,2779,1433,2052,1008,1790,3054,2810,3709,1575,3036,2794,3660,3563,2988,1312,263,3152,628,1514,2191,264,1166,1085
646,802,2358,3208,3547,2970,2659,855,3155,949,201,67,2575,211,3911,1109,41,1300,1246,705,1346,2969,921,2282,903
2340,3155,816,1295,3819,1856,483,917,3207,1008,326,2789,1015,1893,1858,3150,3677,2795,3313,927,1338,290,498,2113,597
2374,2989,3363,1935,1784,1447,503,2210,3652,558,539,1781,3116,1835,340,82,978,2648,523,2605,3188,2893,2444,3208,2583
3037,28,2787,2710,1151,3735,1023,1553,917,906,1416,2752,2481,687,1276,1426,557,2440,2548,1849,1565,1000,133,342,3206
227,1466,3863,2976,4,2530,1438,2388,1635,2858,624,401,3406,65,3116,2027,132,2773,1768,3837,3477,3053,397,1200,4
753,1989,938,3641,3381,2268,3414,887,3482,2426,3684,3479,1639,2102,2734,2260,1813,643,312,1246,3895,1804,110,2853,784
799,2450,160,1053,1120,3865,1581,2083,1115,2639,3691,3526,3043,3875,3048,3897,3323,3540,38,1180,3347,1532,3577,3693,1163
3329,3421,620,2703,1676,2806,3714,44,3580,1566,3463,1070,2661,2859,210,2074,3049,2824,186,3579,3844,3676,3650,3206,121
394,94,1544,735,1051,496,2667,860,713,1750,2921,1726,3515,292,1502,1179,1122,1795,3597,1435,3851,3291,2989,2884,914
3113,2693,1762,2807,60,1505,1351,579,2263,3015,2228,460,1214,916,2955,758,2046,3584,1495,256,1854,1188,1622,1885,2804
3306,248,2828,1355,2284,716,2655,219,1001,2308,2283,485,1952,3181,1704,3054,630,1886,1889,325,3525,1758,2261,2981,929
1493,3256,1116,2661,1672,881,3308,1951,2060,3632,3475,942,2465,3537,3000,2342,1189,976,2798,2297,1620,1643,1068,1806,1190
3878,865,2277,1022,1923,3224,2384,2215,1908,3706,3828,3433,2256,2659,1496,423,3790,3758,2133,217,332,2119,1155,1168,1429
3539,1602,653,3884,1722,1409,1113,1623,1230,1474,1896,1593,3823,3575,2077,561,3513,926,1699,3825,1142,2747,61,485,13
2569,2493,3221,733,1852,1657,2640,525,2058,3342,1940,2016,2859,2359,940,425,299,2147,1738,3592,1476,634,2267,1469,111
853,406,743,2363,396,1007,1017,2339,2343,1826,2851,3280,614,2665,2268,1096,1112,2981,641,328,1677,3264,1412,109,2160
1986,1332,1638,3168,699,3483,623,2965,2969,1145,3555,3887,3667,921,981,3883,188,75,2803,526,756,3435,14,1555,96
2878,350,2222,3122,1823,1645,1352,881,1715,98,3401,2428,2948,368,2695,444,386,1452,862,319,3064,836,622,1972,3087
1258,3449,877,2207,533,797,3567,1256,1462,2112,460,3055,2266,2442,1001,1418,1234,3143,3731,3909,2361,3792,2110,3252,3908
1740,1704,2417,2782,3244,2623,794,795,1494,1065,949,2075,3480,3025,2039,2316,2298,2793,381,1566,3162,3099,86,2916,3661
3499,2322,393,2532,780,2777,1325,1593,1374,604,695,3630,1122,1916,1425,2906,3508,1202,2540,653,1596,792,1020,3254,1337
2748,2820,1239,3403,1695,432,1260,677,3047,392,1333,3686,3244,2029,2085,3900,415,1856,2353,1085,268,347,3332,1328,3156
1601,1800,3024,896,3363,1248,1946,2706,2008,2620,1685,2083,2986,20,2924,119,5,713,117,1888,1447,3374,3275,533,655
787,1511,3330,104,2671,364,896,2092,3531,3019,2182,568,1139,2110,2902,1982,890,3226,3147,225,2948,846,734,2300,836
2203,2926,139,3717,845,695,1051,442,1150,461,1196,447,1086,1710,308,1458,830,3050,2879,1823,2431,3549,3717,3387,75
3328,2615,3516,115,1406,1057,3152,159,3473,3031,2396,2792,3036,1427,3099,3747,2970,3119,1364,3254,2227,2220,1415,2060,3674
571,497,46,2340,3902,1192,3526,1200,3772,3267,1447,96,836,1958,3107,2309,1185,3537,1902,2181,2305,608,1999,2919,973
692,3020,1293,1777,220,755,1207,1109,3037,2353,3032,3139,1254,1897,2487,2223,1820,3536,7,2400,305,1800,1191,3488,1934
3121,3439,488,389,390,1169,402,2151,443,2784,2715,584,524,95,1083,1710,3030,769,2218,1108,1814,785,2584,1737,147
544,1585,1390,3619,2643,620,1579,3820,326,1006,747,3910,3704,595,125,1007,1505,426,1604,1667,1919,2664,34,1255,3298
3155,3614,2888,1417,432,2032,3079,2188,3592,687,1689,2571,249,3228,3164,435,311,1688,564,1611,493,230,1511,3477,2277
3797,662,3560,2228,2857,1678,2918,2208,2768,2824,3657,3276,1741,187,3327,2128,3836,476,1966,455,3266,2432,1181,2029,548
3795,3465,1851,27,2569,3310,3677,720,2997,313,538,2074,1774,742,186,3272,3882,64,3296,2126,2401,2885,3701,674,3221
821,2325,513,2224,3675,470,3901,1352,180,2412,2382,2993,232,3150,392,2313,2344,1882,486,1310,3054,1959,1,3358,1041
3615,2713,2960,787,277,2409,3559,798,719,2557,289,2062,499,3518,3671,1130,3173,2344,2092,158,2373,1663,2578,2858,2087
2819,3576,195,3471,2848,1538,2485,3910,3472,52,1836,3873,3898,3776,1758,3095,2412,132,1436,3422,3032,2181,2752,767,1271
