run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
589,1140,221,800,1482,1644,800,1707,323,227,727,1186,1649,1546,235,860,855,1464,1566,1676,525,686,808,816,1348
1656,1411,318,1407,1713,434,565,1411,35,1714,1261,1348,697,142,320,315,1350,1008,748,1403,833,312,1719,1600,1678
690,312,1707,1350,1562,72,1142,1440,321,730,313,0,142,1142,802,1618,0,1009,1009,35,523,227,520,1161,1140
591,730,321,546,1014,265,1014,1161,1440,1618,1411,591,1403,1411,1676,629,856,1719,284,241,1643,1322,1467,546,1643
1440,565,372,725,231,1443,312,362,1708,522,591,72,318,1236,1434,1464,1528,1555,265,1419,1527,1631,1746,695,595
1261,1527,227,736,1555,595,203,855,860,1142,1138,730,434,1004,313,170,526,1411,1602,145,1718,1410,321,1707,322
142,1467,695,1139,284,1201,1527,1728,318,265,1697,1142,315,195,1713,1437,816,1671,1261,855,1684,67,1010,1004,1407
1676,231,1481,1656,363,432,1139,1482,322,736,432,1527,1470,1138,1649,1731,1403,1633,526,1481,695,1464,1430,664,855
1475,1346,1473,1348,35,1139,1012,1464,1407,432,650,1472,436,318,589,808,511,695,221,1142,1444,1697,833,523,321
1014,1407,526,802,1483,1347,138,317,1142,1676,195,524,525,546,525,591,1602,1435,663,421,546,265,1649,833,1012
229,1529,158,645,1291,1061,1529,99,394,957,1410,1684,1443,1030,1400,480,480,67,1010,1512,1479,1466,1428,1410,1400
734,1479,1595,957,1484,372,1473,732,734,331,664,1479,1461,177,734,1611,861,1611,860,1012,1477,1591,861,1599,99
732,229,229,331,1561,1595,1634,826,732,1695,1465,1477,1466,985,229,1428,1584,926,800,1731,1465,664,1413,1438,1595
323,826,734,1695,541,509,1639,229,229,1535,1438,853,1460,1465,1440,424,1428,1640,229,1671,1687,697,881,541,509
826,734,860,1430,1475,297,1649,323,826,1350,1464,309,1680,168,732,220,859,1465,323,926,309,1479,200,1561,372
1483,323,1412,1535,1600,1461,1186,734,1483,1567,67,1649,435,310,1600,1429,1603,1592,826,375,1416,1438,1725,1475,229
1479,733,1440,1412,1601,232,67,418,526,480,1652,539,89,1464,323,234,1433,800,733,1714,853,1430,1143,1483,826
860,860,322,807,732,436,1656,593,1684,1427,964,193,1415,800,1412,566,419,1656,1483,1640,800,800,424,144,323
418,418,732,322,229,597,589,1601,1479,1584,170,608,1679,1652,807,375,801,556,734,867,424,556,419,594,418
733,1440,1600,341,826,245,313,733,733,375,1591,424,64,437,566,1640,1429,1652,732,957,1348,1528,1685,1657,733
593,732,733,734,418,337,1416,146,1601,1525,589,170,1502,167,733,1525,234,437,418,331,539,1684,1433,1498,1601
1601,555,826,1562,323,1617,985,1433,418,481,556,883,1496,1466,860,1726,555,985,1440,480,422,1477,568,1484,1483
146,566,1483,1714,144,730,310,417,566,1641,1416,623,1468,1592,526,867,566,168,555,481,433,229,422,1485,732
417,1412,323,1482,146,424,1475,860,593,1640,985,1427,1463,603,826,1714,417,310,566,1641,1428,734,963,1482,860
555,859,1562,525,1441,1427,1483,859,1477,1428,437,734,598,1099,1483,801,146,1431,593,1584,568,826,1460,1441,526
566,1433,418,229,733,623,541,1603,555,1679,1592,807,574,170,418,1696,1696,1466,859,234,963,733,1684,1697,1440
1603,1562,566,1475,593,966,1600,1483,146,1533,312,1412,1497,1634,1010,733,1467,167,1433,1429,881,323,1477,1440,593
322,146,1602,323,1440,433,1484,1687,417,1534,1430,229,1647,1444,1562,619,733,241,417,1467,200,732,860,732,566
394,417,555,826,566,596,1599,322,1467,376,1649,733,307,1430,322,419,418,329,146,801,966,1440,566,566,146
859,1601,1601,1483,555,422,144,526,859,1726,310,860,1462,695,1602,145,481,1736,1601,619,1720,1483,1440,593,859
526,593,146,733,1433,881,1561,555,1603,568,1431,802,969,1698,555,1467,375,1670,1603,861,1722,1601,732,1601,1603
1482,1483,1484,418,419,200,1657,566,1433,1612,168,1440,1659,1442,193,861,1525,1264,419,1350,198,418,734,229,555
1433,322,593,593,1603,568,594,419,419,966,800,732,854,67,695,555,1731,1584,322,1696,623,1562,433,826,1562
419,1603,144,732,859,1428,1485,801,801,1502,1466,566,66,1591,144,146,1640,1416,234,1428,1427,593,555,323,419
1562,419,1561,1440,417,1720,1498,1696,1696,64,1012,323,1495,1582,1485,323,1714,664,1467,245,1413,566,1479,733,1433
1599,801,337,566,860,963,73,1562,619,1609,547,826,337,221,1466,1412,1641,1410,1429,1535,1688,322,966,734,1467
144,1696,541,555,526,480,807,619,861,424,855,418,375,1594,593,807,1534,1438,801,566,736,146,1412,418,234
1467,619,1622,1601,734,1731,734,861,1562,422,1662,322,1525,1477,1601,417,376,1697,861,1601,1631,859,417,322,193
1696,861,1498,146,73,375,1482,1467,234,1460,1749,1482,1640,309,1498,1601,1612,1598,568,733,1725,419,1482,146,1434
801,526,1485,860,322,1584,1440,1479,1429,200,1487,526,376,853,146,593,1659,1483,1696,146,1709,1603,1603,555,801
619,802,802,526,1485,1640,732,802,1412,881,1218,555,1534,966,594,418,1535,1475,352,229,528,555,526,859,1696
861,1482,1591,417,801,619,826,234,833,1413,1479,1562,1350,200,1561,322,1566,541,351,555,731,860,859,1603,417
1412,541,1697,1467,1696,861,229,1429,1482,433,1427,593,1714,881,541,1603,1609,734,1413,419,225,417,229,1433,1429
807,1484,1719,1603,861,1525,323,1684,193,963,1684,1601,1567,422,1484,826,1567,229,1474,323,1433,802,826,526,619
1602,1441,690,859,1682,1495,418,1477,807,1722,309,146,481,1720,417,229,1601,826,1479,1562,419,526,323,419,861
1684,1688,807,1433,619,1566,733,1348,802,853,1477,1602,1641,539,1441,732,593,1440,1441,593,480,1433,733,417,802
1477,1413,594,480,1684,1433,566,541,309,1720,853,1413,957,1631,1599,1440,241,1601,193,418,375,1561,418,860,1600
193,422,73,375,1479,419,555,1484,853,1688,1348,1688,331,433,1475,734,1671,323,1685,1412,1534,541,1601,807,1484
234,1477,417,1525,1477,736,146,309,1720,619,229,1483,1695,1427,1603,1433,1358,859,619,322,376,1484,146,1562,337
1429,198,1599,1731,1429,376,1601,352,1428,861,1601,417,1454,568,859,859,957,593,1688,1603,1400,1482,593,1687,541
853,1685,1475,481,234,1534,593,351,225,555,593,1467,1535,1722,1433,526,323,418,1684,859,1535,1688,1483,1602,1602
1561,1709,1441,1640,1467,481,417,1441,422,566,733,1429,330,1479,419,1479,826,322,1477,1433,481,1348,322,73,145
541,1428,664,1696,1348,1535,860,70,200,146,1440,234,1612,963,1467,1562,229,146,1348,826,957,1413,198,1412,1698
1484,433,1410,1641,1687,1567,322,193,881,732,734,801,571,424,801,802,1483,1433,1412,1483,1350,1412,193,193,1561
309,966,1603,234,802,1641,1433,1602,433,733,146,1696,1669,1725,1696,1725,331,417,1428,732,1525,1429,1720,802,1453
437,1684,859,801,589,1583,859,1722,966,1601,323,619,1566,1428,619,1482,732,1603,853,1440,1714,234,528,1685,1412
594,309,1438,419,309,957,1603,1720,1348,593,732,861,480,1684,861,1684,1440,1467,1687,1684,1454,1467,1696,801,1498
1441,568,193,64,853,1695,419,731,568,323,1603,1603,1428,1636,234,193,860,732,309,1348,883,1722,801,861,1684
1600,193,1433,1429,437,1612,1479,1480,528,1412,859,859,241,528,1429,1477,568,733,433,1477,1726,1428,1631,619,312
802,1720,419,619,1602,1714,1441,853,1687,322,826,1433,1584,1687,1684,422,1686,860,422,1720,1731,568,225,1696,1649
1348,200,1467,861,568,1350,1412,1412,480,826,417,419,1610,1413,1687,1413,1726,555,966,853,1640,1687,802,1682,734
73,881,234,463,193,331,1562,1600,375,229,1433,422,329,1688,1479,1348,1611,566,963,193,555,422,309,1428,1482
168,1429,1429,1428,881,330,526,1475,329,734,860,1709,1736,1348,73,200,1454,526,881,417,566,1460,1429,805,1061
1498,234,1479,193,200,1726,801,73,1584,1433,418,1722,1671,225,312,881,330,1479,200,860,732,801,234,1413,1475
351,1722,1684,1679,1685,1610,1696,1561,1714,418,322,225,926,198,1477,1636,1412,193,1720,526,733,619,1722,1688,594
1485,480,1348,1502,1720,1454,861,589,1731,1562,555,568,1505,1709,309,853,322,419,480,802,146,861,1687,198,807
1657,375,312,867,1428,1429,1682,200,1670,419,566,433,1726,731,437,433,619,1482,375,539,323,193,619,1709,1599
145,1640,589,1454,480,234,1602,881,1525,193,419,966,1670,623,1348,966,802,480,1525,1602,1412,309,853,963,144
1682,1534,801,1602,375,1467,1684,1685,1640,1429,1467,1631,1731,1721,853,568,329,376,1534,731,807,1709,1348,1720,1479
170,376,619,1567,1640,801,1429,568,1609,234,1429,1428,1611,480,1722,198,1736,1534,376,1600,826,1720,1688,422,73
352,1567,861,434,867,1696,234,433,241,1467,234,198,1533,1584,1720,528,1670,481,481,457,734,433,1709,1460,1485
1413,1609,1696,1441,1525,1412,1467,1428,1671,417,526,200,622,375,731,1631,1441,375,1535,1698,229,200,1562,433,1682
1688,481,145,422,1495,566,619,480,1611,1603,1483,881,424,1535,422,1709,734,1714,957,329,1602,881,480,966,1657
1709,1641,1482,433,1714,555,1428,375,1736,526,801,1720,963,1525,539,1474,1562,867,1567,1736,1483,1685,375,225,589
198,1714,1617,963,1659,146,1477,1640,1534,859,619,1725,736,1350,1709,1670,200,1525,1641,1670,1601,1696,241,881,1441
963,1525,1657,966,1566,807,437,1525,1535,1440,861,528,333,1714,195,329,881,1535,331,1567,593,966,1671,200,1697
