run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
871,1704,1364,168,1380,1065,1120,883,899,681,1126,1233,1486,624,901,897,1167,1342,1678,649,250,1059,1038,1514,1558
1038,1694,1672,957,917,386,338,1711,1201,747,963,188,1289,1094,637,1561,1550,1124,1474,1406,1494,335,772,946,496
1334,47,1473,1221,362,1283,1307,756,1256,478,1590,93,1402,925,105,42,1025,171,638,806,694,142,890,368,1206
748,304,1221,1450,88,141,571,855,719,1716,1272,1263,465,525,644,1613,1350,1657,171,833,115,1263,558,25,1325
1013,534,1148,1157,333,236,60,1078,1398,510,903,246,668,185,727,1080,142,1322,988,106,1470,1450,1430,783,1226
217,1041,1299,1654,544,661,1064,739,1375,486,230,82,593,1688,451,1511,284,458,1686,495,1646,968,859,745,1595
661,48,1488,371,1597,1581,224,1725,393,1661,379,776,1320,1522,453,632,1044,162,998,1436,1653,1386,1492,2,939
141,1587,672,533,1615,992,867,1391,312,426,1609,42,1609,1743,594,1414,1594,58,1490,848,454,1067,1461,1687,1250
1663,302,470,1548,518,388,758,71,1328,166,1738,1472,1051,1287,1456,1572,242,885,661,816,1699,465,1220,331,915
175,1582,1216,833,1099,1280,1700,1528,892,1224,1195,336,425,610,410,1664,1095,753,554,1665,257,1409,1458,95,761
1115,1296,1556,793,877,1196,1170,1538,167,466,782,1067,1377,1179,1096,1638,41,1167,1539,1076,927,1108,996,1201,1083
1230,261,1392,1441,1568,189,1412,1574,243,516,1178,1392,741,1639,714,626,1035,25,232,431,902,1077,1054,514,305
348,1584,1336,385,778,1302,1415,317,1537,344,1478,511,133,20,1669,585,723,819,1185,1342,756,427,1120,257,1568
304,466,1154,1404,139,763,641,1053,1037,373,1300,373,1568,1447,111,1298,355,891,711,1277,1547,1261,234,911,1696
1404,37,1362,839,1328,539,1622,1375,300,579,1261,748,1050,848,1126,1075,1611,1109,1675,547,1606,319,1043,1222,477
1638,664,1203,469,1604,1037,1567,23,1388,1686,681,53,893,325,384,1320,627,1474,834,1601,322,948,1556,968,897
