run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
125,97,109,62,131,237,31,138,195,155,30,66,220,254,34,215,111,40,112,109,40,217,16,271,94
290,340,340,256,336,324,256,263,263,340,263,132,324,132,324,290,290,324,256,256,263,340,132,324,256
0,33,189,28,24,99,173,231,24,189,98,247,15,35,27,83,9,189,24,35,51,21,173,33,0
41,113,113,3,7,77,110,207,248,7,3,180,41,178,241,47,274,241,180,10,207,178,76,207,219
101,121,179,245,321,130,339,101,130,246,289,162,101,319,319,71,120,339,81,246,129,314,297,321,169
209,261,221,338,210,114,261,338,338,210,262,222,222,89,214,209,114,114,210,89,89,89,114,223,317
80,2,75,92,150,74,92,227,75,235,147,22,146,175,283,102,80,74,233,59,2,147,150,104,22
212,143,117,304,119,265,143,300,309,313,118,117,243,259,126,242,286,232,293,287,337,126,135,265,295
275,18,38,90,68,174,18,167,140,275,90,194,184,106,174,171,174,106,184,91,73,73,140,68,171
312,333,252,331,333,204,252,333,331,252,204,341,329,325,341,252,341,333,331,332,331,332,341,325,329
148,266,120,266,127,305,255,42,320,300,341,215,245,279,277,72,148,117,255,255,312,201,130,295,255
256,306,132,255,276,62,177,64,292,71,332,246,206,121,289,256,161,101,71,71,314,312,277,312,71
255,295,160,42,295,22,71,28,164,72,329,329,67,288,162,255,333,265,72,72,71,197,190,119,308
71,101,161,308,243,282,72,266,291,255,297,332,244,336,279,328,163,243,326,326,72,290,339,243,190
72,214,130,71,265,244,308,18,161,256,277,129,308,284,121,308,160,22,126,308,252,268,329,127,72
326,119,291,72,300,308,203,320,160,326,316,339,295,159,332,288,289,71,252,190,256,329,161,294,203
308,127,162,203,67,67,29,291,162,308,339,316,265,310,288,159,162,72,312,118,255,297,312,276,29
252,276,71,29,232,243,214,340,159,118,314,245,119,194,159,326,130,252,203,252,326,339,316,71,331
203,243,72,167,293,232,190,329,288,328,81,120,127,331,142,203,332,132,29,203,308,245,333,72,252
29,265,256,148,309,242,132,312,279,312,245,297,276,289,284,29,329,300,132,29,203,277,246,252,326
132,67,255,57,294,281,268,204,319,268,77,277,242,160,310,214,320,256,42,268,29,341,332,256,118
268,294,209,312,252,313,245,341,121,126,288,314,341,162,312,333,291,255,268,132,132,81,314,255,268
118,308,326,64,71,304,301,332,284,121,279,204,332,101,322,312,102,308,118,42,126,204,134,308,263
126,255,308,18,72,294,134,179,310,209,319,268,314,181,181,118,204,326,225,126,268,263,204,326,132
57,256,279,169,256,119,154,314,336,306,159,200,204,332,163,324,129,118,134,204,204,129,163,118,179
225,71,319,323,255,127,186,169,289,143,255,81,129,341,161,132,316,203,135,312,324,139,160,306,245
204,72,159,281,308,276,67,323,316,279,256,96,297,277,314,126,55,29,313,331,118,298,162,121,126
179,326,118,282,326,133,135,315,181,319,71,298,277,142,81,279,315,126,300,306,179,246,245,143,129
169,203,121,134,312,295,296,163,277,288,72,101,312,312,179,319,339,268,308,143,42,142,81,164,306
129,29,284,236,126,296,302,161,142,159,203,181,339,207,245,121,245,135,265,179,329,322,101,159,135
323,312,310,313,203,312,280,289,297,284,29,142,81,179,315,284,142,134,243,134,245,323,315,203,134
314,42,288,280,29,300,136,160,312,310,331,315,298,322,204,310,181,119,306,245,315,169,129,29,143
315,134,190,204,132,186,303,162,339,190,164,289,142,163,129,179,71,127,143,314,130,331,298,132,204
55,132,154,133,328,306,299,245,246,164,312,163,252,161,160,190,72,276,294,129,169,316,280,268,324
199,159,203,126,134,143,307,129,245,134,268,161,71,165,323,268,252,329,119,135,323,181,303,42,314
62,288,29,314,42,302,244,130,81,122,121,160,72,197,169,134,256,245,127,281,327,162,136,279,281
22,279,312,129,268,298,283,290,163,311,154,320,256,245,122,130,255,133,276,313,13,315,252,319,313
48,319,164,299,306,326,65,81,298,120,122,291,255,315,311,204,57,313,295,282,341,292,71,288,304
329,284,268,136,143,118,204,280,335,214,311,263,203,81,164,164,203,67,258,280,332,165,72,134,282
263,310,320,305,258,259,281,313,120,135,252,292,29,333,190,306,29,244,179,136,333,335,255,258,133
238,190,245,303,327,338,304,133,101,203,129,165,190,291,268,143,288,13,338,303,163,120,256,327,280
245,122,114,296,179,258,282,136,315,29,132,290,268,211,291,245,159,306,67,299,161,289,308,179,302
331,311,126,301,259,327,313,303,129,132,323,335,135,258,165,135,268,143,204,169,320,163,177,245,136
154,245,163,307,211,335,133,299,204,179,190,186,134,306,320,313,132,258,232,323,291,161,203,232,303
306,164,289,302,212,179,312,304,314,204,284,244,132,143,292,281,323,259,327,290,289,320,29,126,13
143,258,204,132,338,129,305,281,71,294,310,67,167,212,321,304,279,213,211,304,160,160,268,333,323
327,232,306,135,331,245,298,282,72,265,142,308,42,326,252,282,319,327,212,133,162,291,126,259,78
258,126,143,139,190,55,246,305,252,243,181,242,139,118,71,300,121,148,245,307,279,279,331,338,312
320,211,134,74,245,48,129,296,256,119,163,295,323,337,72,133,284,295,324,300,319,319,289,67,265
