run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
76,1406,1100,73,375,709,809,369,345,766,1503,497,1112,868,793,1620,1202,641,467,933,1287,1308,314,315,329
1269,1284,123,656,1595,184,1492,1450,1037,671,1510,1353,596,1315,1269,913,546,1533,171,1585,1458,1276,558,981,701
1137,995,204,31,1118,912,1488,179,846,404,318,1608,1260,117,1472,995,1176,492,636,906,459,938,1044,1082,718
1249,264,1084,1497,772,576,307,1479,231,351,1413,1414,995,763,743,942,505,585,506,157,501,466,794,451,713
1116,1487,1523,1483,1422,877,856,1391,1600,515,1252,1596,190,1466,885,1571,1341,1070,330,1368,1343,512,1596,914,903
971,462,755,1488,1188,1544,93,383,1438,886,1056,748,365,167,953,257,58,682,194,1176,691,291,996,357,1511
884,75,682,1502,1291,1001,1412,1306,1262,512,1151,2,978,321,246,841,1095,210,714,302,734,698,868,1009,1572
535,366,272,175,1122,546,1051,95,238,335,191,324,117,287,112,1129,369,826,45,852,175,1054,1522,268,1605
847,1030,365,70,1124,1246,626,1509,1588,1629,1090,56,1240,1090,1103,1291,1056,136,371,214,265,426,504,745,954
724,1044,464,1009,718,595,1265,1131,446,1150,108,1633,137,976,393,274,821,1538,1430,1358,520,460,571,584,449
622,984,714,1411,769,1501,521,1317,194,805,165,1369,699,1196,1490,689,1266,1057,1490,1046,158,1618,1336,1478,454
1172,1130,1348,870,1040,345,756,315,110,750,758,1314,1577,554,1584,1242,797,882,763,130,1266,713,1024,1332,848
361,813,1557,1029,1263,798,125,834,878,462,737,997,1138,534,1381,1117,354,385,82,1455,1576,1472,836,338,250
422,1068,1251,178,503,869,807,374,60,1072,1076,1225,506,404,694,829,325,660,463,539,733,1170,1353,1441,499
1213,115,1228,816,471,941,264,1007,1056,126,806,797,351,310,248,128,1528,693,1075,410,878,1345,214,1182,510
1261,186,622,125,451,406,1279,961,887,482,1458,348,46,2,1167,565,435,1087,204,537,440,1395,1303,1219,949
590,1288,1077,1598,391,351,177,1434,660,978,460,712,1077,1632,1598,419,55,664,1403,1134,701,1037,1198,589,828
1176,271,1489,1261,638,1241,335,267,1589,768,874,302,1140,1270,482,1484,193,426,1167,296,552,1481,530,1217,1526
610,956,543,180,561,1007,511,1308,1039,1317,1243,1519,288,263,660,1213,1279,1294,850,953,400,1291,1287,1176,565
1589,1407,736,1576,901,61,523,203,477,278,341,1437,1164,429,1094,1429,740,375,287,613,766,1001,234,972,749
721,842,425,634,878,536,347,731,1030,83,329,316,193,1137,658,1070,1222,1626,904,1016,5,1450,1060,429,793
1504,668,961,821,366,1363,436,1113,247,908,805,803,219,966,1302,1391,593,655,458,51,503,323,1089,1371,194
762,641,661,744,1624,569,482,1260,152,946,1318,556,887,1516,707,1214,1250,433,819,917,993,1009,359,386,1467
1340,1136,1161,959,1483,211,1118,665,1190,647,625,1398,1320,1145,385,1362,49,750,354,1300,1423,785,1255,704,978
370,1429,1031,720,251,1438,522,1307,412,1480,1560,423,705,1592,1369,437,1318,71,1464,1350,675,847,810,472,463
