run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
253,530,690,665,404,322,899,651,210,779,342,906,176,291,449,901,244,711,970,632,951,771,522,569,316
75,453,66,73,1038,988,568,34,433,822,11,77,13,896,472,933,504,210,296,519,551,481,400,829,428
680,925,397,407,671,228,658,54,477,589,284,588,536,287,1025,903,245,847,309,451,147,620,870,334,454
240,521,543,190,848,236,80,657,332,765,467,387,696,329,505,126,131,921,38,517,306,756,783,207,722
331,839,250,934,112,121,687,853,9,281,558,918,1012,380,666,103,50,786,705,857,1023,278,333,1027,669
279,581,878,128,161,426,1036,750,593,514,326,528,782,841,1055,238,181,18,741,574,365,293,204,457,292
320,940,333,913,904,106,842,399,1045,569,956,237,566,297,788,849,161,650,751,661,970,504,697,401,515
974,936,889,57,858,817,694,297,804,351,519,557,161,484,737,479,589,350,23,828,830,898,67,722,373
983,560,68,119,490,1026,179,611,1023,563,805,143,398,195,580,985,286,907,262,624,605,427,363,924,288
294,94,285,935,347,911,223,487,876,904,230,828,722,442,115,338,511,449,212,153,1014,44,845,863,532
459,370,325,293,776,891,292,340,726,137,44,687,562,978,656,802,43,656,156,1004,324,467,607,324,450
938,209,401,503,99,556,588,219,476,584,641,292,746,556,340,801,121,340,290,43,401,641,16,325,130
156,156,324,442,128,447,556,434,117,43,104,556,199,314,34,43,346,34,168,346,889,104,100,889,401
290,290,1023,294,915,291,1008,449,979,587,583,1008,650,641,219,346,451,219,105,587,917,583,653,1023,324
168,168,917,814,755,837,291,656,939,346,43,291,612,887,434,587,587,434,458,403,325,43,0,917,325
105,105,460,295,98,373,640,548,119,403,346,640,30,106,548,403,403,548,546,137,68,346,145,68,889
458,458,808,1008,654,43,932,496,124,464,314,932,248,891,496,137,137,496,937,464,460,314,251,460,1023
546,546,470,438,714,346,43,941,308,1004,978,43,173,447,941,464,464,941,513,584,808,978,427,808,917
937,937,954,455,936,292,641,169,103,36,654,641,563,837,169,1004,1004,169,983,36,470,654,553,470,68
513,513,26,803,324,587,436,252,551,837,121,436,708,373,252,584,584,252,469,837,954,121,38,954,460
469,983,1009,404,450,403,404,916,693,447,448,404,82,43,916,36,36,916,370,447,26,448,609,26,808
370,469,936,639,156,137,346,316,69,891,835,346,258,346,316,837,837,316,518,891,1009,835,202,1009,470
518,518,156,326,290,464,121,517,501,654,1003,121,428,292,517,447,447,517,450,654,936,1003,560,936,954
450,450,290,813,168,1004,587,357,701,238,217,587,704,587,357,891,891,357,454,238,156,217,243,156,26
454,454,168,654,105,654,403,576,781,451,887,403,198,403,576,654,654,576,459,802,290,887,150,290,1009
935,459,105,314,458,451,137,771,863,624,451,137,700,137,771,451,238,771,935,106,168,451,498,168,936
468,935,458,945,546,624,464,654,226,802,587,464,610,464,654,624,624,654,468,803,105,587,680,105,156
988,468,546,888,937,238,1004,400,757,106,624,1004,28,1004,400,106,802,400,988,1008,458,624,315,458,290
816,988,937,381,513,584,584,777,969,803,640,584,11,654,777,803,106,777,816,779,546,640,37,546,168
130,816,513,36,983,807,36,43,155,1008,836,36,19,451,43,1008,803,43,130,908,937,836,1055,937,105
470,130,983,43,469,221,837,346,320,908,462,837,497,624,346,779,1008,346,470,581,513,462,657,513,458
461,470,469,346,370,787,447,803,920,581,137,447,615,238,803,908,779,803,461,640,983,137,149,983,546
944,461,370,588,518,132,891,313,1005,640,238,891,561,584,313,581,908,313,944,836,469,238,661,469,937
324,944,518,687,454,225,654,471,25,836,447,654,526,807,471,640,581,471,324,1001,370,447,589,370,513
384,324,450,436,459,36,238,934,110,1001,464,238,244,221,934,836,640,934,384,801,518,464,354,518,983
